user_id,activity,status,device,ip_address,duration_ms,object_count,hour,day_of_week
61,Login,Berhasil,Android,192.168.1.99,1726,1,3,2
76,Login,Berhasil,iPhone,192.168.1.139,1100,1,5,2
1,Login,Gagal,Windows,192.168.1.8,1418,1,7,2
1,Dashboard,Berhasil,Windows,192.168.1.8,4791,4,7,2
1,Kelola User,Berhasil,Windows,192.168.1.8,3625,3,7,2
1,Kelola Kode Klasifikasi,Berhasil,Windows,192.168.1.8,1837,4,7,2
1,Logout,Berhasil,Windows,192.168.1.8,220,1,7,2
76,Lihat Perkara,Berhasil,iPhone,192.168.1.139,1012,1,7,2
76,Cari Berkas,Berhasil,iPhone,192.168.1.139,1456,7,7,2
76,Logout,Berhasil,iPhone,192.168.1.139,1231,1,7,2
21,Login,Berhasil,Windows,192.168.1.9,524,1,8,2
21,Lihat Perkara,Berhasil,Windows,192.168.1.9,3326,9,8,2
21,Cari Berkas,Berhasil,Windows,192.168.1.9,5761,1,8,2
21,Logout,Berhasil,Windows,192.168.1.9,1307,1,8,2
80,Login,Berhasil,PC Windows,192.168.1.58,411,1,10,2
80,Lihat Perkara,Berhasil,PC Windows,192.168.1.58,3877,5,10,2
80,Cari Berkas,Berhasil,PC Windows,66.199.90.80,848,8,10,2
80,Logout,Berhasil,PC Windows,192.168.1.58,298,1,10,2
26,Login,Gagal,iPhone,192.168.1.109,763,1,10,2
26,Lihat Perkara,Berhasil,iPhone,192.168.1.109,576,1,10,2
26,Cari Berkas,Berhasil,iPhone,192.168.1.109,3314,2,10,2
26,Logout,Berhasil,iPhone,192.168.1.109,1064,100,10,2
86,Login,Berhasil,Android,192.168.1.154,376,1,11,2
86,Lihat Perkara,Berhasil,Android,192.168.1.154,3939,3,11,2
86,Cari Berkas,Berhasil,Android,192.168.1.154,2834,9,11,2
86,Logout,Berhasil,Android,192.168.1.154,1114,1,11,2
80,Login,Berhasil,PC Windows,157.69.98.126,1674,1,12,2
80,Lihat Perkara,Berhasil,PC Windows,192.168.1.58,4985,3,12,2
80,Cari Berkas,Berhasil,PC Windows,192.168.1.58,5530,1,12,2
80,Logout,Berhasil,PC Windows,192.168.1.58,963,1,12,2
6,Login,Gagal,PC Windows,192.168.1.64,1053,1,12,2
6,Lihat Perkara,Berhasil,PC Windows,192.168.1.64,7,4,12,2
6,Lihat Berkas,Berhasil,PC Windows,192.168.1.64,3966,6,12,2
6,Input Berkas,Berhasil,PC Windows,192.168.1.64,2746,5,12,2
6,Verifikasi,Berhasil,PC Windows,192.168.1.64,7840,1,12,2
6,Logout,Berhasil,PC Windows,192.168.1.64,809,1,12,2
33,Login,Berhasil,Laptop Windows,192.168.1.247,1747,1,14,2
33,Lihat Perkara,Berhasil,Laptop Windows,192.168.1.247,1340,8,14,2
33,Cari Berkas,Berhasil,Laptop Windows,192.168.1.247,4022,4,14,2
33,Logout,Berhasil,Laptop Windows,192.168.1.247,867,1,15,2
43,Login,Berhasil,iPhone,192.168.1.77,1557,1,15,2
43,Lihat Perkara,Berhasil,iPhone,192.168.1.77,5567,8,15,2
43,Cari Berkas,Berhasil,iPhone,192.168.1.77,843,9,15,2
43,Logout,Berhasil,iPhone,192.168.1.77,1459,1,15,2
61,Lihat Perkara,Berhasil,Android,192.168.1.99,3346,7,15,2
61,Cari Berkas,Berhasil,Android,192.168.1.99,5901,6,15,2
61,Logout,Berhasil,Android,192.168.1.99,1204,1,15,2
6,Login,Gagal,PC Windows,192.168.1.64,1583,1,15,2
6,Lihat Perkara,Berhasil,PC Windows,192.168.1.64,4775,7,15,2
