row_id,timestamp,user_id,activity,session_id,anomaly_type,risk_level
0,2025-01-01 03:22:26,61,Login,S7BA6BF6F6BA7AFDC,login_luar_jam,Low
2,2025-01-01 07:00:30,1,Login,S3F578008B2F1E6E3,Normal,Normal
3,2025-01-01 07:02:05,1,Dashboard,S3F578008B2F1E6E3,Normal,Normal
4,2025-01-01 07:03:04,1,Kelola User,S3F578008B2F1E6E3,Normal,Normal
5,2025-01-01 07:05:10,1,Kelola Kode Klasifikasi,S3F578008B2F1E6E3,Normal,Normal
6,2025-01-01 07:07:37,1,Logout,S3F578008B2F1E6E3,Normal,Normal
10,2025-01-01 08:24:35,21,Login,SA7308128D32AB0F6,Normal,Normal
11,2025-01-01 08:25:12,21,Lihat Perkara,SA7308128D32AB0F6,Normal,Normal
12,2025-01-01 08:26:46,21,Cari Berkas,SA7308128D32AB0F6,Normal,Normal
13,2025-01-01 08:28:10,21,Logout,SA7308128D32AB0F6,Normal,Normal
14,2025-01-01 10:38:08,80,Login,S541D013617D8EA64,Normal,Normal
15,2025-01-01 10:40:12,80,Lihat Perkara,S541D013617D8EA64,Normal,Normal
16,2025-01-01 10:40:33,80,Cari Berkas,S541D013617D8EA64,ip_berubah,Low
17,2025-01-01 10:41:12,80,Logout,S541D013617D8EA64,Normal,Normal
22,2025-01-01 11:38:52,86,Login,SFECDDAEFE32B138F,Normal,Normal
23,2025-01-01 11:40:17,86,Lihat Perkara,SFECDDAEFE32B138F,Normal,Normal
24,2025-01-01 11:42:19,86,Cari Berkas,SFECDDAEFE32B138F,Normal,Normal
25,2025-01-01 11:42:55,86,Logout,SFECDDAEFE32B138F,Normal,Normal
26,2025-01-01 12:06:33,80,Login,SAB3EF81D7CA2E893,ip_berubah,Low
27,2025-01-01 12:08:41,80,Lihat Perkara,SAB3EF81D7CA2E893,Normal,Normal
28,2025-01-01 12:11:20,80,Cari Berkas,SAB3EF81D7CA2E893,Normal,Normal
29,2025-01-01 12:13:15,80,Logout,SAB3EF81D7CA2E893,Normal,Normal
30,2025-01-01 12:31:26,6,Login,S46340607F260A3ED,Normal,Normal
31,2025-01-01 12:33:29,6,Lihat Perkara,S46340607F260A3ED,aktivitas_terlalu_cepat,Medium
32,2025-01-01 12:35:16,6,Lihat Berkas,S46340607F260A3ED,Normal,Normal
33,2025-01-01 12:37:51,6,Input Berkas,S46340607F260A3ED,Normal,Normal
34,2025-01-01 12:38:41,6,Verifikasi,S46340607F260A3ED,Normal,Normal
35,2025-01-01 12:39:15,6,Logout,S46340607F260A3ED,Normal,Normal
36,2025-01-01 14:58:12,33,Login,SC6C2DF287AF4BB7D,Normal,Normal
37,2025-01-01 14:58:50,33,Lihat Perkara,SC6C2DF287AF4BB7D,Normal,Normal
38,2025-01-01 14:59:39,33,Cari Berkas,SC6C2DF287AF4BB7D,Normal,Normal
39,2025-01-01 15:01:43,33,Logout,SC6C2DF287AF4BB7D,Normal,Normal
40,2025-01-01 15:08:15,43,Login,S483DC53AFC9DB77E,Normal,Normal
41,2025-01-01 15:10:43,43,Lihat Perkara,S483DC53AFC9DB77E,Normal,Normal
42,2025-01-01 15:12:15,43,Cari Berkas,S483DC53AFC9DB77E,Normal,Normal
43,2025-01-01 15:12:50,43,Logout,S483DC53AFC9DB77E,Normal,Normal
44,2025-01-01 15:25:19,61,Lihat Perkara,S7BA6BF6F6BA7AFDC,Normal,Normal
45,2025-01-01 15:25:54,61,Cari Berkas,S7BA6BF6F6BA7AFDC,Normal,Normal
46,2025-01-01 15:28:32,61,Logout,S7BA6BF6F6BA7AFDC,Normal,Normal
