user_id,activity,status,device,ip_address,duration_ms,object_count,hour,day_of_week
1,7,1,7,3232235784,1418.0,1.0,7.0,2.0
1,1,0,7,3232235784,4791.0,4.0,7.0,2.0
1,4,0,7,3232235784,3625.0,3.0,7.0,2.0
1,3,0,7,3232235784,1837.0,4.0,7.0,2.0
1,8,0,7,3232235784,220.0,1.0,7.0,2.0
33,7,0,1,3232236023,1747.0,1.0,14.0,2.0
33,6,0,1,3232236023,1340.0,8.0,14.0,2.0
33,0,0,1,3232236023,4022.0,4.0,14.0,2.0
33,8,0,1,3232236023,867.0,1.0,15.0,2.0
43,7,0,8,3232235853,1557.0,1.0,15.0,2.0
43,6,0,8,3232235853,5567.0,8.0,15.0,2.0
43,0,0,8,3232235853,843.0,9.0,15.0,2.0
43,8,0,8,3232235853,1459.0,1.0,15.0,2.0
38,7,0,4,3232235984,1188.0,1.0,7.0,3.0
38,6,0,4,3232235984,1438.0,1.0,7.0,3.0
38,0,0,4,3232235984,744.0,9.0,7.0,3.0
38,8,0,4,3232235984,1493.0,1.0,7.0,3.0
25,7,0,8,3232235828,357.0,1.0,7.0,3.0
25,6,0,8,3232235828,1798.0,9.0,7.0,3.0
25,0,0,8,3232235828,1734.0,7.0,7.0,3.0
25,8,0,8,3232235828,1172.0,1.0,8.0,3.0
50,7,1,7,3232235996,702.0,1.0,8.0,3.0
50,6,0,7,3232235996,4592.0,7.0,8.0,3.0
50,0,0,7,3232235996,5962.0,3.0,8.0,3.0
50,8,0,7,3232235996,1280.0,1.0,8.0,3.0
70,7,0,8,3232236002,1580.0,1.0,11.0,3.0
70,6,0,8,3232236002,5734.0,9.0,11.0,3.0
70,0,0,8,3232236002,5488.0,4.0,11.0,3.0
70,8,0,8,3232236002,513.0,1.0,11.0,3.0
6,7,0,4,3232235840,758.0,1.0,13.0,3.0
6,6,0,4,3232235840,3186.0,3.0,13.0,3.0
6,5,0,4,3232235840,1206.0,7.0,13.0,3.0
6,2,0,4,3232235840,7497.0,1.0,13.0,3.0
6,9,1,4,3232235840,6489.0,9.0,13.0,3.0
6,8,0,4,3232235840,1116.0,1.0,13.0,3.0
50,7,0,7,3232235996,1001.0,1.0,14.0,3.0
50,6,0,7,3232235996,5041.0,3.0,14.0,3.0
50,0,0,7,3232235996,2794.0,1.0,14.0,3.0
50,8,0,7,3232235996,722.0,1.0,14.0,3.0
62,7,0,4,3232236014,1747.0,1.0,14.0,3.0
62,6,0,4,3232236014,2063.0,9.0,14.0,3.0
62,0,0,4,3232236014,5926.0,6.0,14.0,3.0
62,8,0,4,3232236014,1499.0,1.0,14.0,3.0
79,7,0,8,3232235880,676.0,1.0,15.0,3.0
79,6,0,8,3232235880,3534.0,3.0,15.0,3.0
79,0,0,8,3232235880,4892.0,6.0,15.0,3.0
79,8,0,8,3232235880,349.0,1.0,15.0,3.0
26,7,0,8,3232235885,718.0,1.0,15.0,3.0
26,6,0,8,3232235885,710.0,4.0,15.0,3.0
26,0,0,8,3232235885,3891.0,9.0,15.0,3.0
26,8,0,8,3232235885,260.0,1.0,15.0,3.0
20,7,0,8,3232235886,1147.0,1.0,8.0,4.0
20,6,0,8,3232235886,1128.0,9.0,8.0,4.0
20,0,0,8,3232235886,5551.0,3.0,8.0,4.0
20,8,0,8,3232235886,526.0,1.0,8.0,4.0
84,7,1,7,3232235817,907.0,1.0,13.0,4.0
84,1,0,7,3232235817,1941.0,2.0,13.0,4.0
84,4,0,7,3232235817,7403.0,7.0,13.0,4.0
84,3,0,7,3232235817,5772.0,7.0,13.0,4.0
84,8,0,7,3232235817,462.0,1.0,13.0,4.0
44,7,0,8,3232236004,1983.0,1.0,14.0,4.0
44,6,0,8,3232236004,3879.0,5.0,14.0,4.0
44,0,0,8,3232236004,3697.0,1.0,14.0,4.0
44,8,0,8,3232236004,1399.0,1.0,14.0,4.0
50,7,0,7,3232235996,1148.0,1.0,14.0,4.0
50,6,0,7,3232235996,5373.0,9.0,14.0,4.0
50,0,0,7,3232235996,4329.0,4.0,14.0,4.0
50,8,0,7,3232235996,1277.0,1.0,14.0,4.0
77,7,0,4,3232235969,1935.0,1.0,15.0,4.0
77,6,0,4,3232235969,614.0,4.0,15.0,4.0
77,0,0,4,3232235969,1603.0,3.0,15.0,4.0
77,8,0,4,3232235969,410.0,1.0,15.0,4.0
45,7,0,4,3232235925,1848.0,1.0,16.0,4.0
45,6,0,4,3232235925,2630.0,1.0,16.0,4.0
45,0,0,4,3232235925,1780.0,6.0,16.0,4.0
45,8,0,4,3232235925,1461.0,1.0,16.0,4.0
78,7,0,8,3232235887,1548.0,1.0,12.0,5.0
78,6,0,8,3232235887,2120.0,6.0,12.0,5.0
78,0,0,8,3232235887,4236.0,7.0,12.0,5.0
78,8,0,8,3232235887,1233.0,1.0,12.0,5.0
38,7,0,4,3232235984,387.0,1.0,7.0,6.0
38,6,0,4,3232235984,5652.0,5.0,7.0,6.0
38,0,0,4,3232235984,725.0,10.0,7.0,6.0
38,8,0,4,3232235984,408.0,1.0,7.0,6.0
45,7,0,4,3232235925,1975.0,1.0,7.0,6.0
45,6,0,4,3232235925,999.0,2.0,7.0,6.0
45,0,0,4,3232235925,3744.0,4.0,7.0,6.0
45,8,0,4,3232235925,277.0,1.0,7.0,6.0
75,7,0,1,3232235968,1864.0,1.0,8.0,6.0
75,6,0,1,3232235968,3497.0,1.0,8.0,6.0
75,0,0,1,3232235968,3781.0,1.0,9.0,6.0
75,8,0,1,3232235968,1367.0,1.0,9.0,6.0
59,7,0,1,3232235914,1882.0,1.0,13.0,6.0
59,6,0,1,3232235914,4442.0,6.0,13.0,6.0
59,0,0,1,3232235914,554.0,6.0,13.0,6.0
