row_id,split,timestamp,session_id,user_id,username,role,activity,status,ip_address,device,duration_ms,object_count,risk_level,anomaly_type
2,train,2025-01-01 07:00:30,S3F578008B2F1E6E3,1,admin,Admin,Login,Gagal,192.168.1.8,Windows,1418,1,Normal,Normal
3,train,2025-01-01 07:02:05,S3F578008B2F1E6E3,1,admin,Admin,Dashboard,Berhasil,192.168.1.8,Windows,4791,4,Normal,Normal
4,train,2025-01-01 07:03:04,S3F578008B2F1E6E3,1,admin,Admin,Kelola User,Berhasil,192.168.1.8,Windows,3625,3,Normal,Normal
5,train,2025-01-01 07:05:10,S3F578008B2F1E6E3,1,admin,Admin,Kelola Kode Klasifikasi,Berhasil,192.168.1.8,Windows,1837,4,Normal,Normal
6,train,2025-01-01 07:07:37,S3F578008B2F1E6E3,1,admin,Admin,Logout,Berhasil,192.168.1.8,Windows,220,1,Normal,Normal
36,train,2025-01-01 14:58:12,SC6C2DF287AF4BB7D,33,ingpi,User,Login,Berhasil,192.168.1.247,Laptop Windows,1747,1,Normal,Normal
37,train,2025-01-01 14:58:50,SC6C2DF287AF4BB7D,33,ingpi,User,Lihat Perkara,Berhasil,192.168.1.247,Laptop Windows,1340,8,Normal,Normal
38,train,2025-01-01 14:59:39,SC6C2DF287AF4BB7D,33,ingpi,User,Cari Berkas,Berhasil,192.168.1.247,Laptop Windows,4022,4,Normal,Normal
39,train,2025-01-01 15:01:43,SC6C2DF287AF4BB7D,33,ingpi,User,Logout,Berhasil,192.168.1.247,Laptop Windows,867,1,Normal,Normal
40,train,2025-01-01 15:08:15,S483DC53AFC9DB77E,43,islamia,User,Login,Berhasil,192.168.1.77,iPhone,1557,1,Normal,Normal
41,train,2025-01-01 15:10:43,S483DC53AFC9DB77E,43,islamia,User,Lihat Perkara,Berhasil,192.168.1.77,iPhone,5567,8,Normal,Normal
42,train,2025-01-01 15:12:15,S483DC53AFC9DB77E,43,islamia,User,Cari Berkas,Berhasil,192.168.1.77,iPhone,843,9,Normal,Normal
43,train,2025-01-01 15:12:50,S483DC53AFC9DB77E,43,islamia,User,Logout,Berhasil,192.168.1.77,iPhone,1459,1,Normal,Normal
57,train,2025-01-02 07:17:46,S2CFC95D73AE28DE8,38,hesti.amelia,User,Login,Berhasil,192.168.1.208,PC Windows,1188,1,Normal,Normal
58,train,2025-01-02 07:18:12,S2CFC95D73AE28DE8,38,hesti.amelia,User,Lihat Perkara,Berhasil,192.168.1.208,PC Windows,1438,1,Normal,Normal
59,train,2025-01-02 07:20:35,S2CFC95D73AE28DE8,38,hesti.amelia,User,Cari Berkas,Berhasil,192.168.1.208,PC Windows,744,9,Normal,Normal
60,train,2025-01-02 07:22:23,S2CFC95D73AE28DE8,38,hesti.amelia,User,Logout,Berhasil,192.168.1.208,PC Windows,1493,1,Normal,Normal
61,train,2025-01-02 07:55:53,SC40CF33A42E32C21,25,akmal1219,User,Login,Berhasil,192.168.1.52,iPhone,357,1,Normal,Normal
62,train,2025-01-02 07:57:02,SC40CF33A42E32C21,25,akmal1219,User,Lihat Perkara,Berhasil,192.168.1.52,iPhone,1798,9,Normal,Normal
63,train,2025-01-02 07:58:40,SC40CF33A42E32C21,25,akmal1219,User,Cari Berkas,Berhasil,192.168.1.52,iPhone,1734,7,Normal,Normal
64,train,2025-01-02 08:00:32,SC40CF33A42E32C21,25,akmal1219,User,Logout,Berhasil,192.168.1.52,iPhone,1172,1,Normal,Normal
