source_type,source_id,user_id,aksi,status,device,ip_address,durasi_ms,jumlah_objek,waktu,is_anomali,risk_level_source,candidate_type
SYNTHETIC,synth_1,61,Login,Berhasil,Android,192.168.1.99,1726.0,1.0,2025-01-01 03:22:26,True,Low,ANOMALY
SYNTHETIC,synth_2,76,Login,Berhasil,iPhone,192.168.1.139,1100.0,1.0,2025-01-01 05:07:06,True,Low,ANOMALY
SYNTHETIC,synth_3,1,Login,Gagal,Windows,192.168.1.8,1418.0,1.0,2025-01-01 07:00:30,False,Normal,NORMAL
SYNTHETIC,synth_4,1,Dashboard,Berhasil,Windows,192.168.1.8,4791.0,4.0,2025-01-01 07:02:05,False,Normal,NORMAL
SYNTHETIC,synth_5,1,Kelola User,Berhasil,Windows,192.168.1.8,3625.0,3.0,2025-01-01 07:03:04,False,Normal,NORMAL
SYNTHETIC,synth_6,1,Kelola Kode Klasifikasi,Berhasil,Windows,192.168.1.8,1837.0,4.0,2025-01-01 07:05:10,False,Normal,NORMAL
SYNTHETIC,synth_7,1,Logout,Berhasil,Windows,192.168.1.8,220.0,1.0,2025-01-01 07:07:37,False,Normal,NORMAL
SYNTHETIC,synth_8,76,Lihat Perkara,Berhasil,iPhone,192.168.1.139,1012.0,1.0,2025-01-01 07:10:06,False,Normal,NORMAL
SYNTHETIC,synth_9,76,Cari Berkas,Berhasil,iPhone,192.168.1.139,1456.0,7.0,2025-01-01 07:12:27,False,Normal,NORMAL
SYNTHETIC,synth_10,76,Logout,Berhasil,iPhone,192.168.1.139,1231.0,1.0,2025-01-01 07:14:28,False,Normal,NORMAL
SYNTHETIC,synth_11,21,Login,Berhasil,Windows,192.168.1.9,524.0,1.0,2025-01-01 08:24:35,False,Normal,NORMAL
SYNTHETIC,synth_12,21,Lihat Perkara,Berhasil,Windows,192.168.1.9,3326.0,9.0,2025-01-01 08:25:12,False,Normal,NORMAL
SYNTHETIC,synth_13,21,Cari Berkas,Berhasil,Windows,192.168.1.9,5761.0,1.0,2025-01-01 08:26:46,False,Normal,NORMAL
SYNTHETIC,synth_14,21,Logout,Berhasil,Windows,192.168.1.9,1307.0,1.0,2025-01-01 08:28:10,False,Normal,NORMAL
SYNTHETIC,synth_15,80,Login,Berhasil,PC Windows,192.168.1.58,411.0,1.0,2025-01-01 10:38:08,False,Normal,NORMAL
SYNTHETIC,synth_16,80,Lihat Perkara,Berhasil,PC Windows,192.168.1.58,3877.0,5.0,2025-01-01 10:40:12,False,Normal,NORMAL
SYNTHETIC,synth_17,80,Cari Berkas,Berhasil,PC Windows,66.199.90.80,848.0,8.0,2025-01-01 10:40:33,True,Low,ANOMALY
SYNTHETIC,synth_18,80,Logout,Berhasil,PC Windows,192.168.1.58,298.0,1.0,2025-01-01 10:41:12,False,Normal,NORMAL
