source_id,reason
synth_11,V5 anomaly base source; excluded from all normal partitions
synth_40,V5 anomaly base source; excluded from all normal partitions
synth_42,V5 anomaly base source; excluded from all normal partitions
synth_48,V5 anomaly base source; excluded from all normal partitions
synth_54,V5 anomaly base source; excluded from all normal partitions
synth_57,V5 anomaly base source; excluded from all normal partitions
synth_70,V5 anomaly base source; excluded from all normal partitions
synth_77,V5 anomaly base source; excluded from all normal partitions
synth_110,V5 anomaly base source; excluded from all normal partitions
synth_113,V5 anomaly base source; excluded from all normal partitions
synth_126,V5 anomaly base source; excluded from all normal partitions
synth_132,V5 anomaly base source; excluded from all normal partitions
synth_149,V5 anomaly base source; excluded from all normal partitions
synth_165,V5 anomaly base source; excluded from all normal partitions
synth_185,V5 anomaly base source; excluded from all normal partitions
synth_186,V5 anomaly base source; excluded from all normal partitions
synth_193,V5 anomaly base source; excluded from all normal partitions
synth_197,V5 anomaly base source; excluded from all normal partitions
synth_201,V5 anomaly base source; excluded from all normal partitions
synth_204,V5 anomaly base source; excluded from all normal partitions
synth_241,V5 anomaly base source; excluded from all normal partitions
synth_272,V5 anomaly base source; excluded from all normal partitions
synth_273,V5 anomaly base source; excluded from all normal partitions
synth_317,V5 anomaly base source; excluded from all normal partitions
synth_323,V5 anomaly base source; excluded from all normal partitions
synth_341,V5 anomaly base source; excluded from all normal partitions
synth_350,V5 anomaly base source; excluded from all normal partitions
synth_394,V5 anomaly base source; excluded from all normal partitions
synth_399,V5 anomaly base source; excluded from all normal partitions
synth_402,V5 anomaly base source; excluded from all normal partitions
synth_422,V5 anomaly base source; excluded from all normal partitions
synth_428,V5 anomaly base source; excluded from all normal partitions
synth_439,V5 anomaly base source; excluded from all normal partitions
synth_442,V5 anomaly base source; excluded from all normal partitions
synth_453,V5 anomaly base source; excluded from all normal partitions
synth_480,V5 anomaly base source; excluded from all normal partitions
synth_483,V5 anomaly base source; excluded from all normal partitions
synth_501,V5 anomaly base source; excluded from all normal partitions
synth_506,V5 anomaly base source; excluded from all normal partitions
synth_508,V5 anomaly base source; excluded from all normal partitions
synth_519,V5 anomaly base source; excluded from all normal partitions
synth_540,V5 anomaly base source; excluded from all normal partitions
synth_564,V5 anomaly base source; excluded from all normal partitions
synth_571,V5 anomaly base source; excluded from all normal partitions
synth_589,V5 anomaly base source; excluded from all normal partitions
synth_594,V5 anomaly base source; excluded from all normal partitions
synth_599,V5 anomaly base source; excluded from all normal partitions
synth_646,V5 anomaly base source; excluded from all normal partitions
synth_653,V5 anomaly base source; excluded from all normal partitions
synth_670,V5 anomaly base source; excluded from all normal partitions
synth_689,V5 anomaly base source; excluded from all normal partitions
synth_727,V5 anomaly base source; excluded from all normal partitions
synth_780,V5 anomaly base source; excluded from all normal partitions
synth_798,V5 anomaly base source; excluded from all normal partitions
synth_826,V5 anomaly base source; excluded from all normal partitions
synth_828,V5 anomaly base source; excluded from all normal partitions
synth_844,V5 anomaly base source; excluded from all normal partitions
synth_853,V5 anomaly base source; excluded from all normal partitions
synth_880,V5 anomaly base source; excluded from all normal partitions
synth_896,V5 anomaly base source; excluded from all normal partitions
synth_903,V5 anomaly base source; excluded from all normal partitions
synth_919,V5 anomaly base source; excluded from all normal partitions
synth_957,V5 anomaly base source; excluded from all normal partitions
synth_963,V5 anomaly base source; excluded from all normal partitions
synth_967,V5 anomaly base source; excluded from all normal partitions
synth_979,V5 anomaly base source; excluded from all normal partitions
synth_1002,V5 anomaly base source; excluded from all normal partitions
synth_1004,V5 anomaly base source; excluded from all normal partitions
synth_1011,V5 anomaly base source; excluded from all normal partitions
synth_1036,V5 anomaly base source; excluded from all normal partitions
synth_1041,V5 anomaly base source; excluded from all normal partitions
synth_1048,V5 anomaly base source; excluded from all normal partitions
synth_1095,V5 anomaly base source; excluded from all normal partitions
synth_1096,V5 anomaly base source; excluded from all normal partitions
synth_1113,V5 anomaly base source; excluded from all normal partitions
synth_1125,V5 anomaly base source; excluded from all normal partitions
synth_1129,V5 anomaly base source; excluded from all normal partitions
synth_1134,V5 anomaly base source; excluded from all normal partitions
synth_1146,V5 anomaly base source; excluded from all normal partitions
synth_1162,V5 anomaly base source; excluded from all normal partitions
synth_1167,V5 anomaly base source; excluded from all normal partitions
synth_1191,V5 anomaly base source; excluded from all normal partitions
synth_1209,V5 anomaly base source; excluded from all normal partitions
synth_1215,V5 anomaly base source; excluded from all normal partitions
synth_1218,V5 anomaly base source; excluded from all normal partitions
synth_1219,V5 anomaly base source; excluded from all normal partitions
synth_1245,V5 anomaly base source; excluded from all normal partitions
synth_1263,V5 anomaly base source; excluded from all normal partitions
synth_1303,V5 anomaly base source; excluded from all normal partitions
synth_1322,V5 anomaly base source; excluded from all normal partitions
synth_1369,V5 anomaly base source; excluded from all normal partitions
synth_1374,V5 anomaly base source; excluded from all normal partitions
synth_1382,V5 anomaly base source; excluded from all normal partitions
synth_1384,V5 anomaly base source; excluded from all normal partitions
synth_1414,V5 anomaly base source; excluded from all normal partitions
synth_1424,V5 anomaly base source; excluded from all normal partitions
synth_1474,V5 anomaly base source; excluded from all normal partitions
synth_1485,V5 anomaly base source; excluded from all normal partitions
synth_1492,V5 anomaly base source; excluded from all normal partitions
synth_1514,V5 anomaly base source; excluded from all normal partitions
synth_1519,V5 anomaly base source; excluded from all normal partitions
synth_1526,V5 anomaly base source; excluded from all normal partitions
synth_1536,V5 anomaly base source; excluded from all normal partitions
synth_1540,V5 anomaly base source; excluded from all normal partitions
synth_1541,V5 anomaly base source; excluded from all normal partitions
synth_1551,V5 anomaly base source; excluded from all normal partitions
synth_1554,V5 anomaly base source; excluded from all normal partitions
synth_1562,V5 anomaly base source; excluded from all normal partitions
synth_1592,V5 anomaly base source; excluded from all normal partitions
synth_1604,V5 anomaly base source; excluded from all normal partitions
synth_1607,V5 anomaly base source; excluded from all normal partitions
synth_1628,V5 anomaly base source; excluded from all normal partitions
synth_1632,V5 anomaly base source; excluded from all normal partitions
synth_1647,V5 anomaly base source; excluded from all normal partitions
synth_1652,V5 anomaly base source; excluded from all normal partitions
synth_1662,V5 anomaly base source; excluded from all normal partitions
synth_1663,V5 anomaly base source; excluded from all normal partitions
synth_1669,V5 anomaly base source; excluded from all normal partitions
synth_1671,V5 anomaly base source; excluded from all normal partitions
synth_1673,V5 anomaly base source; excluded from all normal partitions
synth_1693,V5 anomaly base source; excluded from all normal partitions
synth_1697,V5 anomaly base source; excluded from all normal partitions
synth_1750,V5 anomaly base source; excluded from all normal partitions
synth_1763,V5 anomaly base source; excluded from all normal partitions
synth_1783,V5 anomaly base source; excluded from all normal partitions
synth_1790,V5 anomaly base source; excluded from all normal partitions
synth_1793,V5 anomaly base source; excluded from all normal partitions
synth_1799,V5 anomaly base source; excluded from all normal partitions
synth_1815,V5 anomaly base source; excluded from all normal partitions
synth_1856,V5 anomaly base source; excluded from all normal partitions
synth_1859,V5 anomaly base source; excluded from all normal partitions
synth_1883,V5 anomaly base source; excluded from all normal partitions
synth_1885,V5 anomaly base source; excluded from all normal partitions
synth_1899,V5 anomaly base source; excluded from all normal partitions
synth_1905,V5 anomaly base source; excluded from all normal partitions
synth_1909,V5 anomaly base source; excluded from all normal partitions
synth_1938,V5 anomaly base source; excluded from all normal partitions
synth_1949,V5 anomaly base source; excluded from all normal partitions
synth_1957,V5 anomaly base source; excluded from all normal partitions
synth_1983,V5 anomaly base source; excluded from all normal partitions
synth_1984,V5 anomaly base source; excluded from all normal partitions
synth_1998,V5 anomaly base source; excluded from all normal partitions
synth_2007,V5 anomaly base source; excluded from all normal partitions
synth_2011,V5 anomaly base source; excluded from all normal partitions
synth_2025,V5 anomaly base source; excluded from all normal partitions
synth_2065,V5 anomaly base source; excluded from all normal partitions
synth_2178,V5 anomaly base source; excluded from all normal partitions
synth_2190,V5 anomaly base source; excluded from all normal partitions
synth_2204,V5 anomaly base source; excluded from all normal partitions
synth_2220,V5 anomaly base source; excluded from all normal partitions
synth_2225,V5 anomaly base source; excluded from all normal partitions
synth_2226,V5 anomaly base source; excluded from all normal partitions
synth_2232,V5 anomaly base source; excluded from all normal partitions
synth_2257,V5 anomaly base source; excluded from all normal partitions
synth_2264,V5 anomaly base source; excluded from all normal partitions
synth_2266,V5 anomaly base source; excluded from all normal partitions
synth_2276,V5 anomaly base source; excluded from all normal partitions
synth_2283,V5 anomaly base source; excluded from all normal partitions
synth_2285,V5 anomaly base source; excluded from all normal partitions
synth_2288,V5 anomaly base source; excluded from all normal partitions
synth_2307,V5 anomaly base source; excluded from all normal partitions
synth_2324,V5 anomaly base source; excluded from all normal partitions
synth_2336,V5 anomaly base source; excluded from all normal partitions
synth_2382,V5 anomaly base source; excluded from all normal partitions
synth_2388,V5 anomaly base source; excluded from all normal partitions
synth_2414,V5 anomaly base source; excluded from all normal partitions
synth_2442,V5 anomaly base source; excluded from all normal partitions
synth_2448,V5 anomaly base source; excluded from all normal partitions
