metric,before,after,delta,delta_pct
test_normal_mean_mse,0.007958,0.008015,5.7e-05,0.72
test_normal_p95_mse,0.021369,0.021101,-0.000268,
test_normal_fp_val_thr,3.0,3.0,0.0,
test_normal_fpr_val_thr,0.0016,0.0016,0.0,
test_normal_fp_prod_thr,0.0,0.0,0.0,
test_normal_fpr_prod_thr,0.0,0.0,0.0,
validation_anomaly_mean_mse,0.253043,0.234649,-0.018394,-7.27
validation_anomaly_p95_mse,0.365664,0.307683,-0.05798,
validation_anomaly_fp_val_thr,500.0,363.0,-137.0,
validation_anomaly_fpr_val_thr,1.0,0.726,-0.274,
validation_anomaly_fp_prod_thr,0.0,1.0,1.0,
validation_anomaly_fpr_prod_thr,0.0,0.002,0.002,
test_anomaly_mean_mse,0.258302,0.228963,-0.029339,-11.36
test_anomaly_p95_mse,0.376763,0.306584,-0.070179,
test_anomaly_fp_val_thr,496.0,370.0,-126.0,
test_anomaly_fpr_val_thr,0.992,0.74,-0.252,
test_anomaly_fp_prod_thr,0.0,1.0,1.0,
test_anomaly_fpr_prod_thr,0.0,0.002,0.002,
localhost_mean_mse,2.985807,2.90705,-0.078757,-2.64
localhost_p95_mse,3.287384,3.219326,-0.068057,
localhost_fp_val_thr,329.0,329.0,0.0,
localhost_fpr_val_thr,1.0,1.0,0.0,
localhost_fp_prod_thr,133.0,68.0,-65.0,
localhost_fpr_prod_thr,0.4043,0.2067,-0.1976,
