anomaly_row_id,base_record_id,anomaly_type,source_dataset,source_split,mutation_description
0,synth_1663,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
1,synth_14334,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
2,synth_1322,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
3,synth_7280,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
4,synth_12267,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
5,synth_13384,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
6,synth_10231,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
7,synth_1011,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
8,synth_11578,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
9,synth_442,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
10,synth_9215,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
11,synth_14501,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
12,synth_3398,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
13,synth_1526,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
14,synth_9689,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
15,synth_3424,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
16,synth_10330,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
17,synth_1536,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
18,synth_7580,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
19,synth_11716,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
20,synth_5976,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
21,synth_7147,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
22,synth_8269,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
23,synth_1763,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
24,synth_10684,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
25,synth_4226,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
26,synth_9421,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
27,synth_11814,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
28,synth_10333,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
29,synth_7171,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
30,synth_1002,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
31,synth_14447,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
32,synth_9760,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
33,synth_12745,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
34,synth_1384,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
35,synth_10900,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
36,synth_6948,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
37,synth_9505,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
38,synth_508,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
39,synth_12475,suspicious_external_access,retraining_dataset_combined_raw.csv,V5_ANOMALY_PENDING,"ip_address,device"
