source_type,source_id,user_id,aksi,status,device,ip_address,durasi_ms,jumlah_objek,waktu,is_anomali,risk_level_source,candidate_type
SYNTHETIC,synth_2140,83,Lihat Perkara,Berhasil,Windows,192.168.1.222,5891.0,1.0,2025-02-19 07:18:27,False,Normal,NORMAL
SYNTHETIC,synth_14303,47,Login,Berhasil,Windows,192.168.1.13,1934.0,1.0,2025-12-14 08:05:21,False,Normal,NORMAL
SYNTHETIC,synth_10686,73,Lihat Perkara,Berhasil,Android,192.168.1.38,1367.0,1.0,2025-09-15 16:36:34,False,Normal,NORMAL
SYNTHETIC,synth_5990,30,Lihat Perkara,Berhasil,Laptop Windows,192.168.1.180,892.0,2.0,2025-05-27 10:06:09,False,Normal,NORMAL
SYNTHETIC,synth_12119,71,Cari Berkas,Berhasil,PC Windows,192.168.1.56,4338.0,9.0,2025-10-20 10:12:53,False,Normal,NORMAL
SYNTHETIC,synth_3329,43,Cari Berkas,Berhasil,iPhone,192.168.1.77,5386.0,1.0,2025-03-21 16:05:15,False,Normal,NORMAL
SYNTHETIC,synth_3454,82,Lihat Perkara,Berhasil,Android,192.168.1.25,4624.0,3.0,2025-03-23 11:33:51,False,Normal,NORMAL
SYNTHETIC,synth_6693,51,Cari Berkas,Berhasil,Laptop Windows,192.168.1.223,3075.0,2.0,2025-06-13 10:15:58,False,Normal,NORMAL
SYNTHETIC,synth_14005,59,Cari Berkas,Berhasil,Laptop Windows,192.168.1.138,4051.0,6.0,2025-12-05 13:47:31,False,Normal,NORMAL
SYNTHETIC,synth_6930,85,Logout,Berhasil,Laptop Windows,192.168.1.204,269.0,1.0,2025-06-18 11:07:06,False,Normal,NORMAL
SYNTHETIC,synth_9905,19,Lihat Perkara,Berhasil,iPhone,192.168.1.24,4748.0,10.0,2025-08-28 15:13:52,False,Normal,NORMAL
SYNTHETIC,synth_12584,38,Logout,Berhasil,PC Windows,192.168.1.208,1428.0,1.0,2025-10-31 10:15:41,False,Normal,NORMAL
SYNTHETIC,synth_8620,34,Lihat Perkara,Berhasil,PC Windows,192.168.1.28,5383.0,3.0,2025-07-26 11:27:54,False,Normal,NORMAL
SYNTHETIC,synth_296,37,Logout,Berhasil,PC Windows,192.168.1.156,307.0,1.0,2025-01-07 14:40:47,False,Normal,NORMAL
SYNTHETIC,synth_7509,28,Login,Berhasil,iPhone,192.168.1.73,1865.0,1.0,2025-07-01 14:05:41,False,Normal,NORMAL
SYNTHETIC,synth_4832,60,Login,Berhasil,Laptop Windows,192.168.1.43,1210.0,1.0,2025-04-28 14:32:13,False,Normal,NORMAL
SYNTHETIC,synth_1010,43,Lihat Perkara,Berhasil,iPhone,192.168.1.77,4950.0,8.0,2025-01-23 11:48:58,False,Normal,NORMAL
SYNTHETIC,synth_12621,53,Lihat Perkara,Berhasil,PC Windows,192.168.1.118,1798.0,4.0,2025-11-01 07:59:31,False,Normal,NORMAL
SYNTHETIC,synth_12675,24,Lihat Perkara,Berhasil,iPhone,192.168.1.8,1629.0,4.0,2025-11-02 13:55:59,False,Normal,NORMAL
SYNTHETIC,synth_6982,32,Login,Berhasil,PC Windows,192.168.1.41,639.0,1.0,2025-06-19 14:30:55,False,Normal,NORMAL
SYNTHETIC,synth_7079,81,Lihat Perkara,Berhasil,Laptop Windows,192.168.1.132,5245.0,9.0,2025-06-22 07:53:19,False,Normal,NORMAL
SYNTHETIC,synth_7006,56,Logout,Berhasil,Laptop Windows,192.168.1.173,673.0,1.0,2025-06-20 09:03:05,False,Normal,NORMAL
SYNTHETIC,synth_2981,65,Cari Berkas,Berhasil,Windows,192.168.1.60,895.0,10.0,2025-03-14 08:52:43,False,Normal,NORMAL
SYNTHETIC,synth_12116,28,Logout,Berhasil,iPhone,192.168.1.73,233.0,1.0,2025-10-20 09:42:52,False,Normal,NORMAL
SYNTHETIC,synth_12275,19,Login,Berhasil,iPhone,192.168.1.24,372.0,1.0,2025-10-23 11:57:12,False,Normal,NORMAL
SYNTHETIC,synth_7065,27,Login,Berhasil,Laptop Windows,192.168.1.116,1658.0,1.0,2025-06-21 15:14:22,False,Normal,NORMAL
SYNTHETIC,synth_1359,47,Login,Berhasil,Windows,192.168.1.13,1967.0,1.0,2025-02-01 12:22:22,False,Normal,NORMAL
SYNTHETIC,synth_2537,51,Logout,Berhasil,Laptop Windows,192.168.1.223,1445.0,1.0,2025-03-02 09:27:42,False,Normal,NORMAL
SYNTHETIC,synth_1702,61,Cari Berkas,Berhasil,Android,192.168.1.99,4449.0,10.0,2025-02-09 16:27:20,False,Normal,NORMAL
SYNTHETIC,synth_5253,67,Cari Berkas,Berhasil,PC Windows,192.168.1.104,4351.0,7.0,2025-05-09 08:23:22,False,Normal,NORMAL
SYNTHETIC,synth_8959,64,Cari Berkas,Berhasil,PC Windows,192.168.1.217,3468.0,9.0,2025-08-04 16:39:16,False,Normal,NORMAL
SYNTHETIC,synth_13899,28,Logout,Berhasil,iPhone,192.168.1.73,401.0,1.0,2025-12-03 13:34:18,False,Normal,NORMAL
SYNTHETIC,synth_10482,26,Login,Berhasil,iPhone,192.168.1.109,1279.0,1.0,2025-09-10 14:54:51,False,Normal,NORMAL
SYNTHETIC,synth_4580,36,Login,Berhasil,Windows,192.168.1.93,1834.0,1.0,2025-04-21 10:02:55,False,Normal,NORMAL
SYNTHETIC,synth_3316,81,Lihat Perkara,Berhasil,Laptop Windows,192.168.1.132,4352.0,5.0,2025-03-21 14:59:31,False,Normal,NORMAL
SYNTHETIC,synth_1969,55,Lihat Berkas,Berhasil,PC Windows,192.168.1.92,2687.0,5.0,2025-02-15 09:56:05,False,Normal,NORMAL
SYNTHETIC,synth_9623,59,Cari Berkas,Berhasil,Laptop Windows,192.168.1.138,3085.0,9.0,2025-08-21 11:03:36,False,Normal,NORMAL
SYNTHETIC,synth_2474,77,Logout,Berhasil,PC Windows,192.168.1.193,1276.0,1.0,2025-02-28 13:37:59,False,Normal,NORMAL
SYNTHETIC,synth_14416,31,Lihat Perkara,Berhasil,Android,192.168.1.89,5953.0,3.0,2025-12-16 12:05:56,False,Normal,NORMAL
SYNTHETIC,synth_2439,52,Cari Berkas,Berhasil,Windows,192.168.1.99,3680.0,6.0,2025-02-27 14:17:46,False,Normal,NORMAL
SYNTHETIC,synth_6334,71,Lihat Perkara,Berhasil,PC Windows,192.168.1.56,5937.0,2.0,2025-06-04 12:00:32,False,Normal,NORMAL
SYNTHETIC,synth_6360,22,Login,Gagal,Windows,192.168.1.57,1371.0,1.0,2025-06-05 11:27:16,False,Normal,NORMAL
SYNTHETIC,synth_6668,37,Login,Gagal,PC Windows,192.168.1.156,942.0,1.0,2025-06-12 14:13:47,False,Normal,NORMAL
SYNTHETIC,synth_7022,54,Input Berkas,Berhasil,PC Windows,192.168.1.43,7908.0,1.0,2025-06-20 11:54:02,False,Normal,NORMAL
SYNTHETIC,synth_1206,56,Cari Berkas,Berhasil,Laptop Windows,192.168.1.173,5139.0,9.0,2025-01-27 16:28:01,False,Normal,NORMAL
SYNTHETIC,synth_8073,18,Lihat Perkara,Berhasil,Windows,192.168.1.175,2744.0,2.0,2025-07-15 12:58:16,False,Normal,NORMAL
SYNTHETIC,synth_10699,1,Dashboard,Berhasil,Windows,192.168.1.8,2981.0,2.0,2025-09-16 09:00:00,False,Normal,NORMAL
SYNTHETIC,synth_6615,70,Login,Berhasil,iPhone,192.168.1.226,1858.0,1.0,2025-06-11 11:57:39,False,Normal,NORMAL
SYNTHETIC,synth_5931,55,Lihat Berkas,Berhasil,PC Windows,192.168.1.92,6274.0,6.0,2025-05-25 12:56:30,False,Normal,NORMAL
SYNTHETIC,synth_11545,27,Lihat Perkara,Berhasil,Laptop Windows,192.168.1.116,858.0,3.0,2025-10-07 13:15:59,False,Normal,NORMAL
SYNTHETIC,synth_6256,35,Lihat Perkara,Berhasil,Windows,192.168.1.99,1412.0,7.0,2025-06-01 14:19:19,False,Normal,NORMAL
SYNTHETIC,synth_11121,83,Login,Gagal,Windows,192.168.1.222,1365.0,1.0,2025-09-28 07:56:10,False,Normal,NORMAL
SYNTHETIC,synth_4872,26,Cari Berkas,Berhasil,iPhone,192.168.1.109,2426.0,3.0,2025-04-29 11:20:09,False,Normal,NORMAL
SYNTHETIC,synth_13042,84,Logout,Berhasil,Windows,192.168.1.41,1459.0,1.0,2025-11-11 08:53:21,False,Normal,NORMAL
SYNTHETIC,synth_5850,56,Cari Berkas,Berhasil,Laptop Windows,192.168.1.173,3088.0,10.0,2025-05-24 07:13:58,False,Normal,NORMAL
SYNTHETIC,synth_14519,37,Cari Berkas,Berhasil,PC Windows,192.168.1.156,5881.0,3.0,2025-12-19 11:51:54,False,Normal,NORMAL
SYNTHETIC,synth_13239,18,Cari Berkas,Berhasil,Windows,192.168.1.175,3972.0,10.0,2025-11-15 14:56:30,False,Normal,NORMAL
SYNTHETIC,synth_645,71,Logout,Berhasil,PC Windows,192.168.1.56,706.0,1.0,2025-01-15 16:06:59,False,Normal,NORMAL
SYNTHETIC,synth_2609,55,Lihat Perkara,Berhasil,PC Windows,192.168.1.92,1688.0,6.0,2025-03-04 07:41:38,False,Normal,NORMAL
SYNTHETIC,synth_14860,76,Cari Berkas,Berhasil,iPhone,192.168.1.139,5445.0,3.0,2025-12-28 10:48:13,False,Normal,NORMAL
SYNTHETIC,synth_464,20,Lihat Perkara,Berhasil,iPhone,192.168.1.110,3776.0,5.0,2025-01-11 16:38:26,False,Normal,NORMAL
SYNTHETIC,synth_5298,73,Lihat Perkara,Berhasil,Android,192.168.1.38,4655.0,8.0,2025-05-09 14:27:27,False,Normal,NORMAL
SYNTHETIC,synth_10148,29,Login,Berhasil,Windows,192.168.1.196,789.0,1.0,2025-09-03 12:17:22,False,Normal,NORMAL
SYNTHETIC,synth_1730,22,Cari Berkas,Berhasil,Windows,192.168.1.57,3736.0,7.0,2025-02-10 11:53:56,False,Normal,NORMAL
SYNTHETIC,synth_7005,56,Cari Berkas,Berhasil,Laptop Windows,192.168.1.173,1969.0,10.0,2025-06-20 09:01:08,False,Normal,NORMAL
SYNTHETIC,synth_4414,47,Cari Berkas,Berhasil,Windows,192.168.1.13,2864.0,4.0,2025-04-15 15:55:14,False,Normal,NORMAL
SYNTHETIC,synth_2454,85,Login,Berhasil,Laptop Windows,192.168.1.204,1223.0,1.0,2025-02-27 15:55:16,False,Normal,NORMAL
SYNTHETIC,synth_13801,75,Logout,Berhasil,Laptop Windows,192.168.1.192,268.0,1.0,2025-11-30 10:53:02,False,Normal,NORMAL
SYNTHETIC,synth_3158,66,Lihat Perkara,Berhasil,Windows,192.168.1.208,3957.0,1.0,2025-03-18 10:29:54,False,Normal,NORMAL
SYNTHETIC,synth_12167,6,Lihat Berkas,Berhasil,PC Windows,192.168.1.64,5146.0,8.0,2025-10-21 11:51:46,False,Normal,NORMAL
SYNTHETIC,synth_2903,77,Login,Berhasil,PC Windows,192.168.1.193,1878.0,1.0,2025-03-12 09:49:14,False,Normal,NORMAL
SYNTHETIC,synth_13241,50,Lihat Perkara,Berhasil,Windows,192.168.1.220,4377.0,8.0,2025-11-15 15:04:36,False,Normal,NORMAL
SYNTHETIC,synth_10930,73,Login,Berhasil,Android,192.168.1.38,621.0,1.0,2025-09-23 07:12:03,False,Normal,NORMAL
SYNTHETIC,synth_3670,70,Login,Berhasil,iPhone,192.168.1.226,417.0,1.0,2025-03-29 07:24:09,False,Normal,NORMAL
SYNTHETIC,synth_9362,18,Lihat Perkara,Berhasil,Windows,192.168.1.175,991.0,6.0,2025-08-14 07:54:03,False,Normal,NORMAL
SYNTHETIC,synth_995,39,Logout,Berhasil,Windows,192.168.1.188,431.0,1.0,2025-01-23 07:04:22,False,Normal,NORMAL
SYNTHETIC,synth_12393,26,Lihat Perkara,Berhasil,iPhone,192.168.1.109,3464.0,2.0,2025-10-25 16:52:54,False,Normal,NORMAL
SYNTHETIC,synth_1639,74,Logout,Berhasil,PC Windows,192.168.1.37,1343.0,1.0,2025-02-08 14:36:50,False,Normal,NORMAL
SYNTHETIC,synth_10997,47,Login,Gagal,Windows,192.168.1.13,893.0,1.0,2025-09-24 12:52:25,False,Normal,NORMAL
SYNTHETIC,synth_1614,68,Cari Berkas,Berhasil,PC Windows,192.168.1.18,520.0,2.0,2025-02-08 08:45:55,False,Normal,NORMAL
SYNTHETIC,synth_1468,86,Lihat Perkara,Berhasil,Android,192.168.1.154,4938.0,10.0,2025-02-04 09:19:15,False,Normal,NORMAL
SYNTHETIC,synth_4367,67,Cari Berkas,Berhasil,PC Windows,192.168.1.104,1284.0,1.0,2025-04-15 10:28:16,False,Normal,NORMAL
SYNTHETIC,synth_1247,56,Logout,Berhasil,Laptop Windows,192.168.1.173,712.0,1.0,2025-01-29 13:56:44,False,Normal,NORMAL
SYNTHETIC,synth_13574,62,Cari Berkas,Berhasil,PC Windows,192.168.1.238,1818.0,7.0,2025-11-25 08:00:37,False,Normal,NORMAL
SYNTHETIC,synth_13709,61,Lihat Perkara,Berhasil,Android,192.168.1.99,3621.0,4.0,2025-11-29 07:41:57,False,Normal,NORMAL
SYNTHETIC,synth_10577,53,Logout,Berhasil,PC Windows,192.168.1.118,1148.0,1.0,2025-09-12 08:11:05,False,Normal,NORMAL
SYNTHETIC,synth_3534,48,Login,Berhasil,Laptop Windows,192.168.1.199,717.0,1.0,2025-03-25 14:16:58,False,Normal,NORMAL
SYNTHETIC,synth_9813,22,Cari Berkas,Berhasil,Windows,192.168.1.57,963.0,8.0,2025-08-26 09:50:53,False,Normal,NORMAL
SYNTHETIC,synth_10059,30,Cari Berkas,Berhasil,Laptop Windows,192.168.1.180,5578.0,9.0,2025-08-31 15:10:33,False,Normal,NORMAL
SYNTHETIC,synth_2058,25,Lihat Perkara,Berhasil,iPhone,192.168.1.52,4165.0,3.0,2025-02-17 11:14:01,False,Normal,NORMAL
SYNTHETIC,synth_9835,28,Logout,Berhasil,iPhone,192.168.1.73,803.0,1.0,2025-08-26 13:52:23,False,Normal,NORMAL
SYNTHETIC,synth_14700,38,Lihat Perkara,Berhasil,PC Windows,192.168.1.208,1965.0,8.0,2025-12-23 16:57:33,False,Normal,NORMAL
SYNTHETIC,synth_1531,83,Lihat Perkara,Berhasil,Windows,192.168.1.222,4347.0,5.0,2025-02-06 07:27:57,False,Normal,NORMAL
SYNTHETIC,synth_12899,55,Verifikasi,Berhasil,PC Windows,192.168.1.92,2770.0,5.0,2025-11-07 16:44:11,False,Normal,NORMAL
SYNTHETIC,synth_14917,61,Login,Berhasil,Android,192.168.1.99,720.0,1.0,2025-12-29 13:59:08,False,Normal,NORMAL
SYNTHETIC,synth_7651,55,Verifikasi,Berhasil,PC Windows,192.168.1.92,3794.0,1.0,2025-07-05 08:19:25,False,Normal,NORMAL
SYNTHETIC,synth_5780,46,Lihat Perkara,Berhasil,Laptop Windows,192.168.1.182,2840.0,4.0,2025-05-22 16:31:37,False,Normal,NORMAL
SYNTHETIC,synth_11116,31,Logout,Berhasil,Android,192.168.1.89,987.0,1.0,2025-09-27 17:01:58,False,Normal,NORMAL
SYNTHETIC,synth_13018,84,Kelola Kode Klasifikasi,Berhasil,Windows,192.168.1.41,9380.0,9.0,2025-11-10 15:06:04,False,Normal,NORMAL
SYNTHETIC,synth_4915,67,Lihat Perkara,Berhasil,PC Windows,192.168.1.104,4198.0,1.0,2025-04-30 13:51:37,False,Normal,NORMAL
SYNTHETIC,synth_6924,72,Logout,Berhasil,Android,192.168.1.103,386.0,1.0,2025-06-18 09:50:23,False,Normal,NORMAL
SYNTHETIC,synth_5688,48,Logout,Berhasil,Laptop Windows,192.168.1.199,1121.0,1.0,2025-05-20 13:59:23,False,Normal,NORMAL
SYNTHETIC,synth_6338,68,Lihat Perkara,Berhasil,PC Windows,192.168.1.18,3579.0,7.0,2025-06-04 12:33:39,False,Normal,NORMAL
SYNTHETIC,synth_4575,53,Cari Berkas,Berhasil,PC Windows,192.168.1.118,3957.0,2.0,2025-04-21 09:31:50,False,Normal,NORMAL
SYNTHETIC,synth_2795,55,Verifikasi,Berhasil,PC Windows,192.168.1.92,9908.0,1.0,2025-03-08 16:37:51,False,Normal,NORMAL
SYNTHETIC,synth_11036,77,Login,Berhasil,PC Windows,192.168.1.193,1708.0,1.0,2025-09-25 13:24:36,False,Normal,NORMAL
SYNTHETIC,synth_13380,6,Lihat Berkas,Berhasil,PC Windows,192.168.1.64,6899.0,4.0,2025-11-20 10:27:19,False,Normal,NORMAL
SYNTHETIC,synth_11115,31,Cari Berkas,Berhasil,Android,192.168.1.89,4777.0,1.0,2025-09-27 17:01:34,False,Normal,NORMAL
SYNTHETIC,synth_3048,80,Logout,Berhasil,PC Windows,192.168.1.58,338.0,1.0,2025-03-15 12:23:04,False,Normal,NORMAL
SYNTHETIC,synth_4476,21,Lihat Perkara,Berhasil,Windows,192.168.1.9,2079.0,5.0,2025-04-18 11:16:34,False,Normal,NORMAL
SYNTHETIC,synth_2820,18,Cari Berkas,Berhasil,Windows,192.168.1.175,4434.0,7.0,2025-03-09 12:36:53,False,Normal,NORMAL
SYNTHETIC,synth_8646,1,Kelola User,Berhasil,Windows,192.168.1.8,2234.0,10.0,2025-07-27 12:02:30,False,Normal,NORMAL
SYNTHETIC,synth_12215,43,Logout,Berhasil,iPhone,192.168.1.77,596.0,1.0,2025-10-22 10:18:36,False,Normal,NORMAL
SYNTHETIC,synth_14308,84,Dashboard,Berhasil,Windows,192.168.1.41,1115.0,4.0,2025-12-14 10:17:24,False,Normal,NORMAL
SYNTHETIC,synth_7967,83,Logout,Berhasil,Windows,192.168.1.222,1140.0,1.0,2025-07-13 11:49:11,False,Normal,NORMAL
SYNTHETIC,synth_4132,1,Kelola Kode Klasifikasi,Berhasil,Windows,192.168.1.8,4173.0,2.0,2025-04-09 09:14:07,False,Normal,NORMAL
SYNTHETIC,synth_9497,43,Cari Berkas,Berhasil,iPhone,192.168.1.77,4291.0,4.0,2025-08-17 15:30:28,False,Normal,NORMAL
SYNTHETIC,synth_5021,29,Lihat Perkara,Berhasil,Windows,192.168.1.196,1014.0,2.0,2025-05-02 12:29:37,False,Normal,NORMAL
SYNTHETIC,synth_14988,40,Cari Berkas,Berhasil,Android,192.168.1.139,1348.0,5.0,2025-12-31 14:24:02,False,Normal,NORMAL
SYNTHETIC,synth_2389,67,Cari Berkas,Berhasil,PC Windows,192.168.1.104,5296.0,4.0,2025-02-26 10:07:29,False,Normal,NORMAL
SYNTHETIC,synth_623,67,Logout,Berhasil,PC Windows,192.168.1.104,1160.0,1.0,2025-01-15 12:22:13,False,Normal,NORMAL
SYNTHETIC,synth_1960,78,Cari Berkas,Berhasil,iPhone,192.168.1.111,4331.0,7.0,2025-02-15 08:59:52,False,Normal,NORMAL
SYNTHETIC,synth_13678,31,Lihat Perkara,Berhasil,Android,192.168.1.89,5732.0,8.0,2025-11-28 10:22:26,False,Normal,NORMAL
SYNTHETIC,synth_12955,19,Cari Berkas,Berhasil,iPhone,192.168.1.24,3928.0,7.0,2025-11-09 10:14:47,False,Normal,NORMAL
SYNTHETIC,synth_8896,80,Cari Berkas,Berhasil,PC Windows,192.168.1.58,823.0,5.0,2025-08-03 07:28:45,False,Normal,NORMAL
SYNTHETIC,synth_7319,28,Lihat Perkara,Berhasil,iPhone,192.168.1.73,2586.0,1.0,2025-06-26 12:44:38,False,Normal,NORMAL
SYNTHETIC,synth_6927,85,Lihat Berkas,Berhasil,Laptop Windows,192.168.1.204,1430.0,7.0,2025-06-18 11:04:23,False,Normal,NORMAL
SYNTHETIC,synth_14452,34,Cari Berkas,Berhasil,PC Windows,192.168.1.28,869.0,9.0,2025-12-17 12:31:43,False,Normal,NORMAL
SYNTHETIC,synth_3646,38,Login,Gagal,PC Windows,192.168.1.208,846.0,1.0,2025-03-28 12:13:30,False,Normal,NORMAL
SYNTHETIC,synth_3882,55,Verifikasi,Berhasil,PC Windows,192.168.1.92,3382.0,7.0,2025-04-03 11:18:01,False,Normal,NORMAL
