threshold,test_f1,test_precision,test_recall,test_fpr,localhost_fp,localhost_fpr
0.001,0.446,0.287,1.0,0.6624,329,1.0
0.006013,0.8889,0.8,1.0,0.0667,329,1.0
0.011027,0.9709,0.9434,1.0,0.016,329,1.0
0.01604,0.9862,0.9728,1.0,0.0075,329,1.0
0.021054,0.9881,0.9766,1.0,0.0064,329,1.0
0.026067,0.994,0.9881,1.0,0.0032,329,1.0
0.03108,0.997,0.994,1.0,0.0016,329,1.0
0.036094,0.997,0.994,1.0,0.0016,329,1.0
0.041107,0.998,0.996,1.0,0.0011,329,1.0
0.04612,0.998,0.996,1.0,0.0011,329,1.0
0.051134,0.998,0.996,1.0,0.0011,329,1.0
0.056147,0.999,0.998,1.0,0.0005,329,1.0
0.061161,0.999,0.998,1.0,0.0005,329,1.0
0.066174,0.999,0.998,1.0,0.0005,329,1.0
0.071187,0.999,0.998,1.0,0.0005,329,1.0
0.076201,0.999,0.998,1.0,0.0005,329,1.0
0.081214,0.999,0.998,1.0,0.0005,329,1.0
0.086227,0.999,0.998,1.0,0.0005,329,1.0
0.091241,0.999,0.998,1.0,0.0005,329,1.0
0.096254,0.999,0.998,1.0,0.0005,329,1.0
0.101268,0.999,0.998,1.0,0.0005,329,1.0
0.106281,0.999,0.998,1.0,0.0005,329,1.0
0.111294,0.999,0.998,1.0,0.0005,329,1.0
0.116308,0.9899,0.998,0.982,0.0005,329,1.0
0.121321,0.9776,0.9979,0.958,0.0005,329,1.0
0.126334,0.9723,0.9979,0.948,0.0005,329,1.0
0.131348,0.9712,1.0,0.944,0.0,329,1.0
0.136361,0.968,1.0,0.938,0.0,329,1.0
0.141375,0.9659,1.0,0.934,0.0,329,1.0
0.146388,0.9659,1.0,0.934,0.0,329,1.0
0.151401,0.9648,1.0,0.932,0.0,329,1.0
0.156415,0.9648,1.0,0.932,0.0,329,1.0
0.161428,0.9648,1.0,0.932,0.0,329,1.0
0.166441,0.9648,1.0,0.932,0.0,329,1.0
0.171455,0.9648,1.0,0.932,0.0,329,1.0
0.176468,0.9648,1.0,0.932,0.0,329,1.0
0.181482,0.9648,1.0,0.932,0.0,329,1.0
0.186495,0.9648,1.0,0.932,0.0,329,1.0
0.191508,0.9648,1.0,0.932,0.0,329,1.0
0.196522,0.9648,1.0,0.932,0.0,329,1.0
0.201535,0.9648,1.0,0.932,0.0,329,1.0
0.206548,0.9648,1.0,0.932,0.0,329,1.0
0.211562,0.9648,1.0,0.932,0.0,329,1.0
0.216575,0.9637,1.0,0.93,0.0,329,1.0
0.221589,0.9637,1.0,0.93,0.0,329,1.0
0.226602,0.9637,1.0,0.93,0.0,329,1.0
0.231615,0.9637,1.0,0.93,0.0,329,1.0
0.236629,0.9637,1.0,0.93,0.0,329,1.0
0.241642,0.9637,1.0,0.93,0.0,329,1.0
0.246656,0.9637,1.0,0.93,0.0,329,1.0
0.251669,0.9637,1.0,0.93,0.0,329,1.0
0.256682,0.9637,1.0,0.93,0.0,329,1.0
0.261696,0.9637,1.0,0.93,0.0,329,1.0
0.266709,0.9637,1.0,0.93,0.0,329,1.0
0.271722,0.9637,1.0,0.93,0.0,329,1.0
0.276736,0.9637,1.0,0.93,0.0,329,1.0
0.281749,0.9637,1.0,0.93,0.0,329,1.0
0.286763,0.9637,1.0,0.93,0.0,329,1.0
0.291776,0.9637,1.0,0.93,0.0,329,1.0
0.296789,0.9637,1.0,0.93,0.0,329,1.0
0.301803,0.9637,1.0,0.93,0.0,329,1.0
0.306816,0.9637,1.0,0.93,0.0,329,1.0
0.311829,0.9637,1.0,0.93,0.0,329,1.0
0.316843,0.9637,1.0,0.93,0.0,329,1.0
0.321856,0.9637,1.0,0.93,0.0,329,1.0
0.32687,0.9637,1.0,0.93,0.0,329,1.0
0.331883,0.9637,1.0,0.93,0.0,329,1.0
0.336896,0.9637,1.0,0.93,0.0,329,1.0
0.34191,0.9637,1.0,0.93,0.0,329,1.0
0.346923,0.9637,1.0,0.93,0.0,329,1.0
0.351936,0.9637,1.0,0.93,0.0,329,1.0
0.35695,0.9637,1.0,0.93,0.0,329,1.0
0.361963,0.9637,1.0,0.93,0.0,329,1.0
0.366977,0.9637,1.0,0.93,0.0,329,1.0
0.37199,0.9637,1.0,0.93,0.0,329,1.0
0.377003,0.9637,1.0,0.93,0.0,329,1.0
0.382017,0.9637,1.0,0.93,0.0,329,1.0
0.38703,0.9637,1.0,0.93,0.0,329,1.0
0.392043,0.9637,1.0,0.93,0.0,329,1.0
0.397057,0.9637,1.0,0.93,0.0,329,1.0
0.40207,0.9637,1.0,0.93,0.0,329,1.0
0.407084,0.9637,1.0,0.93,0.0,329,1.0
0.412097,0.9637,1.0,0.93,0.0,329,1.0
0.41711,0.9637,1.0,0.93,0.0,329,1.0
0.422124,0.9637,1.0,0.93,0.0,329,1.0
0.427137,0.9637,1.0,0.93,0.0,329,1.0
0.432151,0.9637,1.0,0.93,0.0,329,1.0
0.437164,0.9637,1.0,0.93,0.0,329,1.0
0.442177,0.9637,1.0,0.93,0.0,329,1.0
0.447191,0.9637,1.0,0.93,0.0,329,1.0
0.452204,0.9637,1.0,0.93,0.0,329,1.0
0.457217,0.9637,1.0,0.93,0.0,329,1.0
0.462231,0.9637,1.0,0.93,0.0,329,1.0
0.467244,0.9637,1.0,0.93,0.0,329,1.0
0.472258,0.9637,1.0,0.93,0.0,329,1.0
0.477271,0.9637,1.0,0.93,0.0,329,1.0
0.482284,0.9637,1.0,0.93,0.0,329,1.0
0.487298,0.9637,1.0,0.93,0.0,329,1.0
0.492311,0.9637,1.0,0.93,0.0,329,1.0
0.497324,0.9637,1.0,0.93,0.0,329,1.0
0.502338,0.9637,1.0,0.93,0.0,329,1.0
0.507351,0.9637,1.0,0.93,0.0,329,1.0
0.512365,0.9637,1.0,0.93,0.0,329,1.0
0.517378,0.9637,1.0,0.93,0.0,329,1.0
0.522391,0.9616,1.0,0.926,0.0,329,1.0
0.527405,0.9616,1.0,0.926,0.0,329,1.0
0.532418,0.9605,1.0,0.924,0.0,329,1.0
0.537431,0.9594,1.0,0.922,0.0,329,1.0
0.542445,0.9594,1.0,0.922,0.0,329,1.0
0.547458,0.9572,1.0,0.918,0.0,329,1.0
0.552472,0.9529,1.0,0.91,0.0,329,1.0
0.557485,0.9496,1.0,0.904,0.0,329,1.0
0.562498,0.9474,1.0,0.9,0.0,329,1.0
0.567512,0.9407,1.0,0.888,0.0,329,1.0
0.572525,0.9316,1.0,0.872,0.0,329,1.0
0.577538,0.9071,1.0,0.83,0.0,329,1.0
0.582552,0.8864,1.0,0.796,0.0,329,1.0
0.587565,0.861,1.0,0.756,0.0,329,1.0
0.592579,0.8386,1.0,0.722,0.0,329,1.0
0.597592,0.829,1.0,0.708,0.0,329,1.0
0.602605,0.8194,1.0,0.694,0.0,329,1.0
0.607619,0.8038,1.0,0.672,0.0,329,1.0
0.612632,0.7966,1.0,0.662,0.0,329,1.0
0.617645,0.7893,1.0,0.652,0.0,329,1.0
0.622659,0.7849,1.0,0.646,0.0,329,1.0
0.627672,0.7805,1.0,0.64,0.0,329,1.0
0.632686,0.7805,1.0,0.64,0.0,329,1.0
0.637699,0.779,1.0,0.638,0.0,329,1.0
0.642712,0.773,1.0,0.63,0.0,329,1.0
0.647726,0.7685,1.0,0.624,0.0,329,1.0
0.652739,0.7654,1.0,0.62,0.0,329,1.0
0.657753,0.7639,1.0,0.618,0.0,329,1.0
0.662766,0.7639,1.0,0.618,0.0,329,1.0
0.667779,0.7624,1.0,0.616,0.0,329,1.0
0.672793,0.7608,1.0,0.614,0.0,329,1.0
0.677806,0.7578,1.0,0.61,0.0,329,1.0
0.682819,0.7531,1.0,0.604,0.0,329,1.0
0.687833,0.7437,1.0,0.592,0.0,329,1.0
0.692846,0.7406,1.0,0.588,0.0,329,1.0
0.69786,0.7406,1.0,0.588,0.0,329,1.0
0.702873,0.7358,1.0,0.582,0.0,329,1.0
0.707886,0.7277,1.0,0.572,0.0,329,1.0
0.7129,0.7063,1.0,0.546,0.0,329,1.0
0.717913,0.6842,1.0,0.52,0.0,329,1.0
0.722926,0.6613,1.0,0.494,0.0,329,1.0
0.72794,0.613,1.0,0.442,0.0,329,1.0
0.732953,0.5975,1.0,0.426,0.0,329,1.0
0.737967,0.5856,1.0,0.414,0.0,329,1.0
0.74298,0.5795,1.0,0.408,0.0,329,1.0
0.747993,0.5735,1.0,0.402,0.0,329,1.0
0.753007,0.5653,1.0,0.394,0.0,329,1.0
0.75802,0.5591,1.0,0.388,0.0,329,1.0
0.763033,0.5507,1.0,0.38,0.0,329,1.0
0.768047,0.5294,1.0,0.36,0.0,329,1.0
0.77306,0.5229,1.0,0.354,0.0,329,1.0
0.778074,0.5075,1.0,0.34,0.0,329,1.0
0.783087,0.4917,1.0,0.326,0.0,329,1.0
0.7881,0.4894,1.0,0.324,0.0,329,1.0
0.793114,0.4871,1.0,0.322,0.0,329,1.0
0.798127,0.4848,1.0,0.32,0.0,329,1.0
0.80314,0.4779,1.0,0.314,0.0,329,1.0
0.808154,0.4756,1.0,0.312,0.0,329,1.0
0.813167,0.4663,1.0,0.304,0.0,329,1.0
0.818181,0.4663,1.0,0.304,0.0,329,1.0
0.823194,0.4639,1.0,0.302,0.0,329,1.0
0.828207,0.4639,1.0,0.302,0.0,329,1.0
0.833221,0.4615,1.0,0.3,0.0,329,1.0
0.838234,0.4615,1.0,0.3,0.0,329,1.0
0.843247,0.4615,1.0,0.3,0.0,329,1.0
0.848261,0.4592,1.0,0.298,0.0,329,1.0
0.853274,0.4592,1.0,0.298,0.0,329,1.0
0.858288,0.4568,1.0,0.296,0.0,329,1.0
0.863301,0.4544,1.0,0.294,0.0,329,1.0
0.868314,0.4544,1.0,0.294,0.0,329,1.0
0.873328,0.4544,1.0,0.294,0.0,329,1.0
0.878341,0.4544,1.0,0.294,0.0,329,1.0
0.883355,0.452,1.0,0.292,0.0,329,1.0
0.888368,0.4472,1.0,0.288,0.0,329,1.0
0.893381,0.4472,1.0,0.288,0.0,329,1.0
0.898395,0.4472,1.0,0.288,0.0,329,1.0
0.903408,0.4472,1.0,0.288,0.0,329,1.0
0.908421,0.4472,1.0,0.288,0.0,329,1.0
0.913435,0.4472,1.0,0.288,0.0,329,1.0
0.918448,0.4472,1.0,0.288,0.0,329,1.0
0.923462,0.4472,1.0,0.288,0.0,329,1.0
0.928475,0.4448,1.0,0.286,0.0,329,1.0
0.933488,0.4448,1.0,0.286,0.0,329,1.0
0.938502,0.4448,1.0,0.286,0.0,329,1.0
0.943515,0.4448,1.0,0.286,0.0,329,1.0
0.948528,0.4424,1.0,0.284,0.0,329,1.0
0.953542,0.4375,1.0,0.28,0.0,329,1.0
0.958555,0.4351,1.0,0.278,0.0,329,1.0
0.963569,0.4351,1.0,0.278,0.0,329,1.0
0.968582,0.4351,1.0,0.278,0.0,329,1.0
0.973595,0.4351,1.0,0.278,0.0,329,1.0
0.978609,0.4351,1.0,0.278,0.0,329,1.0
0.983622,0.4351,1.0,0.278,0.0,329,1.0
0.988635,0.4351,1.0,0.278,0.0,329,1.0
0.993649,0.4351,1.0,0.278,0.0,329,1.0
0.998662,0.4351,1.0,0.278,0.0,329,1.0
1.003676,0.4351,1.0,0.278,0.0,329,1.0
1.008689,0.4351,1.0,0.278,0.0,329,1.0
1.013702,0.4351,1.0,0.278,0.0,329,1.0
1.018716,0.4351,1.0,0.278,0.0,329,1.0
1.023729,0.4351,1.0,0.278,0.0,329,1.0
1.028742,0.4351,1.0,0.278,0.0,329,1.0
1.033756,0.4351,1.0,0.278,0.0,329,1.0
1.038769,0.4351,1.0,0.278,0.0,329,1.0
1.043783,0.4351,1.0,0.278,0.0,329,1.0
1.048796,0.4351,1.0,0.278,0.0,329,1.0
1.053809,0.4351,1.0,0.278,0.0,329,1.0
1.058823,0.4351,1.0,0.278,0.0,329,1.0
1.063836,0.4351,1.0,0.278,0.0,329,1.0
1.068849,0.4351,1.0,0.278,0.0,329,1.0
1.073863,0.4351,1.0,0.278,0.0,329,1.0
1.078876,0.4351,1.0,0.278,0.0,329,1.0
1.08389,0.4326,1.0,0.276,0.0,329,1.0
1.088903,0.4252,1.0,0.27,0.0,329,1.0
1.093916,0.4152,1.0,0.262,0.0,329,1.0
1.09893,0.4127,1.0,0.26,0.0,329,1.0
1.103943,0.4,1.0,0.25,0.0,329,1.0
1.108957,0.3845,1.0,0.238,0.0,329,1.0
1.11397,0.3793,1.0,0.234,0.0,329,1.0
