threshold,test_f1,test_precision,test_recall,test_fpr,localhost_eval_fp,localhost_eval_fpr
0.001,0.1535,0.0831,1.0,0.9195,97,0.9798
0.006007,0.3911,0.2431,1.0,0.2596,91,0.9192
0.011013,0.5247,0.3556,1.0,0.1511,91,0.9192
0.01602,0.6028,0.4314,1.0,0.1099,91,0.9192
0.021027,0.651,0.4835,0.996,0.0887,91,0.9192
0.026033,0.6845,0.5215,0.996,0.0762,91,0.9192
0.03104,0.7167,0.5603,0.994,0.065,91,0.9192
0.036047,0.7423,0.5924,0.994,0.057,91,0.9192
0.041053,0.7634,0.6197,0.994,0.0509,88,0.8889
0.04606,0.7729,0.6323,0.994,0.0482,76,0.7677
0.051067,0.7892,0.6552,0.992,0.0435,75,0.7576
0.056073,0.8078,0.6813,0.992,0.0387,75,0.7576
0.06108,0.8131,0.6889,0.992,0.0374,75,0.7576
0.066087,0.8253,0.7066,0.992,0.0344,75,0.7576
0.071093,0.8315,0.7157,0.992,0.0328,75,0.7576
0.0761,0.8393,0.7273,0.992,0.031,75,0.7576
0.081107,0.8486,0.7414,0.992,0.0288,75,0.7576
0.086114,0.8544,0.7504,0.992,0.0275,75,0.7576
0.09112,0.8574,0.7549,0.992,0.0268,75,0.7576
0.096127,0.8626,0.7631,0.992,0.0257,75,0.7576
0.101134,0.8679,0.7714,0.992,0.0245,75,0.7576
0.10614,0.8717,0.7774,0.992,0.0237,75,0.7576
0.111147,0.8733,0.7838,0.986,0.0227,75,0.7576
0.116154,0.8679,0.7879,0.966,0.0217,75,0.7576
0.12116,0.8704,0.796,0.96,0.0205,75,0.7576
0.126167,0.8686,0.7987,0.952,0.02,75,0.7576
0.131174,0.8697,0.8034,0.948,0.0193,74,0.7475
0.13618,0.8684,0.8041,0.944,0.0192,74,0.7475
0.141187,0.8714,0.8107,0.942,0.0183,74,0.7475
0.146194,0.8728,0.8146,0.94,0.0178,74,0.7475
0.1512,0.8766,0.8228,0.938,0.0168,74,0.7475
0.156207,0.8768,0.8277,0.932,0.0162,74,0.7475
0.161214,0.8798,0.8348,0.93,0.0153,74,0.7475
0.16622,0.8817,0.8431,0.924,0.0143,74,0.7475
0.171227,0.8804,0.844,0.92,0.0142,72,0.7273
0.176234,0.878,0.8447,0.914,0.014,70,0.7071
0.18124,0.8784,0.8489,0.91,0.0135,60,0.6061
0.186247,0.88,0.859,0.902,0.0123,60,0.6061
0.191254,0.8798,0.8604,0.9,0.0122,60,0.6061
0.19626,0.8851,0.8765,0.894,0.0105,60,0.6061
0.201267,0.8867,0.8814,0.892,0.01,60,0.6061
0.206274,0.8882,0.8865,0.89,0.0095,58,0.5859
0.21128,0.8918,0.8936,0.89,0.0088,58,0.5859
0.216287,0.8922,0.8986,0.886,0.0083,57,0.5758
0.221294,0.8918,0.9018,0.882,0.008,57,0.5758
0.226301,0.8923,0.907,0.878,0.0075,57,0.5758
0.231307,0.89,0.9066,0.874,0.0075,57,0.5758
0.236314,0.8875,0.9079,0.868,0.0073,39,0.3939
0.241321,0.888,0.9133,0.864,0.0068,39,0.3939
0.246327,0.8857,0.913,0.86,0.0068,39,0.3939
0.251334,0.8834,0.9126,0.856,0.0068,20,0.202
0.256341,0.8838,0.9181,0.852,0.0063,19,0.1919
0.261347,0.8801,0.9194,0.844,0.0062,19,0.1919
0.266354,0.8808,0.9232,0.842,0.0058,19,0.1919
0.271361,0.8796,0.9231,0.84,0.0058,19,0.1919
0.276367,0.877,0.9246,0.834,0.0057,13,0.1313
0.281374,0.8732,0.926,0.826,0.0055,11,0.1111
0.286381,0.8684,0.9253,0.818,0.0055,4,0.0404
0.291387,0.8681,0.9273,0.816,0.0053,2,0.0202
0.296394,0.8687,0.9314,0.814,0.005,0,0.0
0.301401,0.8672,0.9332,0.81,0.0048,0,0.0
0.306407,0.867,0.9352,0.808,0.0047,0,0.0
0.311414,0.8642,0.9369,0.802,0.0045,0,0.0
0.316421,0.8618,0.9366,0.798,0.0045,0,0.0
0.321427,0.8602,0.9385,0.794,0.0043,0,0.0
0.326434,0.8562,0.9402,0.786,0.0042,0,0.0
0.331441,0.8531,0.9442,0.778,0.0038,0,0.0
0.336447,0.8518,0.944,0.776,0.0038,0,0.0
0.341454,0.8515,0.9462,0.774,0.0037,0,0.0
0.346461,0.8477,0.9458,0.768,0.0037,0,0.0
0.351467,0.8451,0.9455,0.764,0.0037,0,0.0
0.356474,0.84,0.945,0.756,0.0037,0,0.0
0.361481,0.8387,0.9449,0.754,0.0037,0,0.0
0.366487,0.8322,0.9442,0.744,0.0037,0,0.0
0.371494,0.827,0.9436,0.736,0.0037,0,0.0
0.376501,0.8243,0.9433,0.732,0.0037,0,0.0
0.381508,0.823,0.9432,0.73,0.0037,0,0.0
0.386514,0.8203,0.9429,0.726,0.0037,0,0.0
0.391521,0.8163,0.9424,0.72,0.0037,0,0.0
0.396528,0.8146,0.9446,0.716,0.0035,0,0.0
0.401534,0.811,0.9491,0.708,0.0032,0,0.0
0.406541,0.8101,0.9539,0.704,0.0028,0,0.0
0.411548,0.806,0.9536,0.698,0.0028,0,0.0
0.416554,0.8056,0.956,0.696,0.0027,0,0.0
0.421561,0.8042,0.9559,0.694,0.0027,0,0.0
0.426568,0.8037,0.9584,0.692,0.0025,0,0.0
0.431574,0.7995,0.9581,0.686,0.0025,0,0.0
0.436581,0.7953,0.9577,0.68,0.0025,0,0.0
0.441588,0.7925,0.9575,0.676,0.0025,0,0.0
0.446594,0.7911,0.9574,0.674,0.0025,0,0.0
0.451601,0.7882,0.9571,0.67,0.0025,0,0.0
0.456608,0.7892,0.9599,0.67,0.0023,0,0.0
0.461614,0.7834,0.9594,0.662,0.0023,0,0.0
0.466621,0.7838,0.9649,0.66,0.002,0,0.0
0.471628,0.7833,0.9676,0.658,0.0018,0,0.0
0.476634,0.7775,0.9673,0.65,0.0018,0,0.0
0.481641,0.776,0.9672,0.648,0.0018,0,0.0
0.486648,0.7716,0.9669,0.642,0.0018,0,0.0
0.491654,0.7687,0.9667,0.638,0.0018,0,0.0
0.496661,0.7676,0.9724,0.634,0.0015,0,0.0
0.501668,0.7631,0.9721,0.628,0.0015,0,0.0
0.506674,0.7585,0.9719,0.622,0.0015,0,0.0
0.511681,0.7509,0.9714,0.612,0.0015,0,0.0
0.516688,0.7448,0.9711,0.604,0.0015,0,0.0
0.521694,0.7417,0.9709,0.6,0.0015,0,0.0
0.526701,0.737,0.9706,0.594,0.0015,0,0.0
0.531708,0.737,0.9706,0.594,0.0015,0,0.0
0.536715,0.737,0.9706,0.594,0.0015,0,0.0
0.541721,0.7354,0.9705,0.592,0.0015,0,0.0
0.546728,0.7307,0.9702,0.586,0.0015,0,0.0
0.551735,0.7243,0.9698,0.578,0.0015,0,0.0
0.556741,0.7195,0.9695,0.572,0.0015,0,0.0
0.561748,0.7146,0.9692,0.566,0.0015,0,0.0
0.566755,0.7081,0.9688,0.558,0.0015,0,0.0
0.571761,0.7048,0.9685,0.554,0.0015,0,0.0
0.576768,0.6983,0.9749,0.544,0.0012,0,0.0
0.581775,0.695,0.9747,0.54,0.0012,0,0.0
0.586781,0.6933,0.9746,0.538,0.0012,0,0.0
0.591788,0.6848,0.9742,0.528,0.0012,0,0.0
0.596795,0.678,0.9738,0.52,0.0012,0,0.0
0.601801,0.6745,0.9736,0.516,0.0012,0,0.0
0.606808,0.6719,0.9771,0.512,0.001,0,0.0
0.611815,0.6719,0.9771,0.512,0.001,0,0.0
0.616821,0.6719,0.9771,0.512,0.001,0,0.0
0.621828,0.6684,0.9769,0.508,0.001,0,0.0
0.626835,0.6614,0.9766,0.5,0.001,0,0.0
0.631841,0.6614,0.9766,0.5,0.001,0,0.0
0.636848,0.6578,0.9764,0.496,0.001,0,0.0
0.641855,0.6587,0.9802,0.496,0.0008,0,0.0
0.646861,0.6497,0.9798,0.486,0.0008,0,0.0
0.651868,0.6461,0.9797,0.482,0.0008,0,0.0
0.656875,0.6388,0.9793,0.474,0.0008,0,0.0
0.661881,0.6277,0.9788,0.462,0.0008,0,0.0
0.666888,0.6277,0.9788,0.462,0.0008,0,0.0
0.671895,0.624,0.9786,0.458,0.0008,0,0.0
0.676902,0.6221,0.9785,0.456,0.0008,0,0.0
0.681908,0.6202,0.9784,0.454,0.0008,0,0.0
0.686915,0.6107,0.978,0.444,0.0008,0,0.0
0.691922,0.605,0.9777,0.438,0.0008,0,0.0
0.696928,0.5953,0.9772,0.428,0.0008,0,0.0
0.701935,0.5922,0.9815,0.424,0.0007,0,0.0
0.706942,0.5843,0.9811,0.416,0.0007,0,0.0
0.711948,0.5803,0.981,0.412,0.0007,0,0.0
0.716955,0.5763,0.9808,0.408,0.0007,0,0.0
0.721962,0.5722,0.9806,0.404,0.0007,0,0.0
0.726968,0.5621,0.9801,0.394,0.0007,0,0.0
0.731975,0.5559,0.9798,0.388,0.0007,0,0.0
0.736982,0.5496,0.9795,0.382,0.0007,0,0.0
0.741988,0.5476,0.9794,0.38,0.0007,0,0.0
0.746995,0.537,0.9788,0.37,0.0007,0,0.0
0.752002,0.5306,0.9785,0.364,0.0007,0,0.0
0.757008,0.5263,0.9783,0.36,0.0007,0,0.0
