source_type,source_id,user_id,aksi,status,device,ip_address,durasi_ms,jumlah_objek,waktu,is_anomali,risk_level_source,candidate_type
SYNTHETIC,synth_350,77,Lihat Perkara,Berhasil,PC Windows,192.168.1.193,5707.0,5.0,2025-01-09 08:44:37,False,Normal,NORMAL
REAL_DB,real_db_140,1,DELETE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 23:04:55.455000,False,LOW,NORMAL
SYNTHETIC,synth_3883,55,Logout,Berhasil,PC Windows,192.168.1.92,871.0,1.0,2025-04-03 11:18:41,False,Normal,NORMAL
REAL_DB,real_db_402,1,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-09 11:40:50.906000,False,LOW,NORMAL
SYNTHETIC,synth_8995,60,Cari Berkas,Berhasil,Laptop Windows,192.168.1.43,1403.0,9.0,2025-08-06 10:57:31,False,Normal,NORMAL
REAL_DB,real_db_285,84,UPDATE_BERKAS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:13:58.928000,False,LOW,NORMAL
SYNTHETIC,synth_12693,74,Logout,Berhasil,PC Windows,192.168.1.37,1256.0,1.0,2025-11-03 07:57:46,False,Normal,NORMAL
REAL_DB,real_db_322,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 13:11:12.198000,False,LOW,NORMAL
SYNTHETIC,synth_6270,73,Cari Berkas,Berhasil,Android,192.168.1.38,4032.0,1.0,2025-06-02 10:23:42,False,Normal,NORMAL
SYNTHETIC,synth_7052,54,Lihat Perkara,Berhasil,PC Windows,192.168.1.43,860.0,3.0,2025-06-21 11:43:24,False,Normal,NORMAL
SYNTHETIC,synth_10797,61,Login,Berhasil,Android,192.168.1.99,782.0,1.0,2025-09-19 08:46:15,False,Normal,NORMAL
SYNTHETIC,synth_9255,37,Lihat Perkara,Berhasil,PC Windows,192.168.1.156,3709.0,5.0,2025-08-12 07:51:16,False,Normal,NORMAL
REAL_DB,real_db_358,6,UPDATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-08-01 23:41:28.807000,False,LOW,NORMAL
SYNTHETIC,synth_8055,70,Logout,Berhasil,iPhone,192.168.1.226,435.0,1.0,2025-07-15 08:14:40,False,Normal,NORMAL
SYNTHETIC,synth_3668,51,Logout,Berhasil,Laptop Windows,192.168.1.223,357.0,1.0,2025-03-28 16:22:32,False,Normal,NORMAL
SYNTHETIC,synth_2364,58,Logout,Berhasil,Windows,192.168.1.157,354.0,1.0,2025-02-25 11:35:59,False,Normal,NORMAL
REAL_DB,real_db_391,6,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:21:49.260000,False,LOW,NORMAL
REAL_DB,real_db_145,6,CREATE_LEMARI,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:26:19.943000,False,LOW,NORMAL
SYNTHETIC,synth_9063,23,Cari Berkas,Berhasil,Laptop Windows,192.168.1.131,873.0,10.0,2025-08-07 13:11:53,False,Normal,NORMAL
SYNTHETIC,synth_8421,36,Logout,Berhasil,Windows,192.168.1.93,441.0,1.0,2025-07-23 07:40:36,False,Normal,NORMAL
SYNTHETIC,synth_13588,76,Login,Berhasil,iPhone,192.168.1.139,1624.0,1.0,2025-11-25 14:22:28,False,Normal,NORMAL
REAL_DB,real_db_314,84,DELETE_BERKAS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:17:18.258000,False,LOW,NORMAL
SYNTHETIC,synth_6143,33,Logout,Berhasil,Laptop Windows,192.168.1.247,438.0,1.0,2025-05-30 16:03:46,False,Normal,NORMAL
SYNTHETIC,synth_12021,69,Login,Berhasil,Laptop Windows,192.168.1.235,490.0,1.0,2025-10-18 10:20:56,False,Normal,NORMAL
SYNTHETIC,synth_1950,85,Lihat Berkas,Berhasil,Laptop Windows,192.168.1.204,3394.0,2.0,2025-02-14 16:07:36,False,Normal,NORMAL
REAL_DB,real_db_181,1,DELETE_BERKAS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:46:07.246000,False,LOW,NORMAL
REAL_DB,real_db_240,6,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-15 01:53:09.721000,False,LOW,NORMAL
REAL_DB,real_db_158,6,CREATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:38:37.633000,False,LOW,NORMAL
REAL_DB,real_db_275,84,DELETE_USER,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:13:55.315000,False,LOW,NORMAL
SYNTHETIC,synth_5221,44,Login,Berhasil,iPhone,192.168.1.228,1684.0,1.0,2025-05-08 13:28:52,False,Normal,NORMAL
REAL_DB,real_db_317,84,DELETE_RAK,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:17:18.545000,False,LOW,NORMAL
SYNTHETIC,synth_11222,54,Logout,Berhasil,PC Windows,192.168.1.43,737.0,1.0,2025-09-30 07:57:55,False,Normal,NORMAL
SYNTHETIC,synth_13043,78,Login,Berhasil,iPhone,192.168.1.111,1282.0,1.0,2025-11-11 11:07:37,False,Normal,NORMAL
REAL_DB,real_db_376,1,VERIFIKASI_INTEGRITAS_BERKAS,VALID,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.265 Electron/42.4.1 Safari/537.36",::1,0.0,1.0,2026-08-02 13:18:02.272000,False,LOW,NORMAL
SYNTHETIC,synth_12784,25,Cari Berkas,Berhasil,iPhone,192.168.1.52,3373.0,2.0,2025-11-05 12:30:35,False,Normal,NORMAL
SYNTHETIC,synth_174,6,Logout,Berhasil,PC Windows,192.168.1.64,1324.0,1.0,2025-01-04 14:23:02,False,Normal,NORMAL
REAL_DB,real_db_286,86,AJUKAN_PEMINJAMAN,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:13:59.166000,False,LOW,NORMAL
SYNTHETIC,synth_9931,54,Login,Gagal,PC Windows,192.168.1.43,1329.0,1.0,2025-08-29 10:31:55,False,Normal,NORMAL
