threshold,test_f1,test_precision,test_recall,test_fpr,localhost_eval_fp,localhost_eval_fpr
0.001,0.1462,0.0789,1.0,0.9764,99,1.0
0.006007,0.3285,0.1965,1.0,0.3417,91,0.9192
0.011013,0.4724,0.3092,1.0,0.1867,91,0.9192
0.01602,0.5394,0.3693,1.0,0.1428,91,0.9192
0.021027,0.5824,0.4108,1.0,0.1199,91,0.9192
0.026033,0.6075,0.4363,1.0,0.108,91,0.9192
0.03104,0.6274,0.457,1.0,0.0993,91,0.9192
0.036047,0.646,0.4771,1.0,0.0916,91,0.9192
0.041053,0.6618,0.4946,1.0,0.0854,91,0.9192
0.04606,0.6812,0.5165,1.0,0.0782,91,0.9192
0.051067,0.693,0.5302,1.0,0.0741,91,0.9192
0.056073,0.7052,0.5447,1.0,0.0699,91,0.9192
0.06108,0.7231,0.5663,1.0,0.064,91,0.9192
0.066087,0.7348,0.5807,1.0,0.0603,91,0.9192
0.071093,0.744,0.5924,1.0,0.0575,91,0.9192
0.0761,0.7524,0.6031,1.0,0.055,91,0.9192
0.081107,0.7651,0.6196,1.0,0.0513,88,0.8889
0.086114,0.7722,0.6289,1.0,0.0493,88,0.8889
0.09112,0.78,0.6394,1.0,0.0471,88,0.8889
0.096127,0.7899,0.6527,1.0,0.0445,75,0.7576
0.101134,0.7968,0.6623,1.0,0.0426,75,0.7576
0.10614,0.8104,0.6812,1.0,0.0391,75,0.7576
0.111147,0.8148,0.6923,0.99,0.0368,75,0.7576
0.116154,0.8131,0.6999,0.97,0.0348,74,0.7475
0.12116,0.8119,0.7067,0.954,0.0331,74,0.7475
0.126167,0.8151,0.7149,0.948,0.0316,74,0.7475
0.131174,0.8142,0.7169,0.942,0.0311,74,0.7475
0.13618,0.8202,0.7276,0.94,0.0294,74,0.7475
0.141187,0.8228,0.7328,0.938,0.0286,74,0.7475
0.146194,0.8294,0.7433,0.938,0.0271,74,0.7475
0.1512,0.8345,0.7516,0.938,0.0259,74,0.7475
0.156207,0.8353,0.7528,0.938,0.0257,74,0.7475
0.161214,0.8365,0.7561,0.936,0.0252,74,0.7475
0.16622,0.8372,0.7573,0.936,0.0251,74,0.7475
0.171227,0.8402,0.7622,0.936,0.0244,74,0.7475
0.176234,0.841,0.7635,0.936,0.0242,74,0.7475
0.18124,0.8419,0.7677,0.932,0.0236,74,0.7475
0.186247,0.8488,0.7793,0.932,0.0221,74,0.7475
0.191254,0.8558,0.7912,0.932,0.0206,70,0.7071
0.19626,0.859,0.7966,0.932,0.0199,70,0.7071
0.201267,0.8646,0.8062,0.932,0.0187,70,0.7071
0.206274,0.8678,0.8118,0.932,0.0181,70,0.7071
0.21128,0.8644,0.8167,0.918,0.0172,70,0.7071
0.216287,0.8645,0.8216,0.912,0.0165,70,0.7071
0.221294,0.8591,0.825,0.896,0.0159,70,0.7071
0.226301,0.8538,0.8274,0.882,0.0154,70,0.7071
0.231307,0.8437,0.8298,0.858,0.0147,69,0.697
0.236314,0.8246,0.8313,0.818,0.0139,69,0.697
0.241321,0.8136,0.8386,0.79,0.0127,50,0.5051
0.246327,0.8013,0.8399,0.766,0.0122,37,0.3737
0.251334,0.7962,0.8484,0.75,0.0112,37,0.3737
0.256341,0.7749,0.8443,0.716,0.011,37,0.3737
0.261347,0.7662,0.8491,0.698,0.0104,37,0.3737
0.266354,0.7641,0.8561,0.69,0.0097,30,0.303
0.271361,0.7614,0.8554,0.686,0.0097,23,0.2323
0.276367,0.7617,0.8593,0.684,0.0094,23,0.2323
0.281374,0.7556,0.8597,0.674,0.0092,22,0.2222
0.286381,0.7573,0.8641,0.674,0.0089,22,0.2222
0.291387,0.7568,0.866,0.672,0.0087,4,0.0404
0.296394,0.7525,0.8649,0.666,0.0087,4,0.0404
0.301401,0.7537,0.8714,0.664,0.0082,4,0.0404
0.306407,0.7545,0.8737,0.664,0.008,4,0.0404
0.311414,0.7548,0.878,0.662,0.0077,4,0.0404
0.316421,0.7557,0.8803,0.662,0.0075,4,0.0404
0.321427,0.7566,0.8827,0.662,0.0074,4,0.0404
0.326434,0.7566,0.8827,0.662,0.0074,4,0.0404
0.331441,0.7566,0.8827,0.662,0.0074,4,0.0404
0.336447,0.7583,0.8874,0.662,0.007,2,0.0202
0.341454,0.7583,0.8874,0.662,0.007,2,0.0202
0.346461,0.7569,0.8871,0.66,0.007,0,0.0
0.351467,0.7569,0.8871,0.66,0.007,0,0.0
0.356474,0.7569,0.8871,0.66,0.007,0,0.0
0.361481,0.7586,0.8919,0.66,0.0067,0,0.0
0.366487,0.7595,0.8943,0.66,0.0065,0,0.0
0.371494,0.7604,0.8967,0.66,0.0064,0,0.0
0.376501,0.7598,0.8989,0.658,0.0062,0,0.0
0.381508,0.7584,0.8986,0.656,0.0062,0,0.0
0.386514,0.7601,0.9036,0.656,0.0059,0,0.0
0.391521,0.7601,0.9036,0.656,0.0059,0,0.0
0.396528,0.7601,0.9036,0.656,0.0059,0,0.0
0.401534,0.7596,0.9058,0.654,0.0057,0,0.0
0.406541,0.7622,0.9134,0.654,0.0052,0,0.0
0.411548,0.7622,0.9134,0.654,0.0052,0,0.0
0.416554,0.7631,0.916,0.654,0.005,0,0.0
0.421561,0.7649,0.9211,0.654,0.0047,0,0.0
0.426568,0.7658,0.9237,0.654,0.0045,0,0.0
0.431574,0.7658,0.9237,0.654,0.0045,0,0.0
0.436581,0.7658,0.9237,0.654,0.0045,0,0.0
0.441588,0.7658,0.9237,0.654,0.0045,0,0.0
0.446594,0.7658,0.9237,0.654,0.0045,0,0.0
0.451601,0.7667,0.9263,0.654,0.0043,0,0.0
0.456608,0.7667,0.9263,0.654,0.0043,0,0.0
0.461614,0.7667,0.9263,0.654,0.0043,0,0.0
0.466621,0.7667,0.9263,0.654,0.0043,0,0.0
0.471628,0.7667,0.9263,0.654,0.0043,0,0.0
0.476634,0.7667,0.9263,0.654,0.0043,0,0.0
0.481641,0.7667,0.9263,0.654,0.0043,0,0.0
0.486648,0.7667,0.9263,0.654,0.0043,0,0.0
0.491654,0.7653,0.9261,0.652,0.0043,0,0.0
0.496661,0.7653,0.9261,0.652,0.0043,0,0.0
0.501668,0.7653,0.9261,0.652,0.0043,0,0.0
0.506674,0.7653,0.9261,0.652,0.0043,0,0.0
0.511681,0.7653,0.9261,0.652,0.0043,0,0.0
