source_type,source_id,user_id,aksi,status,device,ip_address,durasi_ms,jumlah_objek,waktu,is_anomali,risk_level_source,candidate_type
SYNTHETIC,synth_1641,63,Lihat Perkara,Berhasil,iPhone,192.168.1.58,4033.0,3.0,2025-02-08 16:58:04,False,Normal,NORMAL
REAL_DB,real_db_140,1,DELETE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 23:04:55.455000,False,LOW,NORMAL
SYNTHETIC,synth_3994,69,Login,Berhasil,Laptop Windows,192.168.1.235,1156.0,1.0,2025-04-06 09:08:06,False,Normal,NORMAL
REAL_DB,real_db_402,1,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-09 11:40:50.906000,False,LOW,NORMAL
SYNTHETIC,synth_8661,21,Lihat Perkara,Berhasil,Windows,192.168.1.9,563.0,6.0,2025-07-27 15:37:07,False,Normal,NORMAL
REAL_DB,real_db_285,84,UPDATE_BERKAS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:13:58.928000,False,LOW,NORMAL
SYNTHETIC,synth_6397,82,Login,Berhasil,Android,192.168.1.25,998.0,1.0,2025-06-05 16:03:37,False,Normal,NORMAL
REAL_DB,real_db_322,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 13:11:12.198000,False,LOW,NORMAL
SYNTHETIC,synth_5909,57,Login,Berhasil,PC Windows,192.168.1.181,1522.0,1.0,2025-05-25 09:57:46,False,Normal,NORMAL
SYNTHETIC,synth_6182,82,Logout,Berhasil,Android,192.168.1.25,1023.0,1.0,2025-05-31 15:48:34,False,Normal,NORMAL
SYNTHETIC,synth_266,66,Cari Berkas,Berhasil,Windows,192.168.1.208,5414.0,10.0,2025-01-07 09:09:10,False,Normal,NORMAL
SYNTHETIC,synth_11713,46,Logout,Berhasil,Laptop Windows,192.168.1.182,571.0,1.0,2025-10-10 13:20:18,False,Normal,NORMAL
REAL_DB,real_db_358,6,UPDATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-08-01 23:41:28.807000,False,LOW,NORMAL
SYNTHETIC,synth_1634,44,Cari Berkas,Berhasil,iPhone,192.168.1.228,1306.0,2.0,2025-02-08 13:34:09,False,Normal,NORMAL
SYNTHETIC,synth_12350,38,Logout,Berhasil,PC Windows,192.168.1.208,766.0,1.0,2025-10-25 09:13:18,False,Normal,NORMAL
SYNTHETIC,synth_460,74,Lihat Perkara,Berhasil,PC Windows,192.168.1.37,848.0,10.0,2025-01-11 16:11:52,False,Normal,NORMAL
REAL_DB,real_db_391,6,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:21:49.260000,False,LOW,NORMAL
REAL_DB,real_db_145,6,CREATE_LEMARI,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:26:19.943000,False,LOW,NORMAL
SYNTHETIC,synth_6631,1,Kelola User,Berhasil,Windows,192.168.1.8,3905.0,3.0,2025-06-11 13:49:48,False,Normal,NORMAL
SYNTHETIC,synth_12914,27,Logout,Berhasil,Laptop Windows,192.168.1.116,1088.0,1.0,2025-11-08 10:11:12,False,Normal,NORMAL
SYNTHETIC,synth_13467,71,Cari Berkas,Berhasil,PC Windows,192.168.1.56,5362.0,8.0,2025-11-22 13:34:28,False,Normal,NORMAL
REAL_DB,real_db_314,84,DELETE_BERKAS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:17:18.258000,False,LOW,NORMAL
SYNTHETIC,synth_625,28,Lihat Perkara,Berhasil,iPhone,192.168.1.73,1895.0,2.0,2025-01-15 12:44:40,False,Normal,NORMAL
SYNTHETIC,synth_4996,23,Lihat Perkara,Berhasil,Laptop Windows,192.168.1.131,1779.0,10.0,2025-05-02 08:35:55,False,Normal,NORMAL
SYNTHETIC,synth_13726,49,Cari Berkas,Berhasil,PC Windows,192.168.1.254,1494.0,10.0,2025-11-29 09:01:12,False,Normal,NORMAL
REAL_DB,real_db_181,1,DELETE_BERKAS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:46:07.246000,False,LOW,NORMAL
REAL_DB,real_db_240,6,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-15 01:53:09.721000,False,LOW,NORMAL
REAL_DB,real_db_158,6,CREATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:38:37.633000,False,LOW,NORMAL
REAL_DB,real_db_275,84,DELETE_USER,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:13:55.315000,False,LOW,NORMAL
SYNTHETIC,synth_2112,73,Lihat Perkara,Berhasil,Android,192.168.1.38,2099.0,5.0,2025-02-18 13:01:22,False,Normal,NORMAL
REAL_DB,real_db_317,84,DELETE_RAK,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:17:18.545000,False,LOW,NORMAL
SYNTHETIC,synth_8056,86,Login,Berhasil,Android,192.168.1.154,301.0,1.0,2025-07-15 09:28:57,False,Normal,NORMAL
SYNTHETIC,synth_4492,54,Logout,Berhasil,PC Windows,192.168.1.43,1475.0,1.0,2025-04-18 12:57:38,False,Normal,NORMAL
REAL_DB,real_db_376,1,VERIFIKASI_INTEGRITAS_BERKAS,VALID,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.265 Electron/42.4.1 Safari/537.36",::1,0.0,1.0,2026-08-02 13:18:02.272000,False,LOW,NORMAL
SYNTHETIC,synth_5000,51,Lihat Perkara,Berhasil,Laptop Windows,192.168.1.223,1446.0,1.0,2025-05-02 09:01:53,False,Normal,NORMAL
SYNTHETIC,synth_13571,21,Logout,Berhasil,Windows,192.168.1.9,330.0,1.0,2025-11-25 07:22:37,False,Normal,NORMAL
REAL_DB,real_db_286,86,AJUKAN_PEMINJAMAN,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:13:59.166000,False,LOW,NORMAL
SYNTHETIC,synth_14985,24,Logout,Berhasil,iPhone,192.168.1.8,1335.0,1.0,2025-12-31 10:50:21,False,Normal,NORMAL
SYNTHETIC,synth_4592,6,Lihat Berkas,Berhasil,PC Windows,192.168.1.64,2422.0,5.0,2025-04-21 16:02:30,False,Normal,NORMAL
SYNTHETIC,synth_13918,19,Login,Berhasil,iPhone,192.168.1.24,1798.0,1.0,2025-12-04 07:32:40,False,Normal,NORMAL
SYNTHETIC,synth_2437,52,Login,Berhasil,Windows,192.168.1.99,836.0,1.0,2025-02-27 14:13:23,False,Normal,NORMAL
SYNTHETIC,synth_14729,60,Cari Berkas,Berhasil,Laptop Windows,192.168.1.43,633.0,4.0,2025-12-24 14:47:40,False,Normal,NORMAL
REAL_DB,real_db_97,1,UPDATE_RAK,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 21:55:29.012000,False,LOW,NORMAL
SYNTHETIC,synth_8664,19,Lihat Perkara,Berhasil,iPhone,192.168.1.24,2511.0,4.0,2025-07-27 16:13:20,False,Normal,NORMAL
SYNTHETIC,synth_13819,54,Login,Berhasil,PC Windows,192.168.1.43,1825.0,1.0,2025-12-01 09:42:31,False,Normal,NORMAL
SYNTHETIC,synth_11906,75,Cari Berkas,Berhasil,Laptop Windows,192.168.1.192,1455.0,3.0,2025-10-15 13:02:08,False,Normal,NORMAL
SYNTHETIC,synth_2834,41,Login,Berhasil,Windows,192.168.1.251,694.0,1.0,2025-03-10 07:28:42,False,Normal,NORMAL
SYNTHETIC,synth_2449,1,Kelola Kode Klasifikasi,Berhasil,Windows,192.168.1.8,4799.0,4.0,2025-02-27 14:47:52,False,Normal,NORMAL
SYNTHETIC,synth_11138,61,Logout,Berhasil,Android,192.168.1.99,618.0,1.0,2025-09-28 11:49:11,False,Normal,NORMAL
SYNTHETIC,synth_12486,32,Login,Gagal,PC Windows,192.168.1.41,1606.0,1.0,2025-10-28 11:21:21,False,Normal,NORMAL
SYNTHETIC,synth_13884,36,Logout,Berhasil,Windows,192.168.1.93,471.0,1.0,2025-12-03 12:23:08,False,Normal,NORMAL
SYNTHETIC,synth_8032,65,Login,Berhasil,Windows,192.168.1.60,1418.0,1.0,2025-07-14 13:53:49,False,Normal,NORMAL
SYNTHETIC,synth_13115,27,Lihat Perkara,Berhasil,Laptop Windows,192.168.1.116,2434.0,6.0,2025-11-12 14:27:07,False,Normal,NORMAL
SYNTHETIC,synth_12832,61,Logout,Berhasil,Android,192.168.1.99,482.0,1.0,2025-11-06 11:16:45,False,Normal,NORMAL
REAL_DB,real_db_396,6,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:22:18.102000,False,LOW,NORMAL
SYNTHETIC,synth_4108,43,Cari Berkas,Berhasil,iPhone,192.168.1.77,2818.0,4.0,2025-04-08 11:54:24,False,Normal,NORMAL
SYNTHETIC,synth_243,54,Verifikasi,Berhasil,PC Windows,192.168.1.43,1527.0,3.0,2025-01-05 16:13:15,False,Normal,NORMAL
SYNTHETIC,synth_14834,43,Lihat Perkara,Berhasil,iPhone,192.168.1.77,2909.0,8.0,2025-12-27 13:44:20,False,Normal,NORMAL
SYNTHETIC,synth_6905,21,Lihat Perkara,Berhasil,Windows,192.168.1.9,2375.0,6.0,2025-06-17 15:42:58,False,Normal,NORMAL
REAL_DB,real_db_82,6,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 10:14:41.372000,False,LOW,NORMAL
SYNTHETIC,synth_9010,76,Lihat Perkara,Berhasil,iPhone,192.168.1.139,4118.0,9.0,2025-08-06 12:48:02,False,Normal,NORMAL
REAL_DB,real_db_385,6,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:21:03.982000,False,LOW,NORMAL
SYNTHETIC,synth_1816,47,Logout,Berhasil,Windows,192.168.1.13,861.0,1.0,2025-02-12 11:33:32,False,Normal,NORMAL
REAL_DB,real_db_243,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 00:31:42.074000,False,LOW,NORMAL
SYNTHETIC,synth_7228,30,Login,Berhasil,Laptop Windows,192.168.1.180,1677.0,1.0,2025-06-25 07:32:24,False,Normal,NORMAL
SYNTHETIC,synth_5852,80,Login,Berhasil,PC Windows,192.168.1.58,706.0,1.0,2025-05-24 09:05:37,False,Normal,NORMAL
REAL_DB,real_db_104,1,CREATE_LEMARI,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 22:44:45.067000,False,LOW,NORMAL
REAL_DB,real_db_347,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-08-01 20:48:55.029000,False,LOW,NORMAL
