Index,Anomaly Type,Perturbation_Magnitude_L2,Max_Abs_Z_Score,Reconstruction_MSE
13443,ANOMALY,2.6619244,2.1344988,0.01507483
2810,ANOMALY,3.206227,2.3433917,0.79782844
12597,ANOMALY,2.2075865,1.4037734,0.03567274
12241,ANOMALY,3.4817555,2.4279678,0.08922279
7382,ANOMALY,3.913878,2.3433917,0.71202815
3719,ANOMALY,5.2955375,4.948367,0.18106486
2188,ANOMALY,5.6256437,5.4488277,0.24011146
12469,ANOMALY,2.5300698,1.534181,0.024599487
2495,ANOMALY,3.8317358,2.3433917,0.75431854
2829,ANOMALY,7.289233,5.989769,0.120273866
1101,ANOMALY,4.4046483,4.0173306,0.07468106
12159,ANOMALY,2.7865632,2.1360505,0.04803813
6552,ANOMALY,3.9785595,2.221763,0.02459177
2295,ANOMALY,2.7515774,1.5475609,0.004917624
11097,ANOMALY,2.3265026,1.5104411,0.019052926
10934,ANOMALY,2.873959,2.3433917,0.7711353
737,ANOMALY,3.5119452,2.4279678,0.11260533
984,ANOMALY,2.1969967,1.4037734,0.03317271
8478,ANOMALY,2.8654542,1.6326295,0.046064608
326,ANOMALY,2.8843358,1.7488825,0.05076035
11138,ANOMALY,2.630959,1.5039368,0.0053584334
4320,ANOMALY,6.0138664,5.6992598,0.30818158
4294,ANOMALY,3.6167827,2.3433917,0.7817273
7677,ANOMALY,5.2322803,4.7780285,0.17345767
7222,ANOMALY,3.615694,3.3083744,0.0043650214
8893,ANOMALY,2.7303462,1.8410299,0.00777075
12440,ANOMALY,3.0648897,2.3433917,0.8689487
9072,ANOMALY,6.7601695,5.989769,0.04590601
10435,ANOMALY,6.540981,6.0253987,0.44418204
809,ANOMALY,7.114136,5.989769,0.06960868
900,ANOMALY,3.118267,2.3433917,0.7473929
8355,ANOMALY,5.8162646,5.2705655,0.23291196
862,ANOMALY,2.3502567,1.5475609,0.004032397
4383,ANOMALY,6.873863,6.25656,0.5904596
9292,ANOMALY,3.3976443,2.3433917,0.71566576
6601,ANOMALY,1.517741,0.84547764,0.040165693
9976,ANOMALY,2.9323726,1.6024776,0.04964958
12397,ANOMALY,4.0368214,3.3083744,0.036054384
4148,ANOMALY,6.046743,5.9617515,0.33171108
7676,ANOMALY,2.5711198,1.4321377,0.047497146
6263,ANOMALY,7.427048,5.989769,0.5645309
11289,ANOMALY,1.8172897,1.0983362,0.0053346744
9136,ANOMALY,2.1997173,1.254092,0.011831112
11977,ANOMALY,3.749561,2.3433917,0.8313898
3855,ANOMALY,3.6097887,3.3083744,0.0027918217
12902,ANOMALY,2.4543643,1.5475609,0.004506396
9416,ANOMALY,2.246923,1.4321377,0.038679
14863,ANOMALY,3.9010077,2.3433917,0.7608354
1030,ANOMALY,6.8756866,5.989769,0.056899685
5883,ANOMALY,3.572151,2.1344988,0.043441772
14498,ANOMALY,2.7486928,1.9137869,0.028463652
6843,ANOMALY,4.76735,4.1431923,0.09902727
9615,ANOMALY,3.2204888,2.0683417,0.014255251
9406,ANOMALY,4.9446588,4.3936243,0.1596456
684,ANOMALY,2.2232654,1.5475609,0.008248773
2598,ANOMALY,3.9267485,2.3433917,0.7961595
7741,ANOMALY,6.295195,5.4997725,0.38450733
13855,ANOMALY,4.4145103,2.3433917,0.7174636
2201,ANOMALY,5.306911,4.930344,0.25191745
2106,ANOMALY,1.9204625,1.0545521,0.0036862725
1310,ANOMALY,3.432012,2.1776867,0.058629554
13957,ANOMALY,2.92928,2.2469661,0.026304077
3551,ANOMALY,3.096861,2.7214367,0.038741525
12319,ANOMALY,3.5132143,2.3433917,0.75364476
1105,ANOMALY,2.2578857,1.5208303,0.017369976
11683,ANOMALY,3.0793006,2.7214367,0.0014988994
2297,ANOMALY,6.5444093,6.161703,0.42092454
14426,ANOMALY,2.9849572,1.9137869,0.01865183
10303,ANOMALY,3.4052172,2.7214367,0.022271452
91,ANOMALY,5.8395658,5.117872,0.16783854
4335,ANOMALY,3.1678045,2.3433917,0.7438689
8889,ANOMALY,4.2495327,2.3433917,0.66288203
7090,ANOMALY,3.040912,2.3433917,0.83734393
2351,ANOMALY,3.5462887,2.3433917,0.7937483
5706,ANOMALY,3.6104798,3.0149057,0.043395005
3739,ANOMALY,3.0726345,1.9001001,0.041629374
11040,ANOMALY,3.6699572,3.585094,0.39321986
12050,ANOMALY,2.5040114,1.5475609,0.00287066
5285,ANOMALY,6.389354,5.989769,0.112290144
12795,ANOMALY,3.684269,2.3104208,0.05145389
8407,ANOMALY,4.035551,3.3083744,0.008755204
4395,ANOMALY,3.0892477,1.9928331,0.03252671
7256,ANOMALY,1.5607637,1.1126784,0.04956376
13770,ANOMALY,2.5763006,1.5475609,0.0022238719
1300,ANOMALY,3.8144038,2.3433917,0.77760255
4758,ANOMALY,4.1258616,3.0916898,0.19221675
11131,ANOMALY,5.415673,5.08543,0.20572488
7420,ANOMALY,3.1707466,2.3433917,0.78928035
13792,ANOMALY,4.1151605,3.510095,0.24468091
7379,ANOMALY,3.497737,3.0149057,0.012679264
5148,ANOMALY,2.908689,2.0683417,0.0021968922
1656,ANOMALY,3.613374,2.917204,0.10570922
14432,ANOMALY,2.8144598,1.4702753,0.03916213
6924,ANOMALY,2.2553637,1.5979764,0.02598997
9531,ANOMALY,4.3744054,3.9503236,0.07822234
10555,ANOMALY,3.5217388,2.4885561,0.05371593
9304,ANOMALY,2.7532692,2.4279678,0.006288838
9035,ANOMALY,3.6325357,2.3433917,0.8420522
14929,ANOMALY,3.01428,1.7488825,0.017904734
82,ANOMALY,4.20506,4.0173306,0.09788391
8634,ANOMALY,2.6045833,1.5475609,0.006160209
6507,ANOMALY,2.6808622,1.5475609,0.0045728823
11619,ANOMALY,2.65826,1.7488825,0.007610647
3413,ANOMALY,2.5651908,1.5475609,0.0019258774
7765,ANOMALY,4.02856,3.0149057,0.101029605
7401,ANOMALY,3.227897,2.3433917,0.8065787
3170,ANOMALY,3.2804296,2.1344988,0.03553453
10636,ANOMALY,3.922284,3.3083744,0.012370952
11500,ANOMALY,3.8338256,2.3433917,0.74330544
11279,ANOMALY,3.0254507,2.3433917,0.7757893
2374,ANOMALY,2.9907045,2.1360505,0.009953315
11811,ANOMALY,2.6847055,1.534181,0.017084591
3550,ANOMALY,3.552954,3.3083744,0.018995378
11175,ANOMALY,3.1762655,2.3433917,0.85196614
9348,ANOMALY,4.918688,3.9841917,0.1779421
1295,ANOMALY,2.9878716,1.7488825,0.0077558514
4949,ANOMALY,2.8330894,2.3433917,0.80420613
11435,ANOMALY,5.866316,5.068949,0.2329482
10194,ANOMALY,1.9496155,1.2423549,0.0021727814
11306,ANOMALY,2.5545206,1.4037734,0.013475549
14154,ANOMALY,3.6827934,2.3433917,0.79059404
4192,ANOMALY,5.007088,4.367726,0.17590715
5044,ANOMALY,3.153772,2.3433917,0.8149522
12065,ANOMALY,3.5489993,2.3433917,0.67149293
2137,ANOMALY,3.2489564,2.3433917,0.7451869
10442,ANOMALY,2.9683561,1.9226999,0.0543091
2151,ANOMALY,3.24972,2.020155,0.032682955
12760,ANOMALY,3.1504426,2.3433917,0.79222107
14435,ANOMALY,3.618153,3.3083744,0.020516949
1969,ANOMALY,3.1542642,2.3433917,0.76809734
847,ANOMALY,2.4292684,1.534181,0.035406407
1327,ANOMALY,3.1306837,2.4279678,0.0029602358
8150,ANOMALY,2.2090242,1.2136759,0.009894009
