Threshold,TP,FP,TN,FN,Precision,Recall,F1-Score,FPR,FNR,Youden_J
0.001,749,1973,102,1,0.2752,0.9987,0.4315,0.9508,0.0013,0.0478
0.002,744,1615,460,6,0.3154,0.992,0.4786,0.7783,0.008,0.2137
0.003,735,1205,870,15,0.3789,0.98,0.5465,0.5807,0.02,0.3993
0.004,724,845,1230,26,0.4614,0.9653,0.6244,0.4072,0.0347,0.5581
0.005,704,590,1485,46,0.544,0.9387,0.6888,0.2843,0.0613,0.6543
0.006,690,411,1664,60,0.6267,0.92,0.7455,0.1981,0.08,0.7219
0.007,668,316,1759,82,0.6789,0.8907,0.7705,0.1523,0.1093,0.7384
0.008,656,250,1825,94,0.7241,0.8747,0.7923,0.1205,0.1253,0.7542
0.009000000000000001,645,200,1875,105,0.7633,0.86,0.8088,0.0964,0.14,0.7636
0.010000000000000002,634,166,1909,116,0.7925,0.8453,0.8181,0.08,0.1547,0.7653
0.011,625,145,1930,125,0.8117,0.8333,0.8224,0.0699,0.1667,0.7635
0.0117009,618,132,1943,132,0.824,0.824,0.824,0.0636,0.176,0.7604
0.012,614,128,1947,136,0.8275,0.8187,0.8231,0.0617,0.1813,0.757
0.013000000000000001,603,111,1964,147,0.8445,0.804,0.8238,0.0535,0.196,0.7505
0.014000000000000002,596,102,1973,154,0.8539,0.7947,0.8232,0.0492,0.2053,0.7455
0.015,588,96,1979,162,0.8596,0.784,0.8201,0.0463,0.216,0.7377
0.016,581,90,1985,169,0.8659,0.7747,0.8177,0.0434,0.2253,0.7313
0.017,573,85,1990,177,0.8708,0.764,0.8139,0.041,0.236,0.723
0.018000000000000002,567,79,1996,183,0.8777,0.756,0.8123,0.0381,0.244,0.7179
0.019000000000000003,559,73,2002,191,0.8845,0.7453,0.809,0.0352,0.2547,0.7102
0.02,550,66,2009,200,0.8929,0.7333,0.8053,0.0318,0.2667,0.7015
0.021,542,66,2009,208,0.8914,0.7227,0.7982,0.0318,0.2773,0.6909
0.022000000000000002,536,64,2011,214,0.8933,0.7147,0.7941,0.0308,0.2853,0.6838
0.023,529,60,2015,221,0.8981,0.7053,0.7901,0.0289,0.2947,0.6764
0.024,525,55,2020,225,0.9052,0.7,0.7895,0.0265,0.3,0.6735
0.025,518,53,2022,232,0.9072,0.6907,0.7843,0.0255,0.3093,0.6651
0.026000000000000002,508,49,2026,242,0.912,0.6773,0.7774,0.0236,0.3227,0.6537
0.027000000000000003,504,47,2028,246,0.9147,0.672,0.7748,0.0227,0.328,0.6493
0.028,499,46,2029,251,0.9156,0.6653,0.7707,0.0222,0.3347,0.6432
0.029,497,44,2031,253,0.9187,0.6627,0.7699,0.0212,0.3373,0.6415
0.030000000000000002,490,42,2033,260,0.9211,0.6533,0.7644,0.0202,0.3467,0.6331
0.031,486,39,2036,264,0.9257,0.648,0.7624,0.0188,0.352,0.6292
0.032,476,39,2036,274,0.9243,0.6347,0.7526,0.0188,0.3653,0.6159
0.033,468,39,2036,282,0.9231,0.624,0.7446,0.0188,0.376,0.6052
0.034,461,39,2036,289,0.922,0.6147,0.7376,0.0188,0.3853,0.5959
0.035,460,37,2038,290,0.9256,0.6133,0.7378,0.0178,0.3867,0.5955
0.036000000000000004,454,32,2043,296,0.9342,0.6053,0.7346,0.0154,0.3947,0.5899
0.037000000000000005,448,32,2043,302,0.9333,0.5973,0.7285,0.0154,0.4027,0.5819
0.038,443,29,2046,307,0.9386,0.5907,0.725,0.014,0.4093,0.5767
0.039,438,29,2046,312,0.9379,0.584,0.7198,0.014,0.416,0.57
0.039032,438,29,2046,312,0.9379,0.584,0.7198,0.014,0.416,0.57
0.04,436,29,2046,314,0.9376,0.5813,0.7177,0.014,0.4187,0.5674
