Threshold,TP,FP,TN,FN,Precision,Recall,F1-Score,FPR,FNR,Specificity,Youden_J,Localhost_FP_Count,Localhost_FPR,Satisfies_Test_Criteria,Localhost_Safe
0.001,748,1964,111,2,0.2758,0.9973,0.4321,0.9465,0.0027,0.0535,0.0508,329,1.0,False,False
0.002,741,1605,470,9,0.3159,0.988,0.4787,0.7735,0.012,0.2265,0.2145,325,0.9878,False,False
0.003,733,1204,871,17,0.3784,0.9773,0.5456,0.5802,0.0227,0.4198,0.3971,314,0.9544,False,False
0.004,718,840,1235,32,0.4608,0.9573,0.6222,0.4048,0.0427,0.5952,0.5525,293,0.8906,False,False
0.005,710,594,1481,40,0.5445,0.9467,0.6913,0.2863,0.0533,0.7137,0.6604,259,0.7872,False,False
0.006,690,425,1650,60,0.6188,0.92,0.7399,0.2048,0.08,0.7952,0.7152,230,0.6991,False,False
0.007,673,328,1747,77,0.6723,0.8973,0.7687,0.1581,0.1027,0.8419,0.7393,206,0.6261,False,False
0.008,658,255,1820,92,0.7207,0.8773,0.7913,0.1229,0.1227,0.8771,0.7544,187,0.5684,False,False
0.009000000000000001,646,199,1876,104,0.7645,0.8613,0.81,0.0959,0.1387,0.9041,0.7654,170,0.5167,False,False
0.009050595574080944,644,198,1877,106,0.7648,0.8587,0.809,0.0954,0.1413,0.9046,0.7632,167,0.5076,False,False
0.010000000000000002,631,167,1908,119,0.7907,0.8413,0.8152,0.0805,0.1587,0.9195,0.7609,151,0.459,False,False
0.011,622,148,1927,128,0.8078,0.8293,0.8184,0.0713,0.1707,0.9287,0.758,135,0.4103,True,False
0.012,613,126,1949,137,0.8295,0.8173,0.8234,0.0607,0.1827,0.9393,0.7566,118,0.3587,True,False
0.013000000000000001,598,115,1960,152,0.8387,0.7973,0.8175,0.0554,0.2027,0.9446,0.7419,107,0.3252,True,False
0.013475080020725727,592,107,1968,158,0.8469,0.7893,0.8171,0.0516,0.2107,0.9484,0.7378,100,0.304,True,False
0.014000000000000002,589,101,1974,161,0.8536,0.7853,0.8181,0.0487,0.2147,0.9513,0.7367,96,0.2918,True,False
0.015,581,98,1977,169,0.8557,0.7747,0.8132,0.0472,0.2253,0.9528,0.7274,84,0.2553,True,False
0.016,578,93,1982,172,0.8614,0.7707,0.8135,0.0448,0.2293,0.9552,0.7258,67,0.2036,True,False
0.017,561,84,1991,189,0.8698,0.748,0.8043,0.0405,0.252,0.9595,0.7075,61,0.1854,False,False
0.018000000000000002,553,77,1998,197,0.8778,0.7373,0.8014,0.0371,0.2627,0.9629,0.7002,56,0.1702,False,False
0.019000000000000003,547,71,2004,203,0.8851,0.7293,0.7997,0.0342,0.2707,0.9658,0.6951,48,0.1459,False,False
0.02,543,69,2006,207,0.8873,0.724,0.7974,0.0333,0.276,0.9667,0.6907,44,0.1337,False,False
0.021,537,63,2012,213,0.895,0.716,0.7956,0.0304,0.284,0.9696,0.6856,43,0.1307,False,False
0.022000000000000002,531,60,2015,219,0.8985,0.708,0.7919,0.0289,0.292,0.9711,0.6791,42,0.1277,False,False
0.023,524,55,2020,226,0.905,0.6987,0.7886,0.0265,0.3013,0.9735,0.6722,39,0.1185,False,False
0.024,520,51,2024,230,0.9107,0.6933,0.7873,0.0246,0.3067,0.9754,0.6688,38,0.1155,False,False
0.025,520,49,2026,230,0.9139,0.6933,0.7885,0.0236,0.3067,0.9764,0.6697,37,0.1125,False,False
0.025626638904213905,515,46,2029,235,0.918,0.6867,0.7857,0.0222,0.3133,0.9778,0.6645,33,0.1003,False,False
0.026000000000000002,511,46,2029,239,0.9174,0.6813,0.7819,0.0222,0.3187,0.9778,0.6592,32,0.0973,False,False
0.027000000000000003,506,46,2029,244,0.9167,0.6747,0.7773,0.0222,0.3253,0.9778,0.6525,28,0.0851,False,False
0.028,499,44,2031,251,0.919,0.6653,0.7718,0.0212,0.3347,0.9788,0.6441,27,0.0821,False,False
