user_id,activity,status,device,ip_address,duration_ms,object_count,hour,day_of_week,source_type,source_id,candidate_type,anomaly_type,severity,mutated_features,num_mutated_features,source_record_id
31.0,Akses Berkas,Berhasil,Android,Public IP Address,6.461468176353717,2.19722457733622,16,0,SYNTHETIC,synth_9514,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_9514
20.0,Akses Berkas,Berhasil,iOS,Public IP Address,6.951772164398911,1.3862943611198906,16,0,SYNTHETIC,synth_9510,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_9510
33.0,Kelola Perkara,Berhasil,PC Windows,Public IP Address,8.566364235422688,2.19722457733622,16,6,SYNTHETIC,synth_7939,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_7939
83.0,Login,Berhasil,PC Windows,Public IP Address,7.430114138561801,0.6931471805599453,14,4,SYNTHETIC,synth_7860,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_7860
22.0,Kelola Perkara,Berhasil,PC Windows,Public IP Address,7.869783902530146,2.19722457733622,23,0,SYNTHETIC,synth_1209,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_1209
63.0,Login,Gagal,iOS,Public IP Address,7.377133712833954,0.6931471805599453,17,4,SYNTHETIC,synth_6421,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_6421
36.0,Logout,Berhasil,PC Windows,Public IP Address,7.226209010100671,0.6931471805599453,22,6,SYNTHETIC,synth_7733,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_7733
50.0,Akses Berkas,Berhasil,PC Windows,Public IP Address,6.516193076042964,2.079441541679836,20,2,SYNTHETIC,synth_3209,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_3209
64.0,Logout,Berhasil,PC Windows,Public IP Address,5.575949103146316,0.6931471805599453,23,5,SYNTHETIC,synth_186,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_186
82.0,Kelola Perkara,Berhasil,Android,Public IP Address,6.410174881966167,1.6094379124341005,18,3,SYNTHETIC,synth_12544,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_12544
54.0,Logout,Berhasil,PC Windows,Public IP Address,7.147559271189454,0.6931471805599453,15,3,SYNTHETIC,synth_4185,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_4185
57.0,Kelola Perkara,Berhasil,PC Windows,Public IP Address,8.17103418920548,2.3978952727983707,18,4,SYNTHETIC,synth_8575,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_8575
41.0,Logout,Berhasil,PC Windows,Public IP Address,6.522092798170152,0.6931471805599453,15,3,SYNTHETIC,synth_11017,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_11017
1.0,Kelola Sarana,Berhasil,Unknown Device,Public IP Address,0.0,0.6931471805599453,4,3,REAL_DB,real_db_95,ANOMALY,external_ip_single_probe,Mild,ip_address,1,real_db_95
55.0,Logout,Berhasil,PC Windows,Public IP Address,7.258412150595307,0.6931471805599453,16,5,SYNTHETIC,synth_9987,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_9987
35.0,Login,Gagal,PC Windows,Public IP Address,6.901737206656574,0.6931471805599453,18,5,SYNTHETIC,synth_14557,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_14557
19.0,Logout,Berhasil,iOS,Public IP Address,6.668228248417403,0.6931471805599453,15,6,SYNTHETIC,synth_6203,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_6203
53.0,Logout,Berhasil,PC Windows,Public IP Address,7.144407180321139,0.6931471805599453,23,6,SYNTHETIC,synth_1159,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_1159
59.0,Akses Berkas,Berhasil,PC Windows,Public IP Address,7.404887575616125,2.3978952727983707,15,6,SYNTHETIC,synth_9482,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_9482
66.0,Login,Berhasil,PC Windows,Public IP Address,6.496774990185863,0.6931471805599453,15,2,SYNTHETIC,synth_6586,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_6586
36.0,Akses Berkas,Berhasil,PC Windows,Public IP Address,7.768110378525988,1.6094379124341005,19,6,SYNTHETIC,synth_5609,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_5609
44.0,Logout,Berhasil,iOS,Public IP Address,7.065613363597717,0.6931471805599453,22,0,SYNTHETIC,synth_1767,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_1767
41.0,Kelola Perkara,Berhasil,PC Windows,Public IP Address,8.137103389639302,1.0986122886681098,15,5,SYNTHETIC,synth_8260,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_8260
30.0,Logout,Berhasil,PC Windows,Public IP Address,7.217443431696533,0.6931471805599453,17,3,SYNTHETIC,synth_3873,ANOMALY,external_ip_single_probe,Mild,ip_address,1,synth_3873
