source_type,source_id,user_id,aksi,status,device,ip_address,durasi_ms,jumlah_objek,waktu,is_anomali,risk_level_source,candidate_type,anomaly_type,severity,source_record_id,mutated_features,original_values,canonical_values,raw_numeric_domain
SYNTHETIC,synth_1663,20,Cari Berkas,Berhasil,iPhone,8.8.8.8,5450.0,3.0,2025-02-09 09:10:30,False,Normal,ANOMALY_V3,external_access,Mild,synth_1663,ip_address,"{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.110"", ""durasi_ms"": 5450.0, ""jumlah_objek"": 3.0, ""waktu"": ""2025-02-09 09:10:30""}","{""user_id"": 20.0, ""activity"": ""Akses Berkas"", ""status"": ""Berhasil"", ""device"": ""iOS"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 8.603554357064281, ""object_count"": 1.3862943611198906, ""hour"": 16, ""day_of_week"": 6}",raw_before_log1p
SYNTHETIC,synth_14334,86,Cari Berkas,Berhasil,Android,8.8.8.8,2441.0,8.0,2025-12-14 16:37:12,False,Normal,ANOMALY_V3,external_access,Mild,synth_14334,ip_address,"{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""Android"", ""ip_address"": ""192.168.1.154"", ""durasi_ms"": 2441.0, ""jumlah_objek"": 8.0, ""waktu"": ""2025-12-14 16:37:12""}","{""user_id"": 86.0, ""activity"": ""Akses Berkas"", ""status"": ""Berhasil"", ""device"": ""Android"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.80057265467065, ""object_count"": 2.1972245773362196, ""hour"": 23, ""day_of_week"": 6}",raw_before_log1p
SYNTHETIC,synth_1322,34,Login,Berhasil,PC Windows,8.8.8.8,1826.0,1.0,2025-01-31 14:23:03,False,Normal,ANOMALY_V3,external_access,Mild,synth_1322,ip_address,"{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.28"", ""durasi_ms"": 1826.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-01-31 14:23:03""}","{""user_id"": 34.0, ""activity"": ""Login"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.510430556378006, ""object_count"": 0.6931471805599453, ""hour"": 21, ""day_of_week"": 4}",raw_before_log1p
SYNTHETIC,synth_7280,24,Lihat Perkara,Berhasil,iPhone,8.8.8.8,5864.0,4.0,2025-06-26 08:23:31,False,Normal,ANOMALY_V3,external_access,Mild,synth_7280,ip_address,"{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.8"", ""durasi_ms"": 5864.0, ""jumlah_objek"": 4.0, ""waktu"": ""2025-06-26 08:23:31""}","{""user_id"": 24.0, ""activity"": ""Kelola Perkara"", ""status"": ""Berhasil"", ""device"": ""iOS"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 8.676757761087575, ""object_count"": 1.6094379124341003, ""hour"": 15, ""day_of_week"": 3}",raw_before_log1p
SYNTHETIC,synth_12267,84,Dashboard,Berhasil,Windows,8.8.8.8,1683.0,1.0,2025-10-23 11:16:23,False,Normal,ANOMALY_V3,external_access,Mild,synth_12267,ip_address,"{""aksi"": ""Dashboard"", ""status"": ""Berhasil"", ""device"": ""Windows"", ""ip_address"": ""192.168.1.41"", ""durasi_ms"": 1683.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-10-23 11:16:23""}","{""user_id"": 84.0, ""activity"": ""Laporan & Anomali"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.428927194802272, ""object_count"": 0.6931471805599453, ""hour"": 18, ""day_of_week"": 3}",raw_before_log1p
SYNTHETIC,synth_13384,19,Login,Berhasil,iPhone,8.8.8.8,772.0,1.0,2025-11-20 10:42:52,False,Normal,ANOMALY_V3,external_access,Mild,synth_13384,ip_address,"{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.24"", ""durasi_ms"": 772.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-11-20 10:42:52""}","{""user_id"": 19.0, ""activity"": ""Login"", ""status"": ""Berhasil"", ""device"": ""iOS"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 6.650279048587422, ""object_count"": 0.6931471805599453, ""hour"": 17, ""day_of_week"": 3}",raw_before_log1p
SYNTHETIC,synth_10231,68,Login,Berhasil,PC Windows,8.8.8.8,1086.0,1.0,2025-09-05 09:17:44,False,Normal,ANOMALY_V3,external_access,Mild,synth_10231,ip_address,"{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.18"", ""durasi_ms"": 1086.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-09-05 09:17:44""}","{""user_id"": 68.0, ""activity"": ""Login"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 6.99117688712121, ""object_count"": 0.6931471805599453, ""hour"": 16, ""day_of_week"": 4}",raw_before_log1p
SYNTHETIC,synth_1011,62,Lihat Perkara,Berhasil,PC Windows,8.8.8.8,1738.0,2.0,2025-01-23 11:49:37,False,Normal,ANOMALY_V3,external_access,Mild,synth_1011,ip_address,"{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.238"", ""durasi_ms"": 1738.0, ""jumlah_objek"": 2.0, ""waktu"": ""2025-01-23 11:49:37""}","{""user_id"": 62.0, ""activity"": ""Kelola Perkara"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.461065514354283, ""object_count"": 1.0986122886681098, ""hour"": 18, ""day_of_week"": 3}",raw_before_log1p
SYNTHETIC,synth_11578,66,Login,Berhasil,Windows,8.8.8.8,1803.0,1.0,2025-10-08 13:56:36,False,Normal,ANOMALY_V3,external_access,Mild,synth_11578,ip_address,"{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""Windows"", ""ip_address"": ""192.168.1.208"", ""durasi_ms"": 1803.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-10-08 13:56:36""}","{""user_id"": 66.0, ""activity"": ""Login"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 7.4977617006225685, ""object_count"": 0.6931471805599453, ""hour"": 20, ""day_of_week"": 2}",raw_before_log1p
SYNTHETIC,synth_442,43,Logout,Berhasil,iPhone,8.8.8.8,805.0,1.0,2025-01-11 09:39:18,False,Normal,ANOMALY_V3,external_access,Mild,synth_442,ip_address,"{""aksi"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.77"", ""durasi_ms"": 805.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-01-11 09:39:18""}","{""user_id"": 43.0, ""activity"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""iOS"", ""ip_address"": ""Public IP Address"", ""duration_ms"": 6.692083742506628, ""object_count"": 0.6931471805599453, ""hour"": 16, ""day_of_week"": 5}",raw_before_log1p
