source_type,source_id,user_id,aksi,status,device,ip_address,durasi_ms,jumlah_objek,waktu,is_anomali,risk_level_source,candidate_type,_hb,_act,_dev,_ip,_ob,_db,anomaly_type,severity,base_record_id,mutated_features,raw_before,raw_after,primary_joint_combination,primary_joint_frequency,primary_rarity_score,secondary_joint_combination,secondary_joint_frequency,secondary_rarity_score,threat_rationale,preprocessing_status,candidate_inference_status,reconstruction_mse
SYNTHETIC,synth_1663,20,Cari Berkas,Berhasil,Virtual Machine,8.8.8.8,5450.0,3.0,2025-02-09 09:10:30,False,Normal,ANOMALY_V4,12-17,Akses Berkas,PC Windows,Private Network 192.168.x.x,"(0.999, 6.0]","(4051.0, 11997.0]",suspicious_external_access,Mild,synth_1663,"ip_address,device","{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.110"", ""durasi_ms"": 5450.0, ""jumlah_objek"": 3.0, ""waktu"": ""2025-02-09 09:10:30""}","{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""Virtual Machine"", ""ip_address"": ""8.8.8.8"", ""durasi_ms"": 5450.0, ""jumlah_objek"": 3.0, ""waktu"": ""2025-02-09 09:10:30""}","[""12-17"", ""Akses Berkas"", ""Virtual Machine"", ""Public IP Address""]",0.0,,,,,suspicious external access from virtual device,PASS_RAW_TO_PROCESS_RECORD,PASS_DIRECT_DISK,0.8949618
SYNTHETIC,synth_14334,86,Cari Berkas,Berhasil,Virtual Machine,8.8.8.8,2441.0,8.0,2025-12-14 16:37:12,False,Normal,ANOMALY_V4,,,,,"(6.0, 10.0]","(1951.4, 4051.0]",suspicious_external_access,Mild,synth_14334,"ip_address,device","{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""Android"", ""ip_address"": ""192.168.1.154"", ""durasi_ms"": 2441.0, ""jumlah_objek"": 8.0, ""waktu"": ""2025-12-14 16:37:12""}","{""aksi"": ""Cari Berkas"", ""status"": ""Berhasil"", ""device"": ""Virtual Machine"", ""ip_address"": ""8.8.8.8"", ""durasi_ms"": 2441.0, ""jumlah_objek"": 8.0, ""waktu"": ""2025-12-14 16:37:12""}","[""18-23"", ""Akses Berkas"", ""Virtual Machine"", ""Public IP Address""]",0.0,,,,,suspicious external access from virtual device,PASS_RAW_TO_PROCESS_RECORD,PASS_DIRECT_DISK,0.78117317
SYNTHETIC,synth_1322,34,Login,Berhasil,Virtual Machine,8.8.8.8,1826.0,1.0,2025-01-31 14:23:03,False,Normal,ANOMALY_V4,18-23,Logout,PC Windows,Private Network 192.168.x.x,"(0.999, 6.0]","(1266.6, 1951.4]",suspicious_external_access,Mild,synth_1322,"ip_address,device","{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.28"", ""durasi_ms"": 1826.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-01-31 14:23:03""}","{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""Virtual Machine"", ""ip_address"": ""8.8.8.8"", ""durasi_ms"": 1826.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-01-31 14:23:03""}","[""18-23"", ""Login"", ""Virtual Machine"", ""Public IP Address""]",0.0,,,,,suspicious external access from virtual device,PASS_RAW_TO_PROCESS_RECORD,PASS_DIRECT_DISK,0.8332985
SYNTHETIC,synth_7280,24,Lihat Perkara,Berhasil,Virtual Machine,8.8.8.8,5864.0,4.0,2025-06-26 08:23:31,False,Normal,ANOMALY_V4,18-23,Akses Berkas,PC Windows,Private Network 192.168.x.x,"(0.999, 6.0]","(4051.0, 11997.0]",suspicious_external_access,Mild,synth_7280,"ip_address,device","{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.8"", ""durasi_ms"": 5864.0, ""jumlah_objek"": 4.0, ""waktu"": ""2025-06-26 08:23:31""}","{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""Virtual Machine"", ""ip_address"": ""8.8.8.8"", ""durasi_ms"": 5864.0, ""jumlah_objek"": 4.0, ""waktu"": ""2025-06-26 08:23:31""}","[""12-17"", ""Kelola Perkara"", ""Virtual Machine"", ""Public IP Address""]",0.0,,,,,suspicious external access from virtual device,PASS_RAW_TO_PROCESS_RECORD,PASS_DIRECT_DISK,0.87605363
SYNTHETIC,synth_12267,84,Dashboard,Berhasil,Virtual Machine,8.8.8.8,1683.0,1.0,2025-10-23 11:16:23,False,Normal,ANOMALY_V4,18-23,Login,PC Windows,Private Network 192.168.x.x,"(0.999, 6.0]","(1266.6, 1951.4]",suspicious_external_access,Mild,synth_12267,"ip_address,device","{""aksi"": ""Dashboard"", ""status"": ""Berhasil"", ""device"": ""Windows"", ""ip_address"": ""192.168.1.41"", ""durasi_ms"": 1683.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-10-23 11:16:23""}","{""aksi"": ""Dashboard"", ""status"": ""Berhasil"", ""device"": ""Virtual Machine"", ""ip_address"": ""8.8.8.8"", ""durasi_ms"": 1683.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-10-23 11:16:23""}","[""18-23"", ""Laporan & Anomali"", ""Virtual Machine"", ""Public IP Address""]",0.0,,,,,suspicious external access from virtual device,PASS_RAW_TO_PROCESS_RECORD,PASS_DIRECT_DISK,0.8357878
SYNTHETIC,synth_13384,19,Login,Berhasil,Virtual Machine,8.8.8.8,772.0,1.0,2025-11-20 10:42:52,False,Normal,ANOMALY_V4,18-23,Logout,Android,Private Network 192.168.x.x,"(0.999, 6.0]","(199.999, 788.0]",suspicious_external_access,Mild,synth_13384,"ip_address,device","{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.24"", ""durasi_ms"": 772.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-11-20 10:42:52""}","{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""Virtual Machine"", ""ip_address"": ""8.8.8.8"", ""durasi_ms"": 772.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-11-20 10:42:52""}","[""12-17"", ""Login"", ""Virtual Machine"", ""Public IP Address""]",0.0,,,,,suspicious external access from virtual device,PASS_RAW_TO_PROCESS_RECORD,PASS_DIRECT_DISK,0.78128546
SYNTHETIC,synth_10231,68,Login,Berhasil,Virtual Machine,8.8.8.8,1086.0,1.0,2025-09-05 09:17:44,False,Normal,ANOMALY_V4,12-17,Akses Berkas,iOS,Private Network 192.168.x.x,"(0.999, 6.0]","(788.0, 1266.6]",suspicious_external_access,Mild,synth_10231,"ip_address,device","{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.18"", ""durasi_ms"": 1086.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-09-05 09:17:44""}","{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""Virtual Machine"", ""ip_address"": ""8.8.8.8"", ""durasi_ms"": 1086.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-09-05 09:17:44""}","[""12-17"", ""Login"", ""Virtual Machine"", ""Public IP Address""]",0.0,,,,,suspicious external access from virtual device,PASS_RAW_TO_PROCESS_RECORD,PASS_DIRECT_DISK,0.7903328
SYNTHETIC,synth_1011,62,Lihat Perkara,Berhasil,Virtual Machine,8.8.8.8,1738.0,2.0,2025-01-23 11:49:37,False,Normal,ANOMALY_V4,18-23,Logout,PC Windows,Private Network 192.168.x.x,"(0.999, 6.0]","(1266.6, 1951.4]",suspicious_external_access,Mild,synth_1011,"ip_address,device","{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""PC Windows"", ""ip_address"": ""192.168.1.238"", ""durasi_ms"": 1738.0, ""jumlah_objek"": 2.0, ""waktu"": ""2025-01-23 11:49:37""}","{""aksi"": ""Lihat Perkara"", ""status"": ""Berhasil"", ""device"": ""Virtual Machine"", ""ip_address"": ""8.8.8.8"", ""durasi_ms"": 1738.0, ""jumlah_objek"": 2.0, ""waktu"": ""2025-01-23 11:49:37""}","[""18-23"", ""Kelola Perkara"", ""Virtual Machine"", ""Public IP Address""]",0.0,,,,,suspicious external access from virtual device,PASS_RAW_TO_PROCESS_RECORD,PASS_DIRECT_DISK,0.8234391
SYNTHETIC,synth_11578,66,Login,Berhasil,Virtual Machine,8.8.8.8,1803.0,1.0,2025-10-08 13:56:36,False,Normal,ANOMALY_V4,18-23,Akses Berkas,iOS,Private Network 192.168.x.x,"(0.999, 6.0]","(1266.6, 1951.4]",suspicious_external_access,Mild,synth_11578,"ip_address,device","{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""Windows"", ""ip_address"": ""192.168.1.208"", ""durasi_ms"": 1803.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-10-08 13:56:36""}","{""aksi"": ""Login"", ""status"": ""Berhasil"", ""device"": ""Virtual Machine"", ""ip_address"": ""8.8.8.8"", ""durasi_ms"": 1803.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-10-08 13:56:36""}","[""18-23"", ""Login"", ""Virtual Machine"", ""Public IP Address""]",0.0,,,,,suspicious external access from virtual device,PASS_RAW_TO_PROCESS_RECORD,PASS_DIRECT_DISK,0.8144219
SYNTHETIC,synth_442,43,Logout,Berhasil,Virtual Machine,8.8.8.8,805.0,1.0,2025-01-11 09:39:18,False,Normal,ANOMALY_V4,18-23,Kelola Perkara,iOS,Private Network 192.168.x.x,"(0.999, 6.0]","(788.0, 1266.6]",suspicious_external_access,Mild,synth_442,"ip_address,device","{""aksi"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""iPhone"", ""ip_address"": ""192.168.1.77"", ""durasi_ms"": 805.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-01-11 09:39:18""}","{""aksi"": ""Logout"", ""status"": ""Berhasil"", ""device"": ""Virtual Machine"", ""ip_address"": ""8.8.8.8"", ""durasi_ms"": 805.0, ""jumlah_objek"": 1.0, ""waktu"": ""2025-01-11 09:39:18""}","[""12-17"", ""Logout"", ""Virtual Machine"", ""Public IP Address""]",0.0,,,,,suspicious external access from virtual device,PASS_RAW_TO_PROCESS_RECORD,PASS_DIRECT_DISK,0.7836392
