_activity,_obj_bucket,_dur_bucket,count,frequency,rarity_score_neglog10,combination,_hour_bucket,_device,_ip
Akses Berkas,"(0.999, 6.0]","(1266.6, 1951.4]",511,0.03785185185185185,1.4219128683602933,activity_object_duration,,,
Akses Berkas,"(0.999, 6.0]","(1951.4, 4051.0]",360,0.02666666666666667,1.5740312677277188,activity_object_duration,,,
Akses Berkas,"(0.999, 6.0]","(199.999, 788.0]",539,0.03992592592592593,1.3987450033082673,activity_object_duration,,,
Akses Berkas,"(0.999, 6.0]","(4051.0, 11997.0]",344,0.02548148148148148,1.593775325923476,activity_object_duration,,,
Akses Berkas,"(0.999, 6.0]","(788.0, 1266.6]",518,0.03837037037037037,1.4160040087497732,activity_object_duration,,,
Akses Berkas,"(6.0, 10.0]","(1266.6, 1951.4]",82,0.006074074074074074,2.2165199161112894,activity_object_duration,,,
Akses Berkas,"(6.0, 10.0]","(1951.4, 4051.0]",235,0.017407407407407406,1.7592659062232698,activity_object_duration,,,
Akses Berkas,"(6.0, 10.0]","(199.999, 788.0]",27,0.002,2.6989700043360187,activity_object_duration,,,
Akses Berkas,"(6.0, 10.0]","(4051.0, 11997.0]",210,0.015555555555555555,1.8081144737610868,activity_object_duration,,,
Akses Berkas,"(6.0, 10.0]","(788.0, 1266.6]",59,0.00437037037037037,2.359481756852862,activity_object_duration,,,
Kelola Berkas,"(0.999, 6.0]","(1266.6, 1951.4]",43,0.003185185185185185,2.4968653129154195,activity_object_duration,,,
Kelola Berkas,"(0.999, 6.0]","(1951.4, 4051.0]",29,0.002148148148148148,2.66793577059605,activity_object_duration,,,
Kelola Berkas,"(0.999, 6.0]","(199.999, 788.0]",41,0.003037037037037037,2.5175499117752707,activity_object_duration,,,
Kelola Berkas,"(0.999, 6.0]","(4051.0, 11997.0]",23,0.0017037037037037038,2.768605932477413,activity_object_duration,,,
Kelola Berkas,"(0.999, 6.0]","(788.0, 1266.6]",29,0.002148148148148148,2.66793577059605,activity_object_duration,,,
Kelola Berkas,"(6.0, 10.0]","(1266.6, 1951.4]",6,0.00044444444444444447,3.3521825181113623,activity_object_duration,,,
Kelola Berkas,"(6.0, 10.0]","(1951.4, 4051.0]",17,0.0012592592592592592,2.899884847116732,activity_object_duration,,,
Kelola Berkas,"(6.0, 10.0]","(199.999, 788.0]",2,0.00014814814814814815,3.829303772831025,activity_object_duration,,,
Kelola Berkas,"(6.0, 10.0]","(4051.0, 11997.0]",17,0.0012592592592592592,2.899884847116732,activity_object_duration,,,
Kelola Berkas,"(6.0, 10.0]","(788.0, 1266.6]",2,0.00014814814814814815,3.829303772831025,activity_object_duration,,,
Kelola Perkara,"(0.999, 6.0]","(1266.6, 1951.4]",493,0.03651851851851852,1.4374868492177761,activity_object_duration,,,
Kelola Perkara,"(0.999, 6.0]","(1951.4, 4051.0]",367,0.027185185185185184,1.5656677042429168,activity_object_duration,,,
Kelola Perkara,"(0.999, 6.0]","(199.999, 788.0]",538,0.039851851851851854,1.399551492828617,activity_object_duration,,,
Kelola Perkara,"(0.999, 6.0]","(4051.0, 11997.0]",357,0.026444444444444444,1.577665552382813,activity_object_duration,,,
Kelola Perkara,"(0.999, 6.0]","(788.0, 1266.6]",553,0.040962962962962965,1.3876086371903078,activity_object_duration,,,
Kelola Perkara,"(6.0, 10.0]","(1266.6, 1951.4]",75,0.005555555555555556,2.255272505103306,activity_object_duration,,,
