_hour,_activity,anomaly_count,normal_count,normal_frequency,anomaly_frequency,type,combination,_device,_ip,_obj_bucket,_dur_bucket
0.0,Akses Berkas,2,14.0,0.001037037037037037,0.007272727272727273,mass_archive_access,hour_activity,,,,
14.0,Akses Berkas,20,296.0,0.021925925925925925,0.07272727272727272,mass_archive_access,hour_activity,,,,
15.0,Akses Berkas,29,337.0,0.024962962962962965,0.10545454545454545,mass_archive_access,hour_activity,,,,
16.0,Akses Berkas,41,304.0,0.022518518518518518,0.14909090909090908,mass_archive_access,hour_activity,,,,
17.0,Akses Berkas,22,335.0,0.024814814814814814,0.08,mass_archive_access,hour_activity,,,,
18.0,Akses Berkas,20,331.0,0.02451851851851852,0.07272727272727272,mass_archive_access,hour_activity,,,,
19.0,Akses Berkas,26,331.0,0.02451851851851852,0.09454545454545454,mass_archive_access,hour_activity,,,,
20.0,Akses Berkas,21,313.0,0.023185185185185184,0.07636363636363637,mass_archive_access,hour_activity,,,,
21.0,Akses Berkas,32,340.0,0.025185185185185185,0.11636363636363636,mass_archive_access,hour_activity,,,,
22.0,Akses Berkas,37,309.0,0.02288888888888889,0.13454545454545455,mass_archive_access,hour_activity,,,,
23.0,Akses Berkas,25,315.0,0.023333333333333334,0.09090909090909091,mass_archive_access,hour_activity,,,,
0.0,Akses Berkas,1,2.0,0.00014814814814814815,0.0036363636363636364,mass_archive_access,hour_activity_device,Android,,,
0.0,Akses Berkas,1,10.0,0.0007407407407407407,0.0036363636363636364,mass_archive_access,hour_activity_device,PC Windows,,,
14.0,Akses Berkas,3,36.0,0.0026666666666666666,0.01090909090909091,mass_archive_access,hour_activity_device,Android,,,
14.0,Akses Berkas,16,199.0,0.01474074074074074,0.05818181818181818,mass_archive_access,hour_activity_device,PC Windows,,,
14.0,Akses Berkas,1,61.0,0.004518518518518519,0.0036363636363636364,mass_archive_access,hour_activity_device,iOS,,,
15.0,Akses Berkas,2,28.0,0.002074074074074074,0.007272727272727273,mass_archive_access,hour_activity_device,Android,,,
15.0,Akses Berkas,22,243.0,0.018,0.08,mass_archive_access,hour_activity_device,PC Windows,,,
15.0,Akses Berkas,5,66.0,0.004888888888888889,0.01818181818181818,mass_archive_access,hour_activity_device,iOS,,,
16.0,Akses Berkas,8,42.0,0.003111111111111111,0.02909090909090909,mass_archive_access,hour_activity_device,Android,,,
16.0,Akses Berkas,25,204.0,0.015111111111111112,0.09090909090909091,mass_archive_access,hour_activity_device,PC Windows,,,
16.0,Akses Berkas,8,58.0,0.004296296296296296,0.02909090909090909,mass_archive_access,hour_activity_device,iOS,,,
17.0,Akses Berkas,3,28.0,0.002074074074074074,0.01090909090909091,mass_archive_access,hour_activity_device,Android,,,
17.0,Akses Berkas,17,243.0,0.018,0.06181818181818182,mass_archive_access,hour_activity_device,PC Windows,,,
17.0,Akses Berkas,2,64.0,0.004740740740740741,0.007272727272727273,mass_archive_access,hour_activity_device,iOS,,,
18.0,Akses Berkas,1,43.0,0.003185185185185185,0.0036363636363636364,mass_archive_access,hour_activity_device,Android,,,
18.0,Akses Berkas,14,219.0,0.01622222222222222,0.05090909090909091,mass_archive_access,hour_activity_device,PC Windows,,,
18.0,Akses Berkas,5,69.0,0.005111111111111111,0.01818181818181818,mass_archive_access,hour_activity_device,iOS,,,
19.0,Akses Berkas,2,34.0,0.0025185185185185185,0.007272727272727273,mass_archive_access,hour_activity_device,Android,,,
19.0,Akses Berkas,15,237.0,0.017555555555555557,0.05454545454545454,mass_archive_access,hour_activity_device,PC Windows,,,
19.0,Akses Berkas,9,60.0,0.0044444444444444444,0.03272727272727273,mass_archive_access,hour_activity_device,iOS,,,
20.0,Akses Berkas,3,27.0,0.002,0.01090909090909091,mass_archive_access,hour_activity_device,Android,,,
20.0,Akses Berkas,18,227.0,0.016814814814814814,0.06545454545454546,mass_archive_access,hour_activity_device,PC Windows,,,
21.0,Akses Berkas,1,38.0,0.0028148148148148147,0.0036363636363636364,mass_archive_access,hour_activity_device,Android,,,
21.0,Akses Berkas,21,235.0,0.017407407407407406,0.07636363636363637,mass_archive_access,hour_activity_device,PC Windows,,,
21.0,Akses Berkas,10,67.0,0.004962962962962963,0.03636363636363636,mass_archive_access,hour_activity_device,iOS,,,
22.0,Akses Berkas,2,38.0,0.0028148148148148147,0.007272727272727273,mass_archive_access,hour_activity_device,Android,,,
22.0,Akses Berkas,28,208.0,0.015407407407407408,0.10181818181818182,mass_archive_access,hour_activity_device,PC Windows,,,
22.0,Akses Berkas,7,63.0,0.004666666666666667,0.025454545454545455,mass_archive_access,hour_activity_device,iOS,,,
23.0,Akses Berkas,4,40.0,0.002962962962962963,0.014545454545454545,mass_archive_access,hour_activity_device,Android,,,
23.0,Akses Berkas,19,223.0,0.01651851851851852,0.06909090909090909,mass_archive_access,hour_activity_device,PC Windows,,,
23.0,Akses Berkas,2,52.0,0.003851851851851852,0.007272727272727273,mass_archive_access,hour_activity_device,iOS,,,
0.0,Akses Berkas,2,14.0,0.001037037037037037,0.007272727272727273,mass_archive_access,hour_activity_ip,,Private Network 192.168.x.x,,
14.0,Akses Berkas,20,296.0,0.021925925925925925,0.07272727272727272,mass_archive_access,hour_activity_ip,,Private Network 192.168.x.x,,
15.0,Akses Berkas,29,337.0,0.024962962962962965,0.10545454545454545,mass_archive_access,hour_activity_ip,,Private Network 192.168.x.x,,
