feature,group,min,p5,p25,median,mean,std,p75,p95,p99,max,kind,unique_count,top_category,top_frequency,categories_only_in_group_vs_train,categories_only_in_train_vs_group
user_id,train_normal,1.0,18.0,32.0,50.0,49.6624,21.68759152695384,68.0,83.0,86.0,86.0,numeric,,,,,
user_id,validation_normal,1.0,8.0,32.0,52.0,49.6512,22.06025548114376,68.0,83.0,86.0,86.0,numeric,,,,,
user_id,test_normal,1.0,18.0,32.0,51.0,49.864533333333334,21.62472155001205,68.0,84.0,86.0,86.0,numeric,,,,,
user_id,localhost,1.0,1.0,1.0,6.0,20.11550151975684,33.115144559801685,8.0,84.0,85.71999999999997,86.0,numeric,,,,,
duration_ms,train_normal,5.303304908059076,6.002527363076576,6.81783057145415,7.3188710036678755,7.40714540107773,0.8388688461235833,8.147794781493403,8.653566787372409,9.048310292212571,9.387565631345389,numeric,,,,,
duration_ms,validation_normal,5.318119993844216,6.008075177690336,6.801838898897966,7.349230824613334,7.431300503175067,0.8626659500279987,8.215952945232385,8.667559573859625,9.192233390297014,9.392495248213038,numeric,,,,,
duration_ms,test_normal,5.303304908059076,5.8888779583328805,6.81618793533465,7.31986492980897,7.392104613612246,0.8619413652202875,8.137541152802392,8.65380231411921,9.067950018297745,9.381600981410713,numeric,,,,,
duration_ms,localhost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,numeric,,,,,
object_count,train_normal,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.2570992364953697,0.6518692188686469,1.9459101490553132,2.3978952727983707,2.3978952727983707,2.3978952727983707,numeric,,,,,
object_count,validation_normal,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.2724728576432622,0.654712101663682,1.9459101490553132,2.3978952727983707,2.3978952727983707,2.3978952727983707,numeric,,,,,
object_count,test_normal,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.2324423729973168,0.6411410568968439,1.9459101490553132,2.302585092994046,2.3978952727983707,2.3978952727983707,numeric,,,,,
object_count,localhost,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,numeric,,,,,
hour,train_normal,0.0,14.0,16.0,18.0,18.428,3.0973193940198396,21.0,23.0,23.0,23.0,numeric,,,,,
hour,validation_normal,0.0,14.0,16.0,19.0,18.461866666666666,3.011978173153908,21.0,23.0,23.0,23.0,numeric,,,,,
hour,test_normal,0.0,14.0,16.0,19.0,18.536,3.061356562048923,21.0,23.0,23.0,23.0,numeric,,,,,
hour,localhost,0.0,2.400000000000002,5.0,7.0,10.78419452887538,6.526000793540811,15.0,21.0,23.0,23.0,numeric,,,,,
day_of_week,train_normal,0.0,0.0,1.0,3.0,3.008342857142857,1.9704210129216713,5.0,6.0,6.0,6.0,numeric,,,,,
day_of_week,validation_normal,0.0,0.0,1.0,3.0,3.0496,1.9839875268425118,5.0,6.0,6.0,6.0,numeric,,,,,
day_of_week,test_normal,0.0,0.0,1.0,3.0,3.034133333333333,1.9774482502008042,5.0,6.0,6.0,6.0,numeric,,,,,
day_of_week,localhost,0.0,0.0,1.0,3.0,2.930091185410334,2.0056092293223453,5.0,6.0,6.0,6.0,numeric,,,,,
activity,train_normal,,,,,,,,,,,categorical,8.0,Logout,0.24765714285714285,[],[]
activity,validation_normal,,,,,,,,,,,categorical,8.0,Kelola Perkara,0.2501333333333333,[],[]
activity,test_normal,,,,,,,,,,,categorical,8.0,Logout,0.2650666666666667,[],[]
activity,localhost,,,,,,,,,,,categorical,11.0,Login,0.17933130699088146,"[""Keamanan & 2FA"", ""Kelola Sarana"", ""Peminjaman""]",[]
status,train_normal,,,,,,,,,,,categorical,2.0,Berhasil,0.9726857142857143,[],[]
status,validation_normal,,,,,,,,,,,categorical,2.0,Berhasil,0.9717333333333333,[],[]
status,test_normal,,,,,,,,,,,categorical,2.0,Berhasil,0.9754666666666667,[],[]
status,localhost,,,,,,,,,,,categorical,1.0,Berhasil,1.0,[],"[""Gagal""]"
device,train_normal,,,,,,,,,,,categorical,3.0,PC Windows,0.7146285714285714,[],[]
device,validation_normal,,,,,,,,,,,categorical,3.0,PC Windows,0.7242666666666666,[],[]
device,test_normal,,,,,,,,,,,categorical,3.0,PC Windows,0.7162666666666667,[],[]
device,localhost,,,,,,,,,,,categorical,3.0,Unknown Device,0.9878419452887538,"[""Unknown Device""]","[""Android""]"
ip_address,train_normal,,,,,,,,,,,categorical,1.0,Private Network 192.168.x.x,1.0,[],[]
ip_address,validation_normal,,,,,,,,,,,categorical,1.0,Private Network 192.168.x.x,1.0,[],[]
ip_address,test_normal,,,,,,,,,,,categorical,1.0,Private Network 192.168.x.x,1.0,[],[]
ip_address,localhost,,,,,,,,,,,categorical,1.0,Localhost / Loopback,1.0,"[""Localhost / Loopback""]","[""Private Network 192.168.x.x""]"
