Threshold,TP,FP,TN,FN,Precision,Recall,F1-Score,FPR,FNR,Specificity,Balanced_Accuracy,Youden_J
0.008892078883945942,668,207,1867,82,0.7634,0.8907,0.8222,0.0998,0.1093,0.9002,0.8954,0.7909
0.01,663,163,1911,87,0.8027,0.884,0.8414,0.0786,0.116,0.9214,0.9027,0.8054
0.013555631972849369,612,94,1980,138,0.8669,0.816,0.8407,0.0453,0.184,0.9547,0.8853,0.7707
0.01886853575706482,577,65,2009,173,0.8988,0.7693,0.829,0.0313,0.2307,0.9687,0.869,0.738
0.024715803563594818,540,47,2027,210,0.9199,0.72,0.8078,0.0227,0.28,0.9773,0.8487,0.6973
0.039032258093357086,460,20,2054,290,0.9583,0.6133,0.748,0.0096,0.3867,0.9904,0.8018,0.6037
0.05030303030303031,408,15,2059,342,0.9645,0.544,0.6957,0.0072,0.456,0.9928,0.7684,0.5368
0.0906060606060606,317,3,2071,433,0.9906,0.4227,0.5925,0.0014,0.5773,0.9986,0.7106,0.4212
0.11718709021806717,286,0,2074,464,1.0,0.3813,0.5521,0.0,0.6187,1.0,0.6907,0.3813
0.13090909090909092,269,0,2074,481,1.0,0.3587,0.528,0.0,0.6413,1.0,0.6793,0.3587
0.17121212121212123,237,0,2074,513,1.0,0.316,0.4802,0.0,0.684,1.0,0.658,0.316
0.21151515151515154,214,0,2074,536,1.0,0.2853,0.444,0.0,0.7147,1.0,0.6427,0.2853
0.25181818181818183,192,0,2074,558,1.0,0.256,0.4076,0.0,0.744,1.0,0.628,0.256
0.29212121212121217,179,0,2074,571,1.0,0.2387,0.3854,0.0,0.7613,1.0,0.6193,0.2387
0.33242424242424246,171,0,2074,579,1.0,0.228,0.3713,0.0,0.772,1.0,0.614,0.228
0.37272727272727274,165,0,2074,585,1.0,0.22,0.3607,0.0,0.78,1.0,0.61,0.22
0.4130303030303031,159,0,2074,591,1.0,0.212,0.3498,0.0,0.788,1.0,0.606,0.212
0.45333333333333337,157,0,2074,593,1.0,0.2093,0.3462,0.0,0.7907,1.0,0.6047,0.2093
0.49363636363636365,153,0,2074,597,1.0,0.204,0.3389,0.0,0.796,1.0,0.602,0.204
0.5339393939393939,150,0,2074,600,1.0,0.2,0.3333,0.0,0.8,1.0,0.6,0.2
0.5742424242424243,149,0,2074,601,1.0,0.1987,0.3315,0.0,0.8013,1.0,0.5993,0.1987
0.6145454545454546,148,0,2074,602,1.0,0.1973,0.3296,0.0,0.8027,1.0,0.5987,0.1973
0.6548484848484849,144,0,2074,606,1.0,0.192,0.3221,0.0,0.808,1.0,0.596,0.192
0.6951515151515152,129,0,2074,621,1.0,0.172,0.2935,0.0,0.828,1.0,0.586,0.172
0.7354545454545455,120,0,2074,630,1.0,0.16,0.2759,0.0,0.84,1.0,0.58,0.16
0.7757575757575759,82,0,2074,668,1.0,0.1093,0.1971,0.0,0.8907,1.0,0.5547,0.1093
0.8160606060606062,42,0,2074,708,1.0,0.056,0.1061,0.0,0.944,1.0,0.528,0.056
0.8563636363636364,13,0,2074,737,1.0,0.0173,0.0341,0.0,0.9827,1.0,0.5087,0.0173
0.8966666666666667,6,0,2074,744,1.0,0.008,0.0159,0.0,0.992,1.0,0.504,0.008
0.936969696969697,3,0,2074,747,1.0,0.004,0.008,0.0,0.996,1.0,0.502,0.004
0.9772727272727273,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.0175757575757576,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.0578787878787879,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.0981818181818184,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.1384848484848487,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.178787878787879,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.2190909090909092,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.2593939393939395,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.2996969696969698,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.34,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.3803030303030304,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.4206060606060606,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.460909090909091,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.5012121212121212,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.5415151515151517,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.581818181818182,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.6221212121212123,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.6624242424242426,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.7027272727272729,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.7430303030303032,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.7833333333333334,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.8236363636363637,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.863939393939394,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.9042424242424243,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.9445454545454546,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
1.984848484848485,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.025151515151515,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.0654545454545454,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.1057575757575755,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.146060606060606,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.1863636363636365,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.2266666666666666,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.266969696969697,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.307272727272727,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.3475757575757576,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.3878787878787877,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.428181818181818,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.4684848484848483,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.508787878787879,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.549090909090909,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.5893939393939394,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.62969696969697,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.67,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
2.7103030303030304,1,0,2074,749,1.0,0.0013,0.0027,0.0,0.9987,1.0,0.5007,0.0013
