source_type,source_id,user_id,aksi,status,device,ip_address,durasi_ms,jumlah_objek,waktu,is_anomali,risk_level_source,candidate_type,anomaly_type,severity,base_record_id,mutated_features,raw_before,raw_after,primary_joint_combination,primary_joint_frequency,threat_rationale,preprocessing_status
V8_1_ANOMALY,v8_1_t1_0,33,Logout,Gagal,Laptop Windows,192.168.1.247,1248.0,1.0,2025-01-15 04:39:26,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_10468,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-09-10 07:25:47""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 04:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_1,18,Login,Gagal,Windows,192.168.1.175,1094.0,1.0,2025-01-15 02:51:05,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_13237,"status,hour","{""status"": ""Gagal"", ""waktu"": ""2025-11-15 14:54:07""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 02:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_2,85,Lihat Berkas,Gagal,Laptop Windows,192.168.1.204,4958.0,7.0,2025-01-15 04:12:05,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_5925,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-05-25 12:32:56""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 04:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_3,84,Kelola User,Gagal,Windows,192.168.1.41,5915.0,6.0,2025-01-15 03:58:44,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_1501,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-02-05 09:41:21""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 03:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_4,78,Lihat Perkara,Gagal,iPhone,192.168.1.111,1408.0,5.0,2025-01-15 04:43:47,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_781,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-01-19 12:08:55""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 04:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_5,34,Lihat Perkara,Gagal,PC Windows,192.168.1.28,1454.0,9.0,2025-01-15 03:07:50,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_13433,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-11-21 13:20:15""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 03:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_6,78,Logout,Gagal,iPhone,192.168.1.111,239.0,1.0,2025-01-15 02:30:22,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_11669,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-10-09 15:45:31""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 02:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_7,23,Logout,Gagal,Laptop Windows,192.168.1.131,427.0,1.0,2025-01-15 01:55:46,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_3378,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-03-22 12:20:10""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 01:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_8,54,Login,Gagal,PC Windows,192.168.1.43,1686.0,1.0,2025-01-15 03:24:49,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_1297,"status,hour","{""status"": ""Gagal"", ""waktu"": ""2025-01-31 08:07:04""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 03:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_9,84,Dashboard,Gagal,Windows,192.168.1.41,1668.0,2.0,2025-01-15 03:26:27,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_13039,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-11-11 08:47:29""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 03:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_10,55,Logout,Gagal,PC Windows,192.168.1.92,589.0,1.0,2025-01-15 01:05:33,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_6788,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-06-15 11:29:08""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 01:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_11,69,Cari Berkas,Gagal,Laptop Windows,192.168.1.235,3488.0,7.0,2025-01-15 05:03:51,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_8324,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-07-20 16:31:55""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 05:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_12,56,Cari Berkas,Gagal,Laptop Windows,192.168.1.173,1478.0,6.0,2025-01-15 04:16:37,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_799,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-01-19 15:32:41""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 04:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_13,6,Lihat Berkas,Gagal,PC Windows,192.168.1.64,6797.0,9.0,2025-01-15 00:45:42,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_14496,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-12-18 14:06:37""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 00:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_14,46,Logout,Gagal,Laptop Windows,192.168.1.182,397.0,1.0,2025-01-15 02:04:58,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_2625,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-03-04 08:33:00""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 02:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_15,81,Login,Gagal,Laptop Windows,192.168.1.132,901.0,1.0,2025-01-15 02:53:40,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_5745,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-05-22 07:19:24""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 02:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_16,6,Logout,Gagal,PC Windows,192.168.1.64,939.0,1.0,2025-01-15 04:45:11,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_53,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-01-01 16:00:29""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 04:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_17,28,Login,Gagal,iPhone,192.168.1.73,455.0,1.0,2025-01-15 02:28:29,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_6151,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-05-30 16:35:28""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 02:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
V8_1_ANOMALY,v8_1_t1_18,59,Lihat Perkara,Gagal,Laptop Windows,192.168.1.138,1387.0,7.0,2025-01-15 00:32:09,True,Medium,ANOMALY,failed_offhours_access,Moderate,synth_10259,"status,hour","{""status"": ""Berhasil"", ""waktu"": ""2025-09-05 15:10:26""}","{""status"": ""Gagal"", ""waktu"": ""2025-01-15 00:00:00""}",Gagal+Night,0,Failed operation during off-hours (suspicious but plausible),pending
