source_type,source_id,user_id,aksi,status,device,ip_address,durasi_ms,jumlah_objek,waktu,is_anomali,risk_level_source,candidate_type,anomaly_type,severity,base_record_id,mutated_features,raw_before,raw_after,primary_joint_combination,primary_joint_frequency,threat_rationale,preprocessing_status
V8_ANOMALY,v8_t1_0,9653,Logout,Berhasil,Virtual Machine,8.8.8.8,0.0,2.0,2025-01-15 04:25:51,True,High,ANOMALY,impossible_credential_shift,Severe,synth_10468,"user_id,status,ip_address,device,hour,duration_ms","{""user_id"": 33, ""status"": ""Berhasil"", ""ip_address"": ""192.168.1.247"", ""device"": ""Laptop Windows"", ""durasi_ms"": 1248.0}","{""user_id"": 9653, ""status"": ""Berhasil"", ""ip_address"": ""8.8.8.8"", ""device"": ""Virtual Machine"", ""durasi_ms"": 0.0}",Berhasil+External+VM+Night+ZeroDuration,0,Impossible: successful operation from external VM at night with no telemetry,pending
V8_ANOMALY,v8_t1_1,9696,Login,Berhasil,Virtual Machine,8.8.8.8,0.0,1.0,2025-01-15 00:05:31,True,High,ANOMALY,impossible_credential_shift,Severe,synth_13237,"user_id,status,ip_address,device,hour,duration_ms","{""user_id"": 18, ""status"": ""Gagal"", ""ip_address"": ""192.168.1.175"", ""device"": ""Windows"", ""durasi_ms"": 1094.0}","{""user_id"": 9696, ""status"": ""Berhasil"", ""ip_address"": ""8.8.8.8"", ""device"": ""Virtual Machine"", ""durasi_ms"": 0.0}",Berhasil+External+VM+Night+ZeroDuration,0,Impossible: successful operation from external VM at night with no telemetry,pending
V8_ANOMALY,v8_t1_2,9735,Lihat Berkas,Berhasil,Virtual Machine,8.8.8.8,0.0,4.0,2025-01-15 05:43:47,True,High,ANOMALY,impossible_credential_shift,Severe,synth_5925,"user_id,status,ip_address,device,hour,duration_ms","{""user_id"": 85, ""status"": ""Berhasil"", ""ip_address"": ""192.168.1.204"", ""device"": ""Laptop Windows"", ""durasi_ms"": 4958.0}","{""user_id"": 9735, ""status"": ""Berhasil"", ""ip_address"": ""8.8.8.8"", ""device"": ""Virtual Machine"", ""durasi_ms"": 0.0}",Berhasil+External+VM+Night+ZeroDuration,0,Impossible: successful operation from external VM at night with no telemetry,pending
V8_ANOMALY,v8_t1_3,9127,Kelola User,Berhasil,Virtual Machine,8.8.8.8,0.0,4.0,2025-01-15 03:27:30,True,High,ANOMALY,impossible_credential_shift,Severe,synth_1501,"user_id,status,ip_address,device,hour,duration_ms","{""user_id"": 84, ""status"": ""Berhasil"", ""ip_address"": ""192.168.1.41"", ""device"": ""Windows"", ""durasi_ms"": 5915.0}","{""user_id"": 9127, ""status"": ""Berhasil"", ""ip_address"": ""8.8.8.8"", ""device"": ""Virtual Machine"", ""durasi_ms"": 0.0}",Berhasil+External+VM+Night+ZeroDuration,0,Impossible: successful operation from external VM at night with no telemetry,pending
V8_ANOMALY,v8_t1_4,9182,Lihat Perkara,Berhasil,Virtual Machine,8.8.8.8,0.0,4.0,2025-01-15 02:46:38,True,High,ANOMALY,impossible_credential_shift,Severe,synth_781,"user_id,status,ip_address,device,hour,duration_ms","{""user_id"": 78, ""status"": ""Berhasil"", ""ip_address"": ""192.168.1.111"", ""device"": ""iPhone"", ""durasi_ms"": 1408.0}","{""user_id"": 9182, ""status"": ""Berhasil"", ""ip_address"": ""8.8.8.8"", ""device"": ""Virtual Machine"", ""durasi_ms"": 0.0}",Berhasil+External+VM+Night+ZeroDuration,0,Impossible: successful operation from external VM at night with no telemetry,pending
V8_ANOMALY,v8_t1_5,9821,Lihat Perkara,Berhasil,Virtual Machine,8.8.8.8,0.0,3.0,2025-01-15 02:26:27,True,High,ANOMALY,impossible_credential_shift,Severe,synth_13433,"user_id,status,ip_address,device,hour,duration_ms","{""user_id"": 34, ""status"": ""Berhasil"", ""ip_address"": ""192.168.1.28"", ""device"": ""PC Windows"", ""durasi_ms"": 1454.0}","{""user_id"": 9821, ""status"": ""Berhasil"", ""ip_address"": ""8.8.8.8"", ""device"": ""Virtual Machine"", ""durasi_ms"": 0.0}",Berhasil+External+VM+Night+ZeroDuration,0,Impossible: successful operation from external VM at night with no telemetry,pending
V8_ANOMALY,v8_t1_6,9092,Logout,Berhasil,Virtual Machine,8.8.8.8,0.0,3.0,2025-01-15 01:53:03,True,High,ANOMALY,impossible_credential_shift,Severe,synth_11669,"user_id,status,ip_address,device,hour,duration_ms","{""user_id"": 78, ""status"": ""Berhasil"", ""ip_address"": ""192.168.1.111"", ""device"": ""iPhone"", ""durasi_ms"": 239.0}","{""user_id"": 9092, ""status"": ""Berhasil"", ""ip_address"": ""8.8.8.8"", ""device"": ""Virtual Machine"", ""durasi_ms"": 0.0}",Berhasil+External+VM+Night+ZeroDuration,0,Impossible: successful operation from external VM at night with no telemetry,pending
V8_ANOMALY,v8_t1_7,9826,Logout,Berhasil,Virtual Machine,8.8.8.8,0.0,2.0,2025-01-15 05:37:09,True,High,ANOMALY,impossible_credential_shift,Severe,synth_3378,"user_id,status,ip_address,device,hour,duration_ms","{""user_id"": 23, ""status"": ""Berhasil"", ""ip_address"": ""192.168.1.131"", ""device"": ""Laptop Windows"", ""durasi_ms"": 427.0}","{""user_id"": 9826, ""status"": ""Berhasil"", ""ip_address"": ""8.8.8.8"", ""device"": ""Virtual Machine"", ""durasi_ms"": 0.0}",Berhasil+External+VM+Night+ZeroDuration,0,Impossible: successful operation from external VM at night with no telemetry,pending
V8_ANOMALY,v8_t1_8,9699,Login,Berhasil,Virtual Machine,8.8.8.8,0.0,2.0,2025-01-15 04:04:58,True,High,ANOMALY,impossible_credential_shift,Severe,synth_1297,"user_id,status,ip_address,device,hour,duration_ms","{""user_id"": 54, ""status"": ""Gagal"", ""ip_address"": ""192.168.1.43"", ""device"": ""PC Windows"", ""durasi_ms"": 1686.0}","{""user_id"": 9699, ""status"": ""Berhasil"", ""ip_address"": ""8.8.8.8"", ""device"": ""Virtual Machine"", ""durasi_ms"": 0.0}",Berhasil+External+VM+Night+ZeroDuration,0,Impossible: successful operation from external VM at night with no telemetry,pending
V8_ANOMALY,v8_t1_9,9892,Dashboard,Berhasil,Virtual Machine,8.8.8.8,0.0,3.0,2025-01-15 02:46:45,True,High,ANOMALY,impossible_credential_shift,Severe,synth_13039,"user_id,status,ip_address,device,hour,duration_ms","{""user_id"": 84, ""status"": ""Berhasil"", ""ip_address"": ""192.168.1.41"", ""device"": ""Windows"", ""durasi_ms"": 1668.0}","{""user_id"": 9892, ""status"": ""Berhasil"", ""ip_address"": ""8.8.8.8"", ""device"": ""Virtual Machine"", ""durasi_ms"": 0.0}",Berhasil+External+VM+Night+ZeroDuration,0,Impossible: successful operation from external VM at night with no telemetry,pending
