dataset_name,path,format,row_count,column_count,dataset_type,source,generated_by,used_by,status,notes
synthetic_raw,ai-service/dataset/generator/raw/audit_log_dataset.csv,CSV,15000,13,raw/synthetic,ai-service/dataset/generator/generate_dataset.py (random.seed=42),ai-service/dataset/generator/generate_dataset.py (random.seed=42),preprocessing.py -> dataset/preprocessed/X_train.npy -> train_vae_pytorch.py (AKTIF),ADA,
retraining_combined_raw,ai-service/dataset/retraining/retraining_dataset_combined_raw.csv,CSV,15329,13,derived/synthetic+real-gabungan (artefak lama),ai-service/prepare_retraining_dataset.py (Stage 5 - artefak lama),ai-service/prepare_retraining_dataset.py (Stage 5 - artefak lama),"TIDAK dipakai pipeline aktif (kandidat Stage 5, tidak pernah diretrain)",ADA,
retraining_canonical,ai-service/dataset/retraining/retraining_dataset_canonical.csv,CSV,15329,12,derived/canonical-9-fitur (artefak lama),ai-service/prepare_retraining_dataset.py (Stage 5 - artefak lama),ai-service/prepare_retraining_dataset.py (Stage 5 - artefak lama),"TIDAK dipakai pipeline aktif (kandidat Stage 5, tidak pernah diretrain)",ADA,
legacy_sample_vae,ai-service/dataset/dataset_vae.csv,CSV,25,10,sample/legacy,tidak ditemukan generator di repo (artefak lama/manual),tidak ditemukan generator di repo (artefak lama/manual),TIDAK dipakai runtime (config.py DATASET_PATH default tidak dibaca kode aktif),ADA,
processed_train,ai-service/dataset/processed/train.csv,CSV,0,0,placeholder kosong,tidak ditemukan (placeholder kosong),tidak ditemukan (placeholder kosong),TIDAK dipakai (file 0 byte),KOSONG (0 byte),
processed_validation,ai-service/dataset/processed/validation.csv,CSV,0,0,placeholder kosong,tidak ditemukan (placeholder kosong),tidak ditemukan (placeholder kosong),TIDAK dipakai (file 0 byte),KOSONG (0 byte),
processed_test,ai-service/dataset/processed/test.csv,CSV,0,0,placeholder kosong,tidak ditemukan (placeholder kosong),tidak ditemukan (placeholder kosong),TIDAK dipakai (file 0 byte),KOSONG (0 byte),
X_train_preprocessed,ai-service/dataset/preprocessed/X_train.npy,NPY,15000,9,intermediate/matriks fitur,hasil transformasi preprocessing,-,train_vae_pytorch.py -> models/vae_model.pth (AKTIF),ADA,"dtype=float64 shape=(15000, 9)"
X_train_candidate,ai-service/dataset/retraining/X_train_candidate.npy,NPY,9680,9,intermediate/matriks fitur,hasil transformasi preprocessing,-,TIDAK dipakai pipeline aktif (kandidat Stage 5),ADA,"dtype=float32 shape=(9680, 9)"
label_encoders.pkl,ai-service/dataset/preprocessed/label_encoders.pkl,PKL,,,intermediate/artefak,preprocessing.py,preprocessing.py,utils/preprocessing.py (inference AKTIF),ADA,
scaler.pkl,ai-service/dataset/preprocessed/scaler.pkl,PKL,,,intermediate/artefak,preprocessing.py,preprocessing.py,utils/preprocessing.py (inference AKTIF),ADA,
candidate_scaler.pkl,ai-service/dataset/retraining/candidate_scaler.pkl,PKL,,,intermediate/artefak (lama),prepare_retraining_dataset.py,prepare_retraining_dataset.py,TIDAK dipakai pipeline aktif,ADA,
candidate_encoders.pkl,ai-service/dataset/retraining/candidate_encoders.pkl,PKL,,,intermediate/artefak (lama),prepare_retraining_dataset.py,prepare_retraining_dataset.py,TIDAK dipakai pipeline aktif,ADA,
