dataset,date,day_of_week,activity_count
synthetic_raw,2025-01-01,Wednesday,53
synthetic_raw,2025-01-02,Thursday,70
synthetic_raw,2025-01-03,Friday,37
synthetic_raw,2025-01-04,Saturday,26
synthetic_raw,2025-01-05,Sunday,58
synthetic_raw,2025-01-06,Monday,19
synthetic_raw,2025-01-07,Tuesday,37
synthetic_raw,2025-01-08,Wednesday,46
synthetic_raw,2025-01-09,Thursday,50
synthetic_raw,2025-01-10,Friday,42
synthetic_raw,2025-01-11,Saturday,28
synthetic_raw,2025-01-12,Sunday,54
synthetic_raw,2025-01-13,Monday,47
synthetic_raw,2025-01-14,Tuesday,32
synthetic_raw,2025-01-15,Wednesday,48
synthetic_raw,2025-01-16,Thursday,36
synthetic_raw,2025-01-17,Friday,54
synthetic_raw,2025-01-18,Saturday,38
synthetic_raw,2025-01-19,Sunday,34
synthetic_raw,2025-01-20,Monday,51
synthetic_raw,2025-01-21,Tuesday,64
synthetic_raw,2025-01-22,Wednesday,65
synthetic_raw,2025-01-23,Thursday,41
synthetic_raw,2025-01-24,Friday,48
synthetic_raw,2025-01-25,Saturday,63
synthetic_raw,2025-01-26,Sunday,18
synthetic_raw,2025-01-27,Monday,52
synthetic_raw,2025-01-28,Tuesday,16
synthetic_raw,2025-01-29,Wednesday,34
synthetic_raw,2025-01-30,Thursday,34
synthetic_raw,2025-01-31,Friday,30
synthetic_raw,2025-02-01,Saturday,67
synthetic_raw,2025-02-02,Sunday,24
synthetic_raw,2025-02-03,Monday,36
synthetic_raw,2025-02-04,Tuesday,46
synthetic_raw,2025-02-05,Wednesday,31
synthetic_raw,2025-02-06,Thursday,35
synthetic_raw,2025-02-07,Friday,43
synthetic_raw,2025-02-08,Saturday,36
synthetic_raw,2025-02-09,Sunday,64
synthetic_raw,2025-02-10,Monday,60
synthetic_raw,2025-02-11,Tuesday,28
synthetic_raw,2025-02-12,Wednesday,49
synthetic_raw,2025-02-13,Thursday,59
synthetic_raw,2025-02-14,Friday,50
synthetic_raw,2025-02-15,Saturday,44
synthetic_raw,2025-02-16,Sunday,40
synthetic_raw,2025-02-17,Monday,48
synthetic_raw,2025-02-18,Tuesday,53
synthetic_raw,2025-02-19,Wednesday,32
synthetic_raw,2025-02-20,Thursday,16
synthetic_raw,2025-02-21,Friday,44
synthetic_raw,2025-02-22,Saturday,24
synthetic_raw,2025-02-23,Sunday,40
synthetic_raw,2025-02-24,Monday,48
synthetic_raw,2025-02-25,Tuesday,30
synthetic_raw,2025-02-26,Wednesday,33
synthetic_raw,2025-02-27,Thursday,57
synthetic_raw,2025-02-28,Friday,26
synthetic_raw,2025-03-01,Saturday,30
synthetic_raw,2025-03-02,Sunday,42
synthetic_raw,2025-03-03,Monday,41
synthetic_raw,2025-03-04,Tuesday,68
synthetic_raw,2025-03-05,Wednesday,23
synthetic_raw,2025-03-06,Thursday,44
synthetic_raw,2025-03-07,Friday,16
synthetic_raw,2025-03-08,Saturday,44
synthetic_raw,2025-03-09,Sunday,33
synthetic_raw,2025-03-10,Monday,29
synthetic_raw,2025-03-11,Tuesday,40
synthetic_raw,2025-03-12,Wednesday,48
synthetic_raw,2025-03-13,Thursday,28
synthetic_raw,2025-03-14,Friday,50
synthetic_raw,2025-03-15,Saturday,29
synthetic_raw,2025-03-16,Sunday,38
synthetic_raw,2025-03-17,Monday,36
synthetic_raw,2025-03-18,Tuesday,43
synthetic_raw,2025-03-19,Wednesday,56
synthetic_raw,2025-03-20,Thursday,32
synthetic_raw,2025-03-21,Friday,72
synthetic_raw,2025-03-22,Saturday,80
synthetic_raw,2025-03-23,Sunday,56
synthetic_raw,2025-03-24,Monday,45
synthetic_raw,2025-03-25,Tuesday,39
synthetic_raw,2025-03-26,Wednesday,38
synthetic_raw,2025-03-27,Thursday,32
synthetic_raw,2025-03-28,Friday,48
synthetic_raw,2025-03-29,Saturday,42
synthetic_raw,2025-03-30,Sunday,41
synthetic_raw,2025-03-31,Monday,32
synthetic_raw,2025-04-01,Tuesday,52
synthetic_raw,2025-04-02,Wednesday,20
synthetic_raw,2025-04-03,Thursday,58
synthetic_raw,2025-04-04,Friday,38
synthetic_raw,2025-04-05,Saturday,28
synthetic_raw,2025-04-06,Sunday,59
synthetic_raw,2025-04-07,Monday,36
synthetic_raw,2025-04-08,Tuesday,46
synthetic_raw,2025-04-09,Wednesday,59
synthetic_raw,2025-04-10,Thursday,36
synthetic_raw,2025-04-11,Friday,30
synthetic_raw,2025-04-12,Saturday,52
synthetic_raw,2025-04-13,Sunday,41
synthetic_raw,2025-04-14,Monday,16
synthetic_raw,2025-04-15,Tuesday,61
synthetic_raw,2025-04-16,Wednesday,30
synthetic_raw,2025-04-17,Thursday,16
synthetic_raw,2025-04-18,Friday,50
synthetic_raw,2025-04-19,Saturday,20
synthetic_raw,2025-04-20,Sunday,38
synthetic_raw,2025-04-21,Monday,30
synthetic_raw,2025-04-22,Tuesday,30
synthetic_raw,2025-04-23,Wednesday,30
synthetic_raw,2025-04-24,Thursday,42
synthetic_raw,2025-04-25,Friday,55
synthetic_raw,2025-04-26,Saturday,24
synthetic_raw,2025-04-27,Sunday,38
synthetic_raw,2025-04-28,Monday,33
synthetic_raw,2025-04-29,Tuesday,46
synthetic_raw,2025-04-30,Wednesday,40
synthetic_raw,2025-05-01,Thursday,45
synthetic_raw,2025-05-02,Friday,45
synthetic_raw,2025-05-03,Saturday,36
synthetic_raw,2025-05-04,Sunday,32
synthetic_raw,2025-05-05,Monday,46
synthetic_raw,2025-05-06,Tuesday,21
synthetic_raw,2025-05-07,Wednesday,28
synthetic_raw,2025-05-08,Thursday,58
synthetic_raw,2025-05-09,Friday,60
synthetic_raw,2025-05-10,Saturday,32
synthetic_raw,2025-05-11,Sunday,32
synthetic_raw,2025-05-12,Monday,28
synthetic_raw,2025-05-13,Tuesday,46
synthetic_raw,2025-05-14,Wednesday,24
synthetic_raw,2025-05-15,Thursday,38
synthetic_raw,2025-05-16,Friday,38
synthetic_raw,2025-05-17,Saturday,28
synthetic_raw,2025-05-18,Sunday,44
synthetic_raw,2025-05-19,Monday,28
synthetic_raw,2025-05-20,Tuesday,60
synthetic_raw,2025-05-21,Wednesday,38
synthetic_raw,2025-05-22,Thursday,42
synthetic_raw,2025-05-23,Friday,56
synthetic_raw,2025-05-24,Saturday,40
synthetic_raw,2025-05-25,Sunday,66
synthetic_raw,2025-05-26,Monday,36
synthetic_raw,2025-05-27,Tuesday,44
synthetic_raw,2025-05-28,Wednesday,35
synthetic_raw,2025-05-29,Thursday,40
synthetic_raw,2025-05-30,Friday,51
synthetic_raw,2025-05-31,Saturday,34
synthetic_raw,2025-06-01,Sunday,70
synthetic_raw,2025-06-02,Monday,36
synthetic_raw,2025-06-03,Tuesday,28
synthetic_raw,2025-06-04,Wednesday,22
synthetic_raw,2025-06-05,Thursday,60
synthetic_raw,2025-06-06,Friday,32
synthetic_raw,2025-06-07,Saturday,47
synthetic_raw,2025-06-08,Sunday,24
synthetic_raw,2025-06-09,Monday,42
synthetic_raw,2025-06-10,Tuesday,28
synthetic_raw,2025-06-11,Wednesday,70
synthetic_raw,2025-06-12,Thursday,28
synthetic_raw,2025-06-13,Friday,46
synthetic_raw,2025-06-14,Saturday,32
synthetic_raw,2025-06-15,Sunday,62
synthetic_raw,2025-06-16,Monday,60
synthetic_raw,2025-06-17,Tuesday,32
synthetic_raw,2025-06-18,Wednesday,50
synthetic_raw,2025-06-19,Thursday,32
synthetic_raw,2025-06-20,Friday,61
synthetic_raw,2025-06-21,Saturday,22
synthetic_raw,2025-06-22,Sunday,44
synthetic_raw,2025-06-23,Monday,51
synthetic_raw,2025-06-24,Tuesday,55
synthetic_raw,2025-06-25,Wednesday,56
synthetic_raw,2025-06-26,Thursday,53
synthetic_raw,2025-06-27,Friday,48
synthetic_raw,2025-06-28,Saturday,52
synthetic_raw,2025-06-29,Sunday,25
synthetic_raw,2025-06-30,Monday,44
synthetic_raw,2025-07-01,Tuesday,33
synthetic_raw,2025-07-02,Wednesday,38
synthetic_raw,2025-07-03,Thursday,32
synthetic_raw,2025-07-04,Friday,40
synthetic_raw,2025-07-05,Saturday,52
synthetic_raw,2025-07-06,Sunday,38
synthetic_raw,2025-07-07,Monday,32
synthetic_raw,2025-07-08,Tuesday,30
synthetic_raw,2025-07-09,Wednesday,40
synthetic_raw,2025-07-10,Thursday,20
synthetic_raw,2025-07-11,Friday,42
synthetic_raw,2025-07-12,Saturday,32
synthetic_raw,2025-07-13,Sunday,70
synthetic_raw,2025-07-14,Monday,52
synthetic_raw,2025-07-15,Tuesday,40
synthetic_raw,2025-07-16,Wednesday,68
synthetic_raw,2025-07-17,Thursday,48
synthetic_raw,2025-07-18,Friday,46
synthetic_raw,2025-07-19,Saturday,29
synthetic_raw,2025-07-20,Sunday,43
synthetic_raw,2025-07-21,Monday,46
synthetic_raw,2025-07-22,Tuesday,36
synthetic_raw,2025-07-23,Wednesday,67
synthetic_raw,2025-07-24,Thursday,62
synthetic_raw,2025-07-25,Friday,61
synthetic_raw,2025-07-26,Saturday,36
synthetic_raw,2025-07-27,Sunday,37
synthetic_raw,2025-07-28,Monday,36
synthetic_raw,2025-07-29,Tuesday,24
synthetic_raw,2025-07-30,Wednesday,50
synthetic_raw,2025-07-31,Thursday,51
synthetic_raw,2025-08-01,Friday,31
synthetic_raw,2025-08-02,Saturday,28
synthetic_raw,2025-08-03,Sunday,34
synthetic_raw,2025-08-04,Monday,36
synthetic_raw,2025-08-05,Tuesday,20
synthetic_raw,2025-08-06,Wednesday,50
synthetic_raw,2025-08-07,Thursday,42
synthetic_raw,2025-08-08,Friday,60
synthetic_raw,2025-08-09,Saturday,46
synthetic_raw,2025-08-10,Sunday,22
synthetic_raw,2025-08-11,Monday,52
synthetic_raw,2025-08-12,Tuesday,51
