dataset,date,day_of_week,weekday_weekend,holiday_status,activity_count,notes
synthetic_raw,2025-01-01,Wednesday,weekday,UNKNOWN,53,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-02,Thursday,weekday,UNKNOWN,70,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-03,Friday,weekday,UNKNOWN,37,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-04,Saturday,weekend,UNKNOWN,26,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-05,Sunday,weekend,UNKNOWN,58,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-06,Monday,weekday,UNKNOWN,19,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-07,Tuesday,weekday,UNKNOWN,37,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-08,Wednesday,weekday,UNKNOWN,46,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-09,Thursday,weekday,UNKNOWN,50,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-10,Friday,weekday,UNKNOWN,42,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-11,Saturday,weekend,UNKNOWN,28,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-12,Sunday,weekend,UNKNOWN,54,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-13,Monday,weekday,UNKNOWN,47,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-14,Tuesday,weekday,UNKNOWN,32,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-15,Wednesday,weekday,UNKNOWN,48,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-16,Thursday,weekday,UNKNOWN,36,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-17,Friday,weekday,UNKNOWN,54,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-18,Saturday,weekend,UNKNOWN,38,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-19,Sunday,weekend,UNKNOWN,34,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-20,Monday,weekday,UNKNOWN,51,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-21,Tuesday,weekday,UNKNOWN,64,sumber daftar tanggal merah tidak ditemukan di repository
synthetic_raw,2025-01-22,Wednesday,weekday,UNKNOWN,65,sumber daftar tanggal merah tidak ditemukan di repository
