split,feature,min,max,mean,median,std
train,user_id,-2.2539,1.6773,0.0,0.0586,1.0
train,activity,-1.7558,1.2108,0.0,0.2219,1.0
train,status,-0.1778,5.623,0.0,-0.1778,1.0
train,device,-1.5227,1.2726,-0.0,-0.1251,1.0
train,ip_address,-11.7906,0.1236,0.0,0.1236,1.0
train,duration_ms,-0.7725,33.1854,-0.0,-0.296,1.0
train,object_count,-0.306,17.4829,0.0,-0.306,1.0
train,hour,-3.5206,1.7859,0.0,-0.087,1.0
train,day_of_week,-1.5143,1.5004,0.0,-0.0069,1.0
validation,user_id,-2.2539,1.6773,0.0189,0.0123,1.0195
validation,activity,-1.7558,1.2108,0.0048,0.2219,0.9957
validation,status,-0.1778,5.623,-0.0166,-0.1778,0.9537
validation,device,-1.5227,1.2726,-0.025,-0.1251,1.0381
validation,ip_address,-11.7826,0.1236,-0.0298,0.1236,1.1823
validation,duration_ms,-0.7722,12.299,-0.0122,-0.299,0.7873
validation,object_count,-0.306,15.1587,0.003,-0.306,1.017
validation,hour,-3.5206,1.7859,0.0316,0.2252,1.0226
validation,day_of_week,-1.5143,1.5004,0.0361,-0.0069,1.005
test,user_id,-2.2539,1.6773,-0.0479,-0.0339,1.0153
test,activity,-1.7558,1.2108,-0.0097,0.2219,1.0062
test,status,-0.1778,5.623,-0.0088,-0.1778,0.9756
test,device,-1.5227,1.2726,0.0692,-0.1251,0.9977
test,ip_address,-11.7909,0.1236,0.0043,0.1236,1.0387
test,duration_ms,-0.7687,21.1989,-0.0014,-0.2998,1.0637
test,object_count,-0.306,15.0693,0.0065,-0.306,1.0
test,hour,-3.5206,1.7859,-0.0239,-0.087,0.9817
test,day_of_week,-1.5143,1.5004,0.03,-0.0069,0.9417
