aspek,nilai_synthetic,nilai_real,catatan
jumlah_record,15000,337,
rentang_waktu,2025-01-01 03:22:26 s/d 2025-12-31 16:34:24,2026-07-05 17:09:56.023000 s/d 2026-08-19 18:57:06.366000,
jenis_aktivitas_unik,10,33,kosakata berbeda (Indonesia vs UPPER_SNAKE_CASE)
daftar_role,"Admin, Arsiparis, User","Admin, Arsiparis, User",
jumlah_user_unik,72,7,
aktivitas_teratas,"Login (3595), Logout (3595), Lihat Perkara (3497), Cari Berkas (3236), Lihat Berkas (261)","LOGIN_SUCCESS (62), ACCESS_BERKAS_FILE (40), LOGOUT (29), CREATE_USER (16), UPDATE_USER (16)",
distribusi_device,"{""PC Windows"": 4088, ""Windows"": 3393, ""Laptop Windows"": 3057, ""iPhone"": 2696, ""Android"": 1541, ""Virtual Machine"": 68, ""Linux"": 57, ""MacOS"": 51, ""Unknown Device"": 49}","{""unknown"": 333, ""axios/1.18.1"": 3, ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.7778.265 Electron/42.4.1 Safari/537.36"": 1}",real didominasi 'unknown'
distribusi_ip,"{""private-192.168"": 14700, ""public-prefix-generator"": 300}","{""unknown"": 333, ""::ffff:127.0.0.1"": 3, ""::1"": 1}",real didominasi 'unknown'
atribut_hash_path_file,TIDAK ADA pada kolom dataset,"ADA di tabel audit_log (hash_sebelumnya, hash_entri); TIDAK diekspor ke dataset",rantai SHA-256 hanya level database
jam_08:00-15:59,77.5533%,40.6528%,
weekend_share,27.9867%,31.1573%,
status_vocabulary,"Berhasil, Gagal","SUCCESS, VALID",
durasi_ms_min_max,1 - 106760,0 - 0,
object_count_min_max,1 - 200,1 - 1,
