date,day_of_week,record_count
2025-01-01,Rabu,53
2025-01-02,Kamis,70
2025-01-03,Jumat,37
2025-01-04,Sabtu,26
2025-01-05,Minggu,58
2025-01-06,Senin,19
2025-01-07,Selasa,37
2025-01-08,Rabu,46
2025-01-09,Kamis,50
2025-01-10,Jumat,42
2025-01-11,Sabtu,28
2025-01-12,Minggu,54
2025-01-13,Senin,47
2025-01-14,Selasa,32
2025-01-15,Rabu,48
2025-01-16,Kamis,36
2025-01-17,Jumat,54
2025-01-18,Sabtu,38
2025-01-19,Minggu,34
2025-01-20,Senin,51
2025-01-21,Selasa,64
2025-01-22,Rabu,65
2025-01-23,Kamis,41
2025-01-24,Jumat,48
2025-01-25,Sabtu,63
2025-01-26,Minggu,18
2025-01-27,Senin,52
2025-01-28,Selasa,16
2025-01-29,Rabu,34
2025-01-30,Kamis,34
2025-01-31,Jumat,30
2025-02-01,Sabtu,67
2025-02-02,Minggu,24
2025-02-03,Senin,36
2025-02-04,Selasa,46
2025-02-05,Rabu,31
2025-02-06,Kamis,35
2025-02-07,Jumat,43
2025-02-08,Sabtu,36
2025-02-09,Minggu,64
2025-02-10,Senin,60
2025-02-11,Selasa,28
2025-02-12,Rabu,49
2025-02-13,Kamis,59
2025-02-14,Jumat,50
2025-02-15,Sabtu,44
2025-02-16,Minggu,40
2025-02-17,Senin,48
2025-02-18,Selasa,53
2025-02-19,Rabu,32
2025-02-20,Kamis,16
2025-02-21,Jumat,44
2025-02-22,Sabtu,24
2025-02-23,Minggu,40
2025-02-24,Senin,48
2025-02-25,Selasa,30
2025-02-26,Rabu,33
2025-02-27,Kamis,57
2025-02-28,Jumat,26
2025-03-01,Sabtu,30
2025-03-02,Minggu,42
2025-03-03,Senin,41
2025-03-04,Selasa,68
2025-03-05,Rabu,23
2025-03-06,Kamis,44
2025-03-07,Jumat,16
2025-03-08,Sabtu,44
2025-03-09,Minggu,33
2025-03-10,Senin,29
2025-03-11,Selasa,40
2025-03-12,Rabu,48
2025-03-13,Kamis,28
2025-03-14,Jumat,50
2025-03-15,Sabtu,29
2025-03-16,Minggu,38
2025-03-17,Senin,36
2025-03-18,Selasa,43
2025-03-19,Rabu,56
2025-03-20,Kamis,32
2025-03-21,Jumat,72
2025-03-22,Sabtu,80
2025-03-23,Minggu,56
2025-03-24,Senin,45
2025-03-25,Selasa,39
2025-03-26,Rabu,38
2025-03-27,Kamis,32
2025-03-28,Jumat,48
2025-03-29,Sabtu,42
2025-03-30,Minggu,41
2025-03-31,Senin,32
2025-04-01,Selasa,52
2025-04-02,Rabu,20
2025-04-03,Kamis,58
2025-04-04,Jumat,38
2025-04-05,Sabtu,28
2025-04-06,Minggu,59
2025-04-07,Senin,36
2025-04-08,Selasa,46
2025-04-09,Rabu,59
2025-04-10,Kamis,36
2025-04-11,Jumat,30
2025-04-12,Sabtu,52
2025-04-13,Minggu,41
2025-04-14,Senin,16
2025-04-15,Selasa,61
2025-04-16,Rabu,30
2025-04-17,Kamis,16
2025-04-18,Jumat,50
2025-04-19,Sabtu,20
2025-04-20,Minggu,38
2025-04-21,Senin,30
2025-04-22,Selasa,30
2025-04-23,Rabu,30
2025-04-24,Kamis,42
2025-04-25,Jumat,55
2025-04-26,Sabtu,24
2025-04-27,Minggu,38
2025-04-28,Senin,33
2025-04-29,Selasa,46
2025-04-30,Rabu,40
2025-05-01,Kamis,45
2025-05-02,Jumat,45
2025-05-03,Sabtu,36
2025-05-04,Minggu,32
2025-05-05,Senin,46
2025-05-06,Selasa,21
2025-05-07,Rabu,28
2025-05-08,Kamis,58
2025-05-09,Jumat,60
2025-05-10,Sabtu,32
2025-05-11,Minggu,32
2025-05-12,Senin,28
2025-05-13,Selasa,46
2025-05-14,Rabu,24
2025-05-15,Kamis,38
2025-05-16,Jumat,38
2025-05-17,Sabtu,28
2025-05-18,Minggu,44
2025-05-19,Senin,28
2025-05-20,Selasa,60
2025-05-21,Rabu,38
2025-05-22,Kamis,42
2025-05-23,Jumat,56
2025-05-24,Sabtu,40
2025-05-25,Minggu,66
2025-05-26,Senin,36
2025-05-27,Selasa,44
2025-05-28,Rabu,35
2025-05-29,Kamis,40
2025-05-30,Jumat,51
2025-05-31,Sabtu,34
2025-06-01,Minggu,70
2025-06-02,Senin,36
2025-06-03,Selasa,28
